Contour,Area,testModel (normalized mode 1),testModel (normalized mode 2)
UID_2_10_2_all-13,34102.6,-0.286659,-0.359889
UID_2_11_1_all-5,5698.82,3.01788,-2.47395
UID_2_11_2_all-9,39799.8,-0.659534,-0.736642
UID_2_12_1_all-8,35351.2,-0.507488,-0.270602
UID_2_12_2_all-12,40416,-0.770836,-0.434367
UID_2_12_3_all-2,32473.6,-0.502862,0.221713
UID_2_13_1_all-3,3421.32,2.99507,-2.46943
UID_2_13_2_all-3,31330,0.100795,-0.459323
UID_2_13_3_all-7,35426.8,0.162037,-1.50638
UID_2_13_4_all-3,33284.4,-0.488814,-0.00819226
UID_2_13_5_all-2,2406.63,2.50158,-1.01254
UID_2_13_6_all,989.891,1.60031,4.30134
UID_2_13_7_all-6,35245.5,-0.504943,-0.254482
UID_2_13_8_all-12,40563.1,-0.776231,-0.444061
UID_2_14_1_all-16,49253.9,-0.551183,-1.93987
UID_2_14_2_all-17,48056.3,-0.920323,-0.981446
UID_2_14_3_all-17,40926.3,-0.685858,-0.908289
UID_2_15_1_all-19,37843,-0.591783,-0.531531
UID_2_16_1_all-4,2354.81,2.39421,-1.729
UID_2_16_2_all-5,29851.3,-0.329935,0.219921
UID_2_16_3_all-11,35623.6,-0.59023,-0.106471
UID_2_17_1_all-17,1490.08,1.56764,3.51089
UID_2_17_2_all-10,5551.31,2.23163,-1.62353
UID_2_19_1_all-3,42375.6,-0.879848,-0.445289
UID_2_1_1_all-15,42326.9,-0.649893,-0.995281
UID_2_1_2_all-13,45027.1,-0.580841,-1.74048
UID_2_20_1_all-13,39220.9,-0.604728,-0.68149
UID_2_20_2_all-20,46218.9,-0.818784,-1.28175
UID_2_21_1_all-8,32774.2,-0.534831,0.242061
UID_2_21_2_all-7,34446.7,-0.565499,0.0423097
UID_2_21_3_all-11,31376.6,-0.389875,0.0859051
UID_2_21_4_all-16,42224.1,-0.766629,-0.760984
UID_2_25_1_all-6,15184,2.58648,-1.26318
UID_2_25_2_all-18,43968.4,-0.805626,-0.9168
UID_2_27_1_all-7,3762.69,2.67691,-2.22193
UID_2_27_2_all-3,36116.8,-0.580229,-0.225634
UID_2_28_1_all-5,34895.3,-0.569659,-0.102451
UID_2_28_2_all-3,40556.5,-0.786853,-0.407948
UID_2_28_3_all-3,44889.7,-0.945469,-0.697197
UID_2_28_4_all-9,31630.8,-0.454589,0.233828
UID_2_29_1_all-9,37616.9,-0.63315,-0.259827
UID_2_29_2_all-9,38362.6,-0.639495,-0.468731
UID_2_29_3_all-7,44534.6,-0.914887,-0.700646
UID_2_2_1_all-11,35492.1,-0.580744,-0.127642
UID_2_30_1_all-12,32266.4,-0.420428,-0.018208
UID_2_30_2_all-4,40400.9,-0.773022,-0.396833
UID_2_31_1_all-9,30523.3,-0.373404,0.199923
UID_2_31_2_all-11,30799.2,-0.328987,0.0289124
UID_2_31_3_all-4,34092.2,-0.436315,-0.232823
UID_2_31_4_all-7,24003.6,-0.143675,0.895643
UID_2_31_5_all-4,32525,-0.426202,-0.0289841
UID_2_31_6_all-26,30814.4,-0.313162,-0.0765261
UID_2_31_7_all-2,38081.5,-0.722456,-0.175824
UID_2_32_1_all-8,30333.6,-0.0182174,-0.0625561
UID_2_32_2_all-11,27826.8,-0.299614,0.555744
UID_2_32_3_all-9,30717.5,-0.406353,0.263736
UID_2_32_4_all-7,5029.49,2.22984,0.52581
UID_2_33_1_all-21,43820.9,-0.737806,-0.932738
UID_2_33_2_all-21,43614,-0.789402,-0.898813
UID_2_33_3_all-4,39694.4,1.353,0.432856
UID_2_33_4_all-3,6550.66,2.9356,-2.23394
UID_2_33_5_all-2,890.582,1.63166,4.31824
UID_2_36_1_all-22,44562.8,-0.893661,-0.754695
UID_2_3_1_all-11,45113.9,-0.943805,-0.705284
UID_2_3_2_all-15,39616.9,-0.697904,-0.551527
UID_2_3_3_all-12,44138.6,-0.917928,-0.639447
UID_2_3_4_all-8,42483.8,-0.784424,-0.743749
UID_2_5_1_all-13,39860.5,-0.432743,-0.658596
UID_2_5_2_all-8,42938.5,-0.726267,-1.14685
UID_2_5_3_all-10,25493.2,-0.116594,0.662745
UID_2_5_4_all-7,28306,-0.327698,0.513009
UID_2_5_5_all-11,31379.7,-0.378866,0.0597627
UID_2_6_1_all-9,33674.4,-0.471961,-0.0830726
UID_2_6_2_all-12,40993.3,-0.825892,-0.371839
UID_2_6_3_all-21,39875.6,-0.671987,-0.715084
UID_2_6_4_all-2,1165.37,1.59046,4.13189
UID_2_8_1_all-6,40660,-0.703028,-0.517612
UID_2_8_2_all-11,39499,-0.471621,-0.605611
UID_2_8_3_all-5,33594.4,-0.471826,-0.108111
UID_2_9_1_all-4,34292.2,-0.494658,-0.225825
UID_2_9_2_all-2,29150.8,-0.338336,0.387804
UID_2_9_3_all-4,28941.2,-0.356987,0.48763
UID_2_9_4_all-6,34910.5,-0.584575,0.0120959
UID_30_10_1_all-4,4820.03,2.64474,-1.22598
UID_30_10_2_all-5,2183.76,1.6252,2.31461
UID_30_10_3_all-9,4223.79,2.83962,-0.669877
UID_30_10_4_all-19,36950.7,-0.569634,-0.306419
UID_30_10_5_all-22,32991,-0.369321,-0.22554
UID_30_10_6_all-10,28141.5,-0.314115,0.530866
UID_30_10_7_all-13,5383.28,1.20485,2.89931
UID_30_10_8_all-18,44906,-0.792142,-1.14404
UID_30_11_1_all-14,28504.4,-0.312702,0.431805
UID_30_11_2_all-8,30429.7,-0.42435,0.390527
UID_30_11_3_all-7,5186.31,1.21884,2.80656
UID_30_11_4_all-5,25561.2,-0.0637604,0.120648
UID_30_11_5_all-13,28353.1,-0.257939,0.3023
UID_30_11_6_all-21,30452.8,-0.352844,0.160618
UID_30_11_7_all-7,25952.6,-0.213504,0.664642
UID_30_11_8_all-19,39631.5,-0.711326,-0.495233
UID_30_12_1_all-17,34619.7,-0.4713,-0.299464
UID_30_12_2_all-17,39266.5,-0.741084,-0.327247
UID_30_12_3_all-2,24505.5,-0.138202,0.747927
UID_30_12_4_all-21,32764.3,-0.430378,-0.0468676
UID_30_12_5_all-13,27800.7,-0.0994207,0.16704
UID_30_12_6_all-20,32977.9,-0.504237,0.140314
UID_30_12_7_all-20,34149.8,-0.46218,-0.249539
UID_30_12_8_all-16,28574.8,-0.179038,-0.00411359
UID_30_13_1_all-13,39799,-0.695243,-0.539461
UID_30_13_2_all-13,30720.2,-0.434566,0.381042
UID_30_13_3_all-4,26856.7,-0.171266,0.362718
UID_30_13_4_all-3,22583,-0.0806649,1.04857
UID_30_13_5_all-17,34061.3,-0.300432,-0.390722
UID_30_14_10_all-19,26231.3,-0.148649,0.434979
UID_30_14_11_all-15,26169.2,-0.255362,0.761499
UID_30_14_1_all-18,35628.7,-0.432135,-0.35713
UID_30_14_2_all-28,41373.1,-0.792085,-0.580537
UID_30_14_3_all-12,40452,-0.742011,-0.583009
UID_30_14_4_all-22,29020.4,-0.32309,0.373612
UID_30_14_5_all-5,23172.2,-0.0151473,0.727698
UID_30_14_6_all-22,36385.1,-0.62879,-0.125692
UID_30_14_7_all-22,24762.5,-0.0182932,0.374359
UID_30_14_8_all-10,23104.4,-0.102435,0.989001
UID_30_14_9_all-9,26646.2,-0.220716,0.557948
UID_30_15_1_all-10,30156.6,-0.263645,-0.0709632
UID_30_15_2_all-11,32507.6,-0.285459,-0.0689832
UID_30_15_3_all-27,36205.9,-0.58882,-0.212153
UID_30_15_4_all-10,28925,-0.160608,0.21049
UID_30_15_5_all-5,21406.6,0.0422762,0.963079
UID_30_15_6_all-15,30948.2,-0.418405,0.251378
UID_30_16_1_all-20,33684.6,-0.566439,0.167197
UID_30_16_2_all-6,25334.1,-0.207646,0.791344
UID_30_16_3_all-14,28575.4,-0.263983,0.282132
UID_30_16_4_all-20,32124.9,-0.286252,-0.38049
UID_30_17_1_all-18,32330.5,-0.516639,0.275537
UID_30_17_2_all-21,34295.9,-0.528401,-0.033311
UID_30_17_3_all-22,29096.9,-0.349743,0.423706
UID_30_17_4_all-13,31357,-0.445598,0.276649
UID_30_17_5_all-11,27698.8,-0.310951,0.612749
UID_30_17_6_all-3,5692,2.48795,-1.24449
UID_30_18_10_all-7,27156,-0.252162,0.525314
UID_30_18_1_all-17,37258,-0.645634,-0.245547
UID_30_18_2_all-15,32289,-0.407607,-0.0333077
UID_30_18_3_all-3,26207.7,-0.229017,0.663287
UID_30_18_4_all-16,26165.9,-0.23518,0.708987
UID_30_18_5_all-4,25837.2,-0.19233,0.640855
UID_30_18_6_all-2,24760.3,-0.167244,0.799853
UID_30_18_7_all-13,29835.7,-0.349675,0.273541
UID_30_18_8_all-6,25796.4,-0.18083,0.626694
UID_30_18_9_all-2,23356.5,-0.0128314,0.708434
UID_30_19_1_all-15,34440.2,-0.502863,-0.19665
UID_30_19_2_all-20,33128.6,-0.508984,0.103921
UID_30_19_3_all-3,23205,-0.0926699,0.937162
UID_30_19_4_all-16,30674,-0.419985,0.327529
UID_30_19_5_all-5,23284.1,-0.0325491,0.69689
UID_30_1_1_all-11,31691.1,-0.43926,0.206119
UID_30_1_2_all-6,27430,-0.307774,0.643697
UID_30_1_3_all-13,28110.1,-0.329436,0.573922
UID_30_1_4_all-20,32016.9,-0.407728,0.0684266
UID_30_1_5_all-15,31388.6,-0.480715,0.353365
UID_30_1_6_all-8,30060.4,-0.379299,0.324569
UID_30_1_7_all-4,32230.5,-0.517248,0.301826
UID_30_20_1_all-7,25725.1,-0.202589,0.727248
UID_30_20_2_all-6,26936,-0.230146,0.522521
UID_30_20_3_all-7,29913,0.619664,-0.462981
UID_30_20_4_all-14,28511.6,-0.291767,0.384752
UID_30_21_1_all-7,30909,-0.27528,-0.076247
UID_30_21_2_all-31,35451.7,-0.555996,-0.206996
UID_30_21_3_all-6,23201.4,-0.0990312,0.954825
UID_30_21_4_all-11,25465.9,-0.173295,0.667791
UID_30_21_5_all-19,26663,-0.151223,0.27953
UID_30_21_6_all-9,24559.2,-0.128739,0.736907
UID_30_22_1_all-6,28788,-0.150868,-0.0937214
UID_30_22_2_all-6,20851.5,0.0296638,1.08888
UID_30_22_3_all-12,26276.6,-0.209308,0.624932
UID_30_22_4_all-21,25590.1,-0.121243,0.490816
UID_30_22_5_all-13,28991.3,-0.262741,0.320387
UID_30_23_1_all-9,29048.2,-0.333527,0.371343
UID_30_23_2_all-3,22619.7,-0.0643612,0.966435
UID_30_23_3_all-19,9576.66,2.91284,-1.31589
UID_30_23_4_all-6,22638.7,-0.0598356,0.958612
UID_30_23_5_all-5,24465.9,-0.0946155,0.601277
UID_30_23_6_all-2,23644.6,-0.0181715,0.584487
UID_30_23_7_all-11,26899.8,-0.239795,0.561165
UID_30_23_8_all-9,4111.65,1.30519,3.21351
UID_30_24_1_all-2,3547.79,1.70515,-0.147432
UID_30_25_1_all-13,22382.2,-0.055639,1.02883
UID_30_25_2_all-14,21860.4,0.0787716,0.929858
UID_30_25_3_all-10,21476.4,-0.0266577,1.14047
UID_30_25_4_all-15,28173.8,-0.277516,0.373794
UID_30_25_5_all-14,28980.8,-0.208905,0.063112
UID_30_25_6_all-11,21350.5,-0.0299773,1.17901
UID_30_26_1_all-4,20521.3,0.0255577,1.20411
UID_30_26_2_all-4,25081.3,-0.0336626,0.240266
UID_30_26_3_all-11,24133.4,-0.138597,0.845585
UID_30_26_4_all-5,26084.1,-0.172478,0.514179
UID_30_26_5_all-17,24793.4,-0.155117,0.760968
UID_30_27_10_all-22,40087.5,-0.649124,-0.765914
UID_30_27_11_all-5,23054.5,-0.0791152,0.940201
UID_30_27_1_all-22,29152.1,-0.303571,0.316295
UID_30_27_2_all-7,24924.6,-0.187374,0.832862
UID_30_27_3_all-3,23759.3,-0.0233478,0.629918
UID_30_27_4_all-8,28339.4,-0.281908,0.418392
UID_30_27_5_all-8,31251.2,-0.383161,0.0685142
UID_30_27_6_all-8,33473.5,-0.470241,-0.0459362
UID_30_27_7_all-11,27748.3,-0.259446,0.435199
UID_30_27_8_all-21,34623,-0.499042,-0.171888
UID_30_27_9_all-8,26906.2,-0.184137,0.303254
UID_30_28_1_all-16,27932.7,-0.299753,0.503257
UID_30_28_2_all-22,29847.5,1.14833,-0.000266674
UID_30_28_3_all-3,21319.8,0.0306026,1.00532
UID_30_28_4_all-8,24941,-0.107652,0.545421
UID_30_28_5_all-19,37531.5,-0.508111,-0.855536
UID_30_28_6_all-2,2672.32,2.57483,-0.201225
UID_30_28_7_all-5,22240.2,0.0535945,0.664314
UID_30_28_8_all-19,48147.8,-1.06069,-0.856926
UID_30_28_9_all-7,24323.2,-0.1153,0.761612
UID_30_2_1_all-9,44922.3,-0.909031,-0.804934
UID_30_2_2_all-5,29098,-0.30898,0.315024
UID_30_2_3_all-25,43082.1,-0.692367,-1.07571
UID_30_2_4_all-9,5221.59,1.85315,0.386679
UID_30_2_5_all-9,28257.8,-0.358793,0.623069
UID_30_3_10_all-17,33612.4,-0.171823,-0.599753
UID_30_3_11_all-10,35941,-0.570273,-0.240896
UID_30_3_1_all-5,26766.4,-0.255302,0.644445
UID_30_3_2_all-3,25352.8,-0.13849,0.559216
UID_30_3_3_all-13,28765.2,-0.355811,0.545912
UID_30_3_4_all-3,27426.7,-0.270339,0.504547
UID_30_3_5_all-13,30909,-0.385524,0.14889
UID_30_3_6_all-16,7393.77,2.60577,-1.57365
UID_30_3_7_all-9,36269.8,-0.651438,-0.0512352
UID_30_3_8_all-12,37271.7,-0.597603,-0.391504
UID_30_3_9_all-4,5306.56,2.51495,-1.07198
UID_30_4_1_all-5,28900.8,-0.199233,0.0152427
UID_30_4_2_all-11,28203.5,-0.222238,0.316453
UID_30_4_3_all-10,27279.8,-0.248647,0.542095
UID_30_4_4_all-26,39282.7,-0.654282,-0.582288
UID_30_4_5_all-20,32619.9,-0.402686,0.0236298
UID_30_4_6_all-18,11230,1.69116,0.467064
UID_30_4_7_all-15,28530.9,-0.353885,0.562982
UID_30_4_8_all-8,2971.07,2.75454,-1.20863
UID_30_4_9_all-4,2351.57,2.16293,-0.81211
UID_30_5_1_all-3,4979.22,2.90113,-1.0264
UID_30_5_2_all-9,4742.67,2.80014,-1.11539
UID_30_5_3_all-8,27444.1,-0.288941,0.585513
UID_30_5_4_all-5,30673.7,-0.416589,0.302218
UID_30_5_5_all-25,40719.9,-0.741626,-0.606274
UID_30_5_6_all-6,28376.1,-0.334128,0.548735
UID_30_5_7_all-16,39965.1,-0.406885,-1.0807
UID_30_6_10_all-2,2772.64,2.56168,-1.712
UID_30_6_11_all-3,26270.7,-0.177488,0.462283
UID_30_6_12_all-15,35905.8,-0.611099,-0.132462
UID_30_6_1_all-25,37813.5,-0.651499,-0.338227
UID_30_6_2_all-9,31255.6,-0.36657,0.0132467
UID_30_6_3_all-13,32621,-0.526001,0.246123
UID_30_6_4_all-9,30628.5,-0.370907,0.209164
UID_30_6_5_all-7,27021.6,-0.277095,0.636401
UID_30_6_6_all-25,38519.5,-0.692722,-0.360226
UID_30_6_7_all-8,2939.41,2.51642,-1.61614
UID_30_6_8_all-13,36971.5,-0.627657,-0.250454
UID_30_6_9_all-9,24663.6,-0.19076,0.900108
UID_30_7_1_all-17,33635,-0.491165,0.0476936
UID_30_7_2_all-9,5036.82,2.21704,-0.385402
UID_30_7_3_all-6,1045.8,1.73902,1.86951
UID_30_7_4_all-14,35426.2,-0.553501,-0.185517
UID_30_7_5_all-4,3328.03,2.62132,-0.618379
UID_30_7_6_all-19,43013.7,-0.727294,-1.0634
UID_30_7_7_all-2,24042.4,-0.0831195,0.772247
UID_30_7_8_all-5,28982.5,-0.250447,0.142824
UID_30_8_1_all-4,2892.65,1.38003,3.38313
UID_30_8_2_all-17,8099.25,1.83464,-0.123659
UID_30_8_3_all-12,29356.2,-0.345939,0.398733
UID_30_8_4_all-12,13439.3,2.37216,1.33672
UID_30_8_5_all-5,5767.66,1.99751,-0.430849
UID_30_8_6_all-23,15654.4,2.68462,-1.81079
UID_30_8_7_all-14,3019.57,1.54124,1.23347
UID_30_8_8_all-8,4988.72,1.38806,2.90102
UID_30_8_9_all-14,21949.4,1.78739,-0.105386
UID_30_9_1_all-16,37264.7,-0.645458,-0.23997
UID_30_9_2_all-15,30721.5,-0.409856,0.28442
UID_30_9_3_all-9,40025.2,-0.581302,-0.732487
UID_30_9_4_all-10,33445.8,-0.556138,0.169246
UID_30_9_5_all-23,42223.5,-0.66911,-0.935425
UID_30_9_6_all-20,41632.2,0.282855,-1.17946
UID_30_9_7_all-11,3642.45,2.7609,-1.50643
UID_32_10_10_all-13,37232.7,-0.61666,-0.324653
UID_32_10_1_all-18,41035.4,-0.668647,-0.903995
UID_32_10_2_all-16,40411.6,-0.742688,-0.510442
UID_32_10_3_all-4,27379.3,-0.250815,0.48012
UID_32_10_4_all-15,42855.2,-0.833592,-0.669734
UID_32_10_5_all-3,6648.14,2.95949,-1.40161
UID_32_10_6_all-15,27746.8,1.98391,1.14177
UID_32_10_7_all-18,19829,2.46155,-0.292749
UID_32_10_8_all-23,41411.6,-0.799725,-0.54387
UID_32_10_9_all-24,42744.2,-0.836969,-0.669727
UID_32_11_1_all-19,47703.4,-0.918368,-1.28524
UID_32_11_2_all-26,11412.2,1.72503,-1.11518
UID_32_11_3_all-27,41176.8,-0.742697,-0.640891
UID_32_12_1_all-17,34159.3,-0.527754,-0.0363713
UID_32_12_2_all-16,6573.37,2.6451,-1.5089
UID_32_12_3_all-6,44955.4,1.00793,-1.6839
UID_32_12_4_all-23,46718.4,-0.972513,-0.886792
UID_32_13_1_all-22,49600.2,-1.10716,-0.938554
UID_32_13_2_all-28,43600.7,-0.773095,-0.897631
UID_32_13_3_all-26,48105,-1.00782,-0.999199
UID_32_13_4_all-13,25337.9,2.28361,0.449974
UID_32_13_5_all-7,33514,-0.521632,0.099717
UID_32_13_6_all-7,29033.3,2.01178,-0.619035
UID_32_13_7_all-20,44653.7,-0.88005,-0.814968
UID_32_13_8_all-13,14533.7,2.65782,-1.86218
UID_32_13_9_all-20,41704.6,-0.714129,-0.809342
UID_32_14_1_all-15,44201.2,-0.844021,-0.860152
UID_32_14_2_all-17,47767.6,-0.956115,-1.16854
UID_32_15_1_all-29,49696.2,-1.04069,-1.16661
UID_32_15_2_all-16,47731.1,-1.02089,-0.910141
UID_32_15_3_all-18,44231.5,-0.876678,-0.82879
UID_32_16_1_all-20,13962.8,1.97646,-1.23752
UID_32_16_2_all-6,2908.21,2.04491,-1.26908
UID_32_17_1_all-21,48314.5,-1.00382,-1.09113
UID_32_17_2_all-9,49497.4,-1.00599,-1.06967
UID_32_18_1_all-16,49149.2,-1.10455,-0.878808
UID_32_18_2_all-19,33099.8,2.21508,0.420671
UID_32_18_3_all-26,44861.6,-0.895176,-0.80771
UID_32_18_4_all-27,43028,-0.832032,-0.75414
UID_32_18_5_all-23,41953.7,-0.70085,-0.852619
UID_32_19_1_all-16,46300.3,-0.936133,-0.9175
