Contour,Mode 1 (normalized),Mode 2 (normalized),Mode 3 (normalized),Mode 4 (normalized),Mode 5 (normalized),Mode 6 (normalized),Mode 7 (normalized),Mode 8 (normalized),Mode 9 (normalized)
UID_H13_1_2_hem-11,0.336806,-1.43149,0.542932,0.38308,0.1954,-0.0467709,0.240145,-0.00758578,0.0153964
UID_H13_1_3_hem-7,2.5083,-0.921708,4.28665,-1.64714,-3.04083,-2.63851,-1.00705,0.457841,0.0108143
UID_H13_1_4_hem-18,-0.205848,-0.634674,-0.14679,-0.218679,-0.170514,-0.206046,-0.0540735,0.0570826,0.194959
UID_H13_20_1_hem-14,-0.249047,-0.672714,-0.306488,-0.290028,-0.271881,-0.40975,-0.203585,-0.364047,0.174167
UID_H13_20_2_hem-8,0.16202,-0.875254,0.242835,0.241609,0.0266702,0.299404,0.157619,0.518567,-0.127266
UID_H13_20_3_hem-4,0.188657,-1.03469,0.3438,0.257503,0.0707857,-0.381719,0.0436155,0.173368,0.0623561
UID_H13_20_4_hem-3,-0.159689,0.815153,3.66187,-0.568107,1.62729,0.448763,2.08485,0.0272301,-0.996623
UID_H13_21_1_hem-19,-1.02984,0.589255,-0.933876,-0.638018,-0.23086,-0.035219,-0.394285,-0.207615,0.30477
UID_H13_21_2_hem-18,-0.293125,-0.353683,-0.23853,-0.0954701,-0.0350909,-0.465585,0.101036,-0.264617,-0.165439
UID_H13_21_3_hem-20,-0.868673,0.416864,-0.778523,-0.543283,-0.439159,0.0250308,-0.905477,-0.779378,0.33715
UID_H13_21_4_hem-15,-0.684907,0.05144,-0.329272,-0.290123,0.0766744,0.31721,0.325079,-0.0925226,0.0885269
UID_H13_22_1_hem-5,-0.341361,-0.504981,-0.0658557,-0.115009,0.0518242,0.0246901,0.40496,-0.089826,0.209864
UID_H13_22_2_hem-13,-0.178622,-0.790257,-0.140535,-0.0901961,-0.116359,-0.0961264,0.0481087,-0.201041,0.0323132
UID_H13_23_1_hem-3,0.170115,-1.15755,0.228287,0.0829618,0.103752,-0.366728,-0.186812,-0.235356,0.191163
UID_H13_23_2_hem-5,0.0350038,-0.7473,0.329235,0.0392855,0.145989,0.278342,-0.118566,0.194429,0.024391
UID_H13_23_3_hem-9,-0.170189,-0.755322,-0.123696,-0.020859,0.0962281,0.0325176,0.234268,-0.00423904,-0.123733
UID_H13_23_4_hem-9,-1.12996,0.472837,-1.01352,-0.842422,-0.301758,0.171467,0.459235,-0.324569,0.28702
UID_H13_23_5_hem-5,0.210842,-1.43614,0.107406,0.203889,-0.0189091,-0.115685,0.149205,-0.155661,-0.0535717
UID_H13_24_1_hem-18,-1.15126,0.919432,-0.393425,-0.584183,0.202092,0.888523,0.462009,0.26263,0.0919739
UID_H13_24_2_hem-11,2.72041,0.0477913,0.687001,-1.13689,1.26486,-5.36298,-1.5226,3.67472,5.58807
UID_H13_24_3_hem-31,-1.10473,1.75477,-1.64352,-0.145328,-1.2664,0.760423,1.06942,0.713493,-0.733087
UID_H13_25_1_hem-26,-1.29876,1.45492,-0.890824,-0.511064,0.374979,0.513366,0.144089,0.613906,0.630111
UID_H13_25_2_hem-13,-0.385193,0.0626602,-0.0789717,0.00996255,-0.364762,0.49524,-0.342736,0.187096,0.742949
UID_H13_25_3_hem-16,-0.801999,0.41057,-0.432202,-0.10717,0.126416,0.406521,0.254723,0.148125,-0.14133
UID_H13_26_1_hem-11,-0.500909,0.375475,0.112894,0.0194748,0.345976,0.43017,0.460486,0.220577,-0.485469
UID_H13_26_2_hem-7,0.281556,-0.914072,0.90621,0.468349,0.663596,0.205651,0.0281317,0.229818,0.100565
UID_H13_26_3_hem-5,0.256301,-1.23236,0.623486,0.313574,0.287428,0.1273,0.38259,0.0719053,-0.056539
UID_H13_26_4_hem-13,-0.292457,-0.359963,-0.0942973,-0.256745,-0.0956552,0.0924006,0.166213,0.1362,-0.103719
UID_H13_26_5_hem-6,0.132457,-1.17966,0.111041,0.192079,-0.0342535,0.0545503,0.208922,0.0778119,-0.0842083
UID_H13_26_6_hem-8,-0.0269857,-1.03998,-0.145212,0.0578377,-0.0740856,-0.221778,0.0154614,-0.268791,-0.11602
UID_H13_27_1_hem-7,0.264358,-1.39864,0.219545,0.321314,0.186255,-0.0030961,-0.122739,-0.186567,-0.168861
UID_H13_27_2_hem-2,0.415372,-1.64768,0.248357,0.365248,0.0255875,-0.251339,-0.219329,0.0438146,-0.0598146
UID_H13_28_1_hem-7,0.0263758,-1.02218,-0.145662,-0.148263,-0.251986,-0.140367,-0.176212,-0.186871,-0.0719313
UID_H13_28_2_hem-4,-0.390575,0.426756,0.438772,-0.530694,0.401952,-2.15289,-0.0415231,-2.06159,1.47112
UID_H13_29_1_hem-6,-0.136092,-0.886388,-0.152584,0.180627,-0.0845934,-0.0347476,0.186473,-0.0642399,0.0805326
UID_H13_29_2_hem-5,-0.112545,-0.835411,-0.086213,0.0401699,-0.0155417,0.157364,0.0456315,-0.0752408,-0.253431
UID_H13_29_3_hem-15,-0.438985,0.395997,0.66336,-0.365229,0.595232,0.477596,-0.198256,-0.762213,-0.0345646
UID_H13_29_4_hem-3,0.215703,-0.981671,0.441502,0.225821,0.0343306,0.0387449,-0.372121,0.0310156,0.0950057
UID_H13_2_1_hem-12,-0.505496,-0.370762,-0.66111,-0.464388,-0.368799,-0.0909807,-0.0795206,-0.179101,0.0437174
UID_H13_2_2_hem-11,-0.210387,-0.523679,-0.366925,0.22698,-0.472378,0.543886,-1.08732,0.429851,0.406926
UID_H13_2_3_hem-6,-0.22142,-0.0951596,-0.525774,-0.090993,-0.299032,-0.676486,0.313026,-0.291035,-1.97953
UID_H13_2_4_hem-4,0.229029,-0.990596,0.36741,0.0401066,0.149414,0.158704,-0.285816,0.143718,-0.289817
UID_H13_2_5_hem-6,-0.329952,-0.470244,-0.202169,-0.213536,-0.211916,-0.217762,0.168645,-0.171112,0.0842549
UID_H13_2_6_hem-12,-0.523854,0.12438,0.1141,-0.452264,0.314014,0.646812,0.187532,0.172934,0.0717395
UID_H13_2_7_hem-17,-0.117071,-0.195332,0.0486495,-0.00689235,-0.0133681,-0.106119,0.64956,-0.0125161,-1.65167
UID_H13_2_8_hem-9,-0.137354,-0.905794,-0.231627,-0.00473522,-0.176118,0.0958676,0.154318,-0.0189503,-0.0975319
UID_H13_30_1_hem-3,0.113995,-1.00736,0.325946,0.121619,0.193252,0.0663296,0.220517,0.0325702,-0.00454039
UID_H13_30_2_hem-4,0.0135125,-1.01824,-0.121631,0.0665063,-0.2816,0.301417,-0.284005,-0.0393479,-0.258307
UID_H13_30_3_hem-2,0.03304,-1.01589,0.0434859,0.416063,-0.00282241,0.354533,0.318916,0.13761,0.0136863
UID_H13_30_4_hem-2,0.279444,-1.504,0.16581,0.222605,-0.00889047,-0.184254,0.00541655,-0.0895176,-0.0524381
UID_H13_31_1_hem-9,-0.292086,0.162913,-0.522691,0.0382737,-0.316274,-1.01573,-0.845232,-0.0621311,-0.533426
UID_H13_31_2_hem-8,-0.130061,-0.538931,0.209613,0.415365,0.238592,0.690538,0.400053,0.445937,-0.166578
UID_H13_31_3_hem-7,-0.116604,-0.402745,0.299112,0.335745,0.46235,0.048583,0.15361,0.623684,0.402269
UID_H13_33_1_hem-9,-0.528658,0.353428,-0.825952,0.0639313,-0.419029,1.16717,0.351232,0.761858,-0.476883
UID_H13_33_2_hem-8,0.147224,-0.81185,0.174552,-0.374215,-0.112755,-0.264852,-0.181172,-0.43657,-0.379942
UID_H13_33_3_hem-14,0.109497,-1.00851,0.135799,-0.0335929,-0.072862,-0.140467,0.359534,0.016023,0.00924462
UID_H13_33_4_hem-11,0.316028,-1.12848,0.922366,0.599676,0.690736,0.166255,-0.262831,-0.0815378,0.161288
UID_H13_33_5_hem-12,0.164966,-0.730259,0.705457,-0.0526231,0.368057,0.416167,-0.00446725,0.0359682,-0.299822
UID_H13_33_6_hem-9,0.0751023,-1.15892,0.0661151,0.254602,0.132127,0.0747174,0.046706,-0.0701919,-0.0802467
UID_H13_34_1_hem-6,-0.515743,0.152004,0.489512,-0.330651,0.263256,0.573692,0.6195,-0.0970242,-0.073255
UID_H13_34_2_hem-2,0.376178,-1.51418,0.456781,0.4029,0.173594,-0.106923,-0.0135842,-0.0508603,-0.0549448
UID_H13_35_1_hem-11,-0.254048,-0.454835,0.22629,-0.11934,0.170544,0.195467,0.432045,0.0211282,0.13626
UID_H13_35_2_hem-6,0.315318,-1.44654,0.293872,0.393699,0.134724,-0.190346,0.0829642,-0.188053,-0.153927
UID_H13_3_1_hem-20,-0.221617,-0.508711,-0.354874,0.172873,-0.483626,0.54891,-1.22402,0.30226,0.363288
UID_H13_3_2_hem-8,-0.211074,-0.0527905,-0.571588,0.00196024,-0.346979,-0.833759,0.416534,-0.311248,-2.14469
UID_H13_3_3_hem-12,3.11913,2.57276,-2.69327,-0.184304,-2.29348,3.18349,-1.19459,2.0484,-1.14315
UID_H13_3_4_hem-7,0.0361724,2.01857,-3.49958,3.92729,-0.818942,-3.45466,2.96284,0.108941,-4.68202
UID_H13_3_5_hem-8,-0.521134,0.124664,0.0959127,-0.434366,0.309422,0.647861,0.198976,0.204252,-0.0440135
UID_H13_3_6_hem-19,-0.0920593,-0.195223,-0.0150129,0.031715,-0.073493,-0.212119,0.691991,0.0924095,-1.82776
UID_H13_3_7_hem-15,-0.568007,0.283884,0.176318,-0.547826,0.0458608,0.56556,0.229094,0.0304681,-0.277835
UID_H13_4_1_hem-20,-0.17639,-0.320173,0.142089,-0.116728,-0.306125,0.357605,-0.00234985,0.324767,0.272802
UID_H13_4_2_hem-9,0.308969,-1.47455,0.0584954,0.167711,-0.17454,-0.260242,-0.394165,-0.0321783,-0.237575
UID_H13_4_3_hem-6,-0.424035,0.665071,0.795056,-0.511429,0.460744,0.677489,0.3989,0.514335,-0.380904
UID_H13_4_4_hem-3,0.45845,-1.61206,0.436957,0.322682,0.0552571,-0.25715,0.341848,-0.211438,-0.257763
UID_H13_4_5_hem-16,-0.207298,-0.501018,-0.34077,0.222816,-0.481481,0.579458,-1.09006,0.410992,0.456197
UID_H13_4_6_hem-8,-0.216948,-0.0304778,-0.604178,-0.00727383,-0.285009,-0.798582,0.458246,-0.327051,-2.26326
UID_H13_4_7_hem-5,0.207978,-0.933005,0.406501,0.044074,0.14234,0.239922,-0.206733,0.112778,-0.292101
UID_H13_5_1_hem-2,0.286179,-1.4678,0.179067,0.270346,-0.00405733,-0.287628,0.106709,-0.222343,-0.0125746
UID_H13_5_2_hem-13,-0.60926,2.61136,3.72554,0.591906,0.901801,0.888671,-0.559099,-0.845549,-1.7646
UID_H13_5_3_hem-11,-0.163358,0.818941,0.778764,-0.436897,0.568417,1.01772,1.37711,1.08793,0.66372
UID_H13_5_4_hem-9,0.23603,-0.933069,-0.393763,0.634685,-0.477349,-0.522254,-0.806575,0.581991,0.0932014
UID_H13_6_1_hem-3,0.254649,-0.919139,1.00706,0.290153,0.508526,0.0572729,0.0104529,-0.280464,0.0283882
UID_H13_6_2_hem-3,0.365327,-1.29957,0.444663,0.33643,0.154765,-0.34554,-0.387875,-0.203765,0.197051
UID_H13_6_3_hem-11,-0.00678788,-0.991358,-0.185341,-0.226002,0.0585568,-0.311835,0.124911,-0.265976,0.0618798
UID_H13_6_4_hem-10,-0.268197,-0.648407,-0.324015,-0.250495,-0.189561,-0.249747,0.0687498,-0.210037,0.162283
UID_H13_6_5_hem-4,0.302659,-1.44319,0.242379,0.248588,0.0421506,-0.233274,0.106618,-0.207223,-0.0546462
UID_H13_7_1_hem-4,0.0519453,-0.697847,0.422156,0.461893,0.246034,0.770908,0.410857,1.05104,0.475738
UID_H13_7_2_hem-3,0.462725,-1.16929,0.629562,0.446995,0.34058,-0.795514,-0.687463,-0.218806,0.276384
UID_H13_7_3_hem-10,-0.0106066,-1.00376,-0.125478,-0.159137,-0.0127262,-0.317705,0.0696626,-0.226701,0.0883714
UID_H13_8_1_hem-5,0.232335,-1.48153,0.0276618,0.150967,-0.198683,-0.29646,0.110375,-0.336469,-0.288036
UID_H13_8_2_hem-7,0.219328,-1.21308,0.217347,0.123778,0.00930203,0.0177077,0.0648534,0.251284,-0.0504165
UID_H13_8_3_hem-2,0.0288974,-1.054,0.064259,0.0867331,0.0536149,-0.163107,0.17529,-0.105826,0.152948
UID_H13_8_4_hem-9,0.162161,-1.13995,0.21026,0.206286,0.123369,-0.122455,0.0297607,0.0462742,0.156733
UID_H13_9_1_hem-6,0.0855523,-0.847988,0.256925,0.139249,0.116748,-0.17339,-0.447933,-0.200717,0.0488212
UID_H13_9_2_hem-21,-0.769222,0.502562,0.0101299,-0.625519,1.59571e-05,0.561053,0.846018,0.0964531,-0.224339
UID_H13_9_3_hem-16,-0.308758,0.358604,0.917415,-0.136028,0.107261,0.32954,-0.640284,-0.478846,0.397115
UID_H18_10_1_hem-10,-0.845809,0.775266,0.485196,-0.696723,0.416842,0.706034,-0.0817715,-0.0736135,0.878236
UID_H18_10_2_hem-27,-0.187358,-0.811565,-0.282216,-0.0630066,-0.243834,0.119236,0.10061,0.138765,-0.0838262
UID_H18_11_1_hem-9,-0.465845,0.212462,0.563906,0.59426,-0.46367,0.354557,-0.531552,1.73601,-0.0121249
UID_H18_11_2_hem-8,0.17597,1.26348,0.214072,1.32014,0.00728492,-1.16669,-1.55857,-0.455094,-1.95982
UID_H18_11_3_hem-3,-0.84946,0.901092,-1.38291,-0.829708,-0.59024,-0.350703,-0.498996,-1.48991,0.510058
UID_H18_11_4_hem-7,-0.0242888,-0.917753,-0.392475,0.137866,0.447934,-0.771043,0.139596,-0.72,0.261434
UID_H18_11_5_hem-26,-0.448632,2.80226,2.33497,3.19377,0.380742,0.361857,-2.52301,-0.841991,0.608103
UID_H18_11_6_hem-9,0.102443,-0.244219,0.752376,0.639117,0.704354,-0.197587,-0.28222,0.0518997,-0.00715472
UID_H18_11_7_hem-2,2.32519,-1.21622,3.86203,-2.18068,0.708488,0.890588,-1.51483,-1.26286,4.02604
UID_H18_11_8_hem-9,0.091746,-0.51002,0.0695879,0.137791,-0.305183,-0.306549,0.140178,0.539011,-0.940395
UID_H18_11_9_hem-3,0.0256967,-0.476647,0.240165,0.824916,-0.914073,1.49485,-0.88555,1.20589,0.961601
UID_H18_13_1_hem-4,-0.622349,0.201245,-0.242842,-0.478012,-0.0696078,0.494551,-0.448282,0.40048,0.0523199
UID_H18_14_1_hem-7,0.0231263,-1.09428,-0.0339167,-0.0311536,-0.130969,-0.31371,0.148579,-0.223865,0.0831435
UID_H18_15_1_hem-20,-0.616657,0.720816,0.5044,-0.219802,0.712484,0.302098,-0.395352,0.11287,1.03814
UID_H18_15_2_hem-15,-0.934034,0.503677,-0.389456,-0.688034,-0.10008,0.0959624,0.215305,0.266627,0.678345
UID_H18_16_1_hem-21,0.0084563,-0.757136,0.491856,0.029268,0.329677,0.0607494,-0.0395307,-0.145745,0.116279
UID_H18_1_1_hem-2,-0.68284,-0.193483,-0.696264,-0.38181,-0.309266,0.169914,0.271615,-0.0982081,0.00980871
UID_H18_2_1_hem-7,0.0681254,-0.869599,-0.00833395,-0.157725,-0.314263,-0.138517,0.0176312,-0.179549,0.275231
UID_H18_3_1_hem-2,-0.12088,-0.439241,-0.327155,0.661577,0.316946,-1.50039,0.414668,-0.574763,-0.24879
UID_H18_4_1_hem-4,-0.554216,0.377668,0.461149,-0.40408,0.616769,0.954286,0.217126,0.216899,-0.221842
UID_H18_5_1_hem-2,-0.374293,-0.164948,0.106073,-0.280329,0.0417878,-0.00486528,0.0374333,-0.0634563,0.302609
UID_H18_5_2_hem,2.5362,-0.90006,1.2011,0.455722,1.85038,1.43441,-0.148837,0.222923,-2.10617
UID_H18_6_1_hem-2,1.79766,-3.35341,0.943127,1.86363,0.411938,-1.5087,-0.304196,-0.67806,-0.635187
UID_H18_6_2_hem-2,-0.166216,-0.452691,0.30389,-0.169001,0.223907,0.307577,-0.398112,0.305882,-0.14368
UID_H18_6_3_hem-10,0.557031,3.70285,1.78601,4.74192,1.01887,-2.2016,7.33652,0.00520969,-4.31538
UID_H18_6_4_hem-5,-0.103582,3.05931,4.28905,1.12518,1.03636,1.0239,-0.369304,0.178069,-1.80258
UID_H18_6_5_hem-6,-0.513133,-0.281609,-0.400232,-0.466782,-0.421444,-0.305297,0.184789,-0.40873,0.116174
UID_H18_7_1_hem-2,-0.726301,1.61556,0.574039,-0.271194,0.167331,0.211724,-0.022996,-1.02246,0.0380222
UID_H18_8_1_hem-4,0.317411,0.591874,-1.13004,2.34023,-1.04632,-0.0259074,-0.252964,1.6389,-3.71334
UID_H18_9_1_hem-7,0.0587335,0.917338,0.664524,1.69751,0.261559,0.0523662,-1.17841,1.93305,-1.34161
UID_H1_10_1_hem-19,2.44499,-0.680205,4.99081,-1.96869,-1.09518,-0.881146,-1.17762,1.60118,0.978953
UID_H1_11_1_hem-13,0.30731,-1.33871,0.124372,0.816237,-0.163623,0.19431,0.124764,0.334848,0.2965
UID_H1_15_1_hem-4,0.360389,-1.63688,0.165387,0.333955,-0.0775253,-0.232283,0.0662612,-0.13756,-0.192603
UID_H1_16_1_hem-7,2.55214,0.11599,0.716772,0.519922,1.24405,0.275405,1.0698,1.91097,-0.171669
UID_H1_16_2_hem-10,2.29052,2.56078,-0.446832,0.694644,2.31102,-2.61958,1.84256,6.52927,3.17012
UID_H1_19_1_hem-4,0.0808426,-1.23205,-0.032138,0.196089,0.105471,-0.142086,0.160553,-0.0866907,-0.00379399
UID_H1_1_1_hem-15,0.167588,-0.735453,-0.292217,1.05112,-0.0324979,-0.766926,-0.0176335,0.297217,-0.0431859
UID_H1_20_1_hem-25,0.0301577,-1.16962,-0.196793,0.222764,-0.194377,-0.142425,0.0742792,-0.0262929,-0.130259
UID_H1_21_1_hem-3,0.189106,-1.29778,-0.231534,0.73733,-0.387366,-0.0881126,0.361039,0.0749858,-0.229425
UID_H1_22_1_hem-2,0.252711,-1.53013,-0.118997,0.390117,-0.18232,-0.281652,0.133046,0.0607318,-0.186007
UID_H1_23_1_hem-14,0.229096,1.24746,1.03252,2.74881,1.4895,-0.907806,2.06554,0.303416,-1.4446
UID_H1_25_1_hem-14,0.209723,-1.28293,0.12524,0.370042,-0.134847,-0.164894,-0.0516632,0.0139743,0.0763742
UID_H1_27_1_hem-11,-0.824472,0.516057,-0.590891,-0.544175,-0.0829455,-0.387096,-0.780735,-0.279959,0.547992
UID_H1_29_1_hem-2,0.0172975,-1.05972,0.124679,0.147173,0.0244043,0.127173,0.335818,-0.0145229,-0.118562
UID_H1_2_1_hem-5,0.100077,-1.26827,-0.114357,0.107967,-0.0447471,-0.316326,0.0173589,-0.295184,-0.147989
UID_H1_30_1_hem-36,-1.16018,0.67219,-0.783226,-0.761208,-0.217864,0.325639,0.267241,-0.115714,0.466804
UID_H1_31_1_hem-4,-0.0635498,-1.06007,-0.125816,0.0749466,-0.0308738,-0.0129765,0.19378,-0.0964035,-0.065228
UID_H1_32_1_hem-27,-0.601924,-0.111543,-0.509019,-0.194462,-0.389886,0.544544,0.102717,-0.0414466,0.453175
UID_H1_33_1_hem-17,2.36192,-1.04206,-1.35781,5.36338,2.55035,0.178453,-3.08689,2.24112,6.78081
UID_H1_34_1_hem-26,-0.131597,-0.668177,0.0728922,0.192574,0.179109,-0.00156824,0.342203,0.168407,0.4037
UID_H1_35_1_hem-35,-0.315798,0.0899918,-0.710644,0.60543,-0.844617,-0.635072,0.352407,0.474965,-1.1893
UID_H1_36_1_hem-27,-0.3941,0.356574,-0.595126,0.193834,0.584259,-1.20096,0.563232,-1.24314,-0.916552
UID_H1_38_1_hem-5,0.21151,-0.877215,0.582122,-0.00987156,0.0123823,-0.114934,-0.217263,0.00222713,-0.25405
UID_H1_39_1_hem-6,-0.0871801,0.32843,0.121117,0.963816,0.428021,-0.0382571,-0.303133,1.21945,-0.046962
UID_H1_3_1_hem-3,-0.334655,-0.186212,0.166306,-0.276084,0.250038,0.291517,-0.0560031,0.152195,0.124004
UID_H1_40_1_hem-14,0.143401,-0.79377,0.662333,0.116162,0.497344,0.454429,-0.103493,0.0951386,-0.21462
UID_H1_44_1_hem-15,-0.490091,-0.302824,-0.499049,-0.122964,0.150478,-0.218458,0.711089,0.0532448,-0.382685
UID_H1_5_1_hem-2,0.338347,0.362107,-0.205222,2.04041,-0.173354,-2.27747,-1.34779,1.20835,0.0264761
UID_H1_6_1_hem-2,0.335393,0.327516,-0.247167,1.91915,-0.30359,-2.41634,-1.23598,1.29955,-0.102516
UID_H1_7_1_hem-19,-0.0571571,-0.878161,-0.127872,0.143913,-0.0409973,0.14105,-0.049558,-0.0768655,-0.284209
UID_H1_8_1_hem-8,3.09147,2.044,-0.937014,-1.80791,-0.517125,2.73654,0.0141188,0.0274268,0.187232
UID_H1_9_1_hem-25,0.0785932,-1.03074,-0.0545489,0.470232,-0.130177,0.0419598,0.288352,0.111917,-0.526221
UID_H20_10_1_hem-4,0.130757,-0.970419,0.113857,-0.174175,-0.181261,-0.364377,0.0538966,-0.0547949,-0.0239961
UID_H20_10_2_hem-4,0.0760969,-1.21604,-0.068251,0.115576,0.0489062,-0.233593,0.376388,-0.165156,0.129177
UID_H20_10_3_hem-8,-0.267896,0.163473,0.979831,-0.356238,0.566609,0.458005,0.259018,0.299727,0.337505
UID_H20_11_1_hem-3,-0.162098,-0.609573,-0.175774,-0.363532,-0.0575069,-0.64553,0.665791,-0.589791,-0.138204
UID_H20_12_1_hem-2,-0.611486,-0.0521415,-0.387183,-0.569906,-0.0975203,-0.0925079,0.250079,-0.333765,0.388334
UID_H20_12_2_hem-4,-0.308271,-0.480918,-0.0824033,-0.166465,0.104646,0.0743716,0.254917,-0.0560294,0.210676
UID_H20_13_1_hem-2,0.284239,-1.31044,0.364485,0.335137,0.192126,-0.142717,-0.108081,-0.029024,0.149897
UID_H20_13_2_hem-11,-0.848807,0.562332,-0.0879724,-0.898281,-0.298415,0.46267,-1.4917,-0.652171,-0.254064
UID_H20_13_3_hem-5,0.16837,-1.27446,0.114728,0.120345,0.125181,-0.135019,-0.566294,0.292807,-0.115998
