Contour,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5
UID_23_10_2_all-20,-206.108,-23.7609,-2.59434,-47.3549,22.7485
UID_23_11_1_all-15,279.761,293.26,-14.2985,70.5931,-23.2484
UID_23_13_1_all-4,-172.818,-33.4556,-9.63413,-24.0671,-1.28903
UID_23_13_2_all-14,-299.594,-147.157,-24.2456,-47.6318,23.9793
UID_23_14_1_all-12,-141.311,39.6159,-3.14982,-33.7141,3.55584
UID_23_15_1_all-19,-210.635,-56.2833,0.120447,-15.0544,-9.34099
UID_23_15_2_all-14,-183.226,-55.159,-14.6047,5.14079,-35.1889
UID_23_15_3_all-21,-232.923,-231.446,27.5822,-47.1332,-74.3015
UID_23_16_1_all-3,-126.519,53.4897,2.61109,-24.9693,9.52861
UID_23_16_2_all-15,-176.046,6.68072,3.23792,-25.3988,8.00133
UID_23_16_3_all-16,-194.958,-51.4835,-14.2886,-5.19753,-40.2988
UID_23_16_4_all-24,-144.623,-50.1986,-32.0201,2.01656,-25.0409
UID_23_17_1_all-2,-121.344,33.0184,-6.70762,-1.0321,-16.8632
UID_23_17_2_all-2,-256.564,-104.349,-15.6654,-18.4229,-29.996
UID_23_17_3_all-2,843.396,-399.241,105.689,-168.545,1.70917
UID_23_17_4_all,787.552,-197.292,70.9644,-117.816,-43.4206
UID_23_17_5_all-2,-163.899,31.7038,5.64477,-36.6055,23.9319
UID_23_18_1_all-6,-154.245,-4.32446,-3.01842,-25.3076,0.705202
UID_23_18_2_all-15,-210.757,-29.9547,0.0758419,-42.2845,22.7247
UID_23_18_3_all-16,-229.798,-67.2203,0.765843,-50.0408,53.0114
UID_23_19_1_all-6,-241.872,-70.7187,2.50269,-49.0639,57.3456
UID_23_19_2_all-3,-72.7761,53.5176,28.2279,-10.6223,10.6307
UID_23_19_3_all-12,-242.409,-73.9436,-3.32345,-41.5595,11.9967
UID_23_1_1_all-9,-204.75,-45.6106,16.5161,-15.7687,7.2136
UID_23_20_1_all-18,-219.115,-141.904,-2.46506,-3.08121,31.172
UID_23_20_2_all-16,-164.641,6.53049,24.8437,-24.5291,47.6624
UID_23_20_3_all-11,135.095,-411.995,69.6386,338.748,69.4831
UID_23_21_1_all-7,742.172,-205.044,-27.3557,-40.1779,-97.9263
UID_23_21_2_all-18,666.921,-35.5612,-194.076,58.2652,84.4221
UID_23_23_1_all-2,855.412,-240.198,28.6429,-87.9046,20.0725
UID_23_23_2_all,785.768,-75.3601,81.7308,-138.881,-19.6709
UID_23_23_3_all-6,-140.508,34.9003,-3.99249,-31.4556,14.6257
UID_23_24_1_all-26,-238.387,-94.7649,-23.3868,-17.417,-13.4804
UID_23_24_2_all-8,-132.734,42.8665,-0.819054,-20.3653,0.0216494
UID_23_25_1_all-2,-205.294,-56.8332,-15.8245,-28.6654,6.45879
UID_23_25_2_all-2,-255.406,-57.6122,4.92102,-48.7941,16.7274
UID_23_25_3_all-2,-207.518,-22.005,-4.12408,-36.694,19.1278
UID_23_27_1_all-8,-163.954,-16.6937,-4.4005,-10.0307,-10.9306
UID_23_28_1_all-4,-164.034,-15.5259,-4.39664,-12.7172,-11.6429
UID_23_28_2_all-11,-162.387,13.798,0.0789381,-24.2148,6.32243
UID_23_28_3_all-7,-178.288,-47.5028,18.6698,19.4153,10.0376
UID_23_29_1_all-15,-40.2163,98.1982,-14.7076,-2.29592,-23.2418
UID_23_29_2_all-8,3.99619,94.171,-22.7799,23.8715,-28.2761
UID_23_29_3_all-9,-82.7363,77.277,-4.94558,-0.844723,1.42501
UID_23_29_4_all-16,-103.796,73.7832,0.124891,-37.0485,21.3542
UID_23_2_1_all-3,635.252,-213.671,62.33,2.70838,-226.428
UID_23_2_2_all-2,-215.609,-38.0843,-1.33458,-28.0392,-3.3359
UID_23_30_1_all-11,-113.088,64.5369,-0.553109,-39.1859,22.1448
UID_23_30_2_all-3,-73.0608,67.3886,-10.4027,-6.3838,-13.6784
UID_23_30_3_all-15,-112.825,-2.40274,-16.5061,-8.45464,-0.577703
UID_23_30_4_all-8,-101.819,76.7192,-1.19624,-29.5584,21.2887
UID_23_31_1_all-11,708.303,-206.474,-165.661,-40.6778,187.01
UID_23_31_2_all-7,-156.188,8.23623,-6.00613,-15.1044,-6.63123
UID_23_31_3_all-13,-168.487,-81.6989,53.5707,-4.3989,24.332
UID_23_31_4_all-6,-113.658,43.1319,-5.77759,-13.4741,-13.9753
UID_23_31_5_all-15,-128.676,55.9417,2.72633,-29.168,9.53694
UID_23_32_1_all,744.04,-123.484,66.0339,-89.2384,-84.3714
UID_23_32_2_all-15,-227.942,-74.5922,-7.12916,-16.5404,-9.72691
UID_23_32_3_all-15,-214.968,-28.5878,7.77521,-29.689,13.9046
UID_23_33_1_all-14,-210.962,-17.9342,11.3055,-39.2537,17.5751
UID_23_33_2_all-6,-108.892,47.2302,-11.242,-24.4823,9.79517
UID_23_34_1_all-11,-95.7383,53.0003,-15.2741,-20.2675,5.63872
UID_23_34_2_all-14,-123.809,48.5869,-0.202288,-30.9198,24.3464
UID_23_34_3_all-14,-161.355,-13.2579,-6.00067,-10.7029,1.51444
UID_23_34_4_all-11,-97.3608,81.3007,1.23929,-28.8168,14.9446
UID_23_34_5_all-9,-85.9482,90.3518,-1.24718,-19.0945,1.67201
UID_23_35_1_all-9,-180.821,8.22694,1.77062,-41.4581,13.6401
UID_23_35_2_all-14,-194.643,-18.9811,-4.58834,-25.9175,-0.410511
UID_23_35_3_all-14,-210.94,-15.2566,1.13778,-47.7219,25.7489
UID_23_35_4_all-8,-108.131,23.475,-12.5103,-30.9389,4.9
UID_23_35_5_all-18,618.688,-123.65,347.645,-103.877,-155.298
UID_23_36_1_all-3,-151.886,27.5274,9.24912,-23.3604,13.5789
UID_23_36_2_all-6,-161.19,22.505,1.74907,-39.9807,17.4043
UID_23_36_3_all-6,-174.909,0.839432,-11.4173,-25.9778,11.58
UID_23_37_1_all-5,-183.892,-0.379483,-5.76098,-27.6854,12.1451
UID_23_37_2_all-4,-204.402,-22.132,-7.24576,-44.1638,7.39164
UID_23_37_3_all-11,-267.454,-161.632,-1.87431,-2.40255,22.82
UID_23_38_1_all-15,-201.286,-26.1377,-3.43684,-27.8961,7.84625
UID_23_38_2_all-12,-101.497,-134.508,-28.2036,181.761,34.908
UID_23_38_3_all-18,-118.275,-222.977,63.0142,119.276,13.5558
UID_23_38_4_all-16,-243.299,-63.9795,-11.8601,-39.6932,19.6988
UID_23_3_1_all-10,789.015,-283.979,266.34,-103.027,-146.385
UID_23_4_1_all-4,539.722,-460.925,21.7111,77.1352,51.9593
UID_23_4_2_all-20,-252.466,-150.307,-26.9574,-23.4457,-1.1276
UID_23_4_3_all-13,490.93,-139.714,-424.841,21.7833,198.544
UID_23_4_4_all-19,694.027,-192.448,-216.147,-10.9635,218.058
UID_23_5_1_all-6,833.588,-223.126,-17.0701,-125.562,-14.3241
UID_23_5_2_all-12,-209.447,-26.1855,-1.71265,-40.9924,13.2139
UID_23_5_3_all-2,519.346,654.658,8.43396,45.1558,-14.6307
UID_23_6_1_all-23,-185.777,-50.2452,-5.95062,-17.3618,9.66747
UID_23_7_1_all-8,-75.843,44.6904,2.81704,-5.41068,-7.42216
UID_23_7_2_all,778.974,-205.789,79.2849,-112.491,-51.7396
UID_23_7_3_all-9,743.681,-250.673,-14.7003,-49.8627,-82.3314
UID_23_8_1_all-12,-294.261,-160.835,-6.94426,-21.1088,-22.9179
UID_23_8_2_all-5,635.867,-453.129,60.4008,160.434,-28.9081
UID_23_9_1_all-12,510.458,-86.0749,260.628,105.697,-196.715
UID_2_10_1_all-5,-86.4828,23.5004,-28.0165,13.5849,-38.1515
UID_2_10_2_all-13,-82.4118,-50.8815,-57.0145,21.7863,22.6994
UID_2_11_1_all-5,867.614,-349.77,94.0482,-186.169,-34.0298
UID_2_11_2_all-9,-189.61,-104.147,-8.06597,23.553,-27.8124
UID_2_12_1_all-8,-145.898,-38.258,-21.6184,-7.23353,-17.7737
UID_2_12_2_all-12,-221.608,-61.4113,-24.5217,-22.5617,9.28939
UID_2_12_3_all-2,-144.568,31.346,-2.47805,-33.6151,12.0335
UID_2_13_1_all-3,861.055,-349.13,29.444,-212.268,-31.4431
UID_2_13_2_all-3,28.9777,-64.9395,121.726,190.767,51.2458
UID_2_13_3_all-7,46.5841,-212.973,31.7303,258.301,3.60419
UID_2_13_4_all-3,-140.53,-1.15823,-18.0618,-2.33071,-20.7391
UID_2_13_5_all-2,719.183,-143.154,36.5213,-94.3413,-131.26
UID_2_13_6_all,460.076,608.127,10.9287,40.0771,-10.8566
UID_2_13_7_all-6,-145.167,-35.9789,-21.7151,-6.59303,-16.6234
UID_2_13_8_all-12,-223.159,-62.7818,-23.5663,-22.6088,10.2532
UID_2_14_1_all-16,-158.46,-274.26,32.3165,17.421,4.40475
UID_2_14_2_all-17,-264.585,-138.758,54.2245,8.57536,38.0898
UID_2_14_3_all-17,-197.178,-128.415,-37.6534,54.3116,-70.2495
UID_2_15_1_all-19,-170.133,-75.1484,-14.3317,17.5994,-30.5711
UID_2_16_1_all-4,688.313,-244.448,20.4676,-79.2402,-197.596
UID_2_16_2_all-5,-94.8535,31.0926,-10.1296,-1.23597,-5.19378
UID_2_16_3_all-11,-169.686,-15.0529,-10.7058,-37.7131,-0.627833
UID_2_17_1_all-17,450.681,496.373,-14.1271,59.1515,-41.2061
UID_2_17_2_all-10,641.573,-229.537,-183.846,-4.99864,-36.4565
UID_2_19_1_all-3,-252.948,-62.9554,-8.85527,-48.3724,23.2324
UID_2_1_1_all-15,-186.838,-140.714,-36.7339,20.4886,-6.73965
UID_2_1_2_all-13,-166.987,-246.071,-51.9241,88.2362,-49.7472
UID_2_20_1_all-13,-173.854,-96.3497,11.5383,-0.709095,-11.5421
UID_2_20_2_all-20,-235.393,-181.215,-51.2132,26.7188,-63.5304
UID_2_21_1_all-8,-153.759,34.2228,-1.11091,-34.9999,8.78854
UID_2_21_2_all-7,-162.576,5.98178,-1.58824,-33.8209,12.2351
UID_2_21_3_all-11,-112.086,12.1453,-16.8029,6.74923,-33.5936
UID_2_21_4_all-16,-220.399,-107.589,-40.0494,-11.1148,-25.3237
UID_2_25_1_all-6,743.591,-178.59,-222.103,-2.33166,192.137
UID_2_25_2_all-18,-231.61,-129.618,-40.7801,12.0123,-37.062
UID_2_27_1_all-7,769.589,-314.138,73.9028,-126.843,-128.409
UID_2_27_2_all-3,-166.811,-31.9004,-15.7816,-21.8682,-9.26847
UID_2_28_1_all-5,-163.772,-14.4847,-2.85715,0.863877,-25.3047
UID_2_28_2_all-3,-226.213,-57.6761,-13.1681,-37.5162,4.42585
UID_2_28_3_all-3,-271.814,-98.5705,-4.08081,-26.2568,-6.51131
UID_2_28_4_all-9,-130.69,33.0589,-11.0835,-19.4396,0.913951
UID_2_29_1_all-9,-182.025,-36.7346,8.89446,-26.119,20.6913
UID_2_29_2_all-9,-183.849,-66.2697,-19.7254,5.53272,-23.489
UID_2_29_3_all-7,-263.022,-99.058,17.5979,-27.9009,1.2549
UID_2_2_1_all-11,-166.959,-18.0461,-6.94297,-12.7566,-15.4161
UID_2_30_1_all-12,-120.869,-2.57427,-31.8899,-7.76342,-49.5755
UID_2_30_2_all-4,-222.237,-56.1046,-11.9085,-52.2291,23.5245
UID_2_31_1_all-9,-107.35,28.2652,-13.9592,-5.09017,-19.5798
UID_2_31_2_all-11,-94.5809,4.08767,-23.0749,5.22592,-27.7748
UID_2_31_3_all-4,-125.437,-32.9168,23.556,12.9206,-20.8384
UID_2_31_4_all-7,-41.3054,126.627,-4.54419,-13.4964,-2.35969
UID_2_31_5_all-4,-122.529,-4.0978,-32.433,1.06422,-21.8226
UID_2_31_6_all-26,-90.0311,-10.8193,-14.5671,37.4363,-66.6853
UID_2_31_7_all-2,-207.7,-24.8581,15.9854,-22.0082,26.5064
UID_2_32_1_all-8,-5.23734,-8.84425,58.3681,-13.8085,76.2045
UID_2_32_2_all-11,-86.1365,78.5717,4.59854,-25.286,9.03762
UID_2_32_3_all-9,-116.823,37.2872,-6.03608,-14.2649,-6.898
UID_2_32_4_all-7,641.06,74.3395,-278.268,215.271,39.2711
UID_2_33_1_all-21,-212.113,-131.871,27.0956,27.4962,9.431
UID_2_33_2_all-21,-226.946,-127.075,-30.389,-12.7045,-28.7144
UID_2_33_3_all-4,388.975,61.1976,-144.59,191.785,227.78
UID_2_33_4_all-3,843.958,-315.836,-60.6767,-116.193,26.7105
UID_2_33_5_all-2,469.087,610.517,8.96466,44.5748,-14.5517
UID_2_36_1_all-22,-256.919,-106.7,-9.76885,-28.0832,2.07007
UID_2_3_1_all-11,-271.336,-99.7137,-1.86873,-39.2977,2.25871
UID_2_3_2_all-15,-200.641,-77.9754,-21.4473,5.75087,-39.1833
UID_2_3_3_all-12,-263.896,-90.4057,7.12567,-26.6699,10.1038
UID_2_3_4_all-8,-225.515,-105.152,1.89268,-17.9285,-27.0345
UID_2_5_1_all-13,-124.41,-93.1129,77.4573,29.6694,147.582
UID_2_5_2_all-8,-208.795,-162.142,-50.2952,59.5328,-99.8934
UID_2_5_3_all-10,-33.5199,93.6996,30.9834,-11.7726,40.6597
UID_2_5_4_all-7,-94.2103,72.5298,0.298243,-16.3628,-4.50652
UID_2_5_5_all-11,-108.92,8.44931,-9.30785,15.8544,-29.0094
UID_2_6_1_all-9,-135.684,-11.7449,-12.9244,-19.2777,-39.9819
UID_2_6_2_all-12,-237.437,-52.5709,-6.04874,-47.1807,13.7297
UID_2_6_3_all-21,-193.19,-101.099,-34.937,23.4063,-66.9033
UID_2_6_4_all-2,457.244,584.17,2.90862,50.4995,-24.004
UID_2_8_1_all-6,-202.114,-73.1806,-21.2155,-5.67318,38.6353
UID_2_8_2_all-11,-135.587,-85.622,71.291,76.9132,65.4563
UID_2_8_3_all-5,-135.646,-15.2848,-9.76099,5.94928,-20.9407
UID_2_9_1_all-4,-142.21,-31.9273,-28.7856,25.6215,-54.5429
UID_2_9_2_all-2,-97.2686,54.8281,-9.05009,-18.3045,-3.16364
UID_2_9_3_all-4,-102.631,68.9416,0.0620957,-23.0566,11.5022
UID_2_9_4_all-6,-168.06,1.71013,-3.69274,-33.28,11.9898
UID_30_10_1_all-4,760.34,-173.33,43.7634,-96.8767,49.2182
UID_30_10_2_all-5,467.231,327.242,-49.6242,101.35,-107.01
UID_30_10_3_all-9,816.365,-94.7078,103.091,-136.163,-21.8913
UID_30_10_4_all-19,-163.765,-43.3219,26.8157,3.75205,25.4203
UID_30_10_5_all-22,-106.176,-31.887,-23.4787,15.2326,-16.5729
UID_30_10_6_all-10,-90.3054,75.0543,2.43756,-25.7513,16.8519
UID_30_10_7_all-13,346.383,409.907,-6.16289,61.2522,40.3365
UID_30_10_8_all-18,-227.734,-161.746,-11.1029,20.2931,-34.5334
UID_30_11_1_all-14,-89.899,61.0491,1.43041,-0.497572,3.16339
UID_30_11_2_all-8,-121.997,55.2131,18.8961,-44.266,9.6178
UID_30_11_3_all-7,350.406,396.795,26.5519,61.0728,3.95054
UID_30_11_4_all-5,-18.3305,17.0574,-30.9569,49.7051,-91.215
UID_30_11_5_all-13,-74.1553,42.7394,-23.6686,2.61847,-23.7651
UID_30_11_6_all-21,-101.439,22.7083,-15.3487,1.68748,-23.5169
UID_30_11_7_all-7,-61.3806,93.9678,-2.97378,-2.87947,-14.8511
UID_30_11_8_all-19,-204.5,-70.0165,13.4245,-6.4212,-5.61675
UID_30_12_1_all-17,-135.495,-42.3385,-24.4606,21.0968,-31.0265
UID_30_12_2_all-17,-213.055,-46.2665,-0.870101,-30.2927,11.3126
UID_30_12_3_all-2,-39.732,105.743,-2.35358,7.19933,-17.7329
UID_30_12_4_all-21,-123.73,-6.62619,20.0552,9.92667,8.87638
UID_30_12_5_all-13,-28.5826,23.6163,62.7536,51.912,41.4459
UID_30_12_6_all-20,-144.964,19.8378,-11.5779,-31.2773,21.3964
UID_30_12_7_all-20,-132.873,-35.2801,-17.0614,21.5583,-33.2842
UID_30_12_8_all-16,-51.4717,-0.581583,-36.3557,33.9929,-44.8892
UID_30_13_1_all-13,-199.876,-76.2696,20.3665,-10.6489,17.2574
UID_30_13_2_all-13,-124.934,53.872,15.9427,-35.6216,43.7086
UID_30_13_3_all-4,-49.2374,51.2814,-8.61983,3.85423,-15.351
UID_30_13_4_all-3,-23.1904,148.247,7.57775,-18.2521,17.5784
UID_30_13_5_all-17,-86.3714,-55.2408,51.7349,12.1072,53.6421
UID_30_14_10_all-19,-42.7353,61.4977,-16.1005,12.2486,-7.6281
UID_30_14_11_all-15,-73.4143,107.661,2.61587,-24.0186,19.9048
UID_30_14_1_all-18,-124.235,-50.4914,9.76627,12.8257,15.9506
UID_30_14_2_all-28,-227.717,-82.077,-6.80789,-6.52578,-28.1575
UID_30_14_3_all-12,-213.321,-82.4264,-2.07388,1.36606,-31.3779
UID_30_14_4_all-22,-92.8855,52.8217,6.87405,-12.4418,5.04143
UID_30_14_5_all-5,-4.3547,102.883,-4.69362,9.21791,-26.4862
UID_30_14_6_all-22,-180.772,-17.7705,-6.77997,-41.842,-6.56622
UID_30_14_7_all-22,-5.25914,52.9273,-32.4398,9.62552,-32.8699
UID_30_14_8_all-10,-29.449,139.826,14.6335,-10.5392,1.76141
UID_30_14_9_all-9,-63.454,78.8833,2.07623,-2.02408,-6.28601
UID_30_15_1_all-10,-75.7957,-10.0329,-40.5513,18.3772,-56.7131
UID_30_15_2_all-11,-82.0669,-9.75293,47.6209,-51.4194,66.7567
UID_30_15_3_all-27,-169.281,-29.9944,5.85737,-5.78068,3.05866
UID_30_15_4_all-10,-46.1733,29.7593,66.1414,36.152,48.7958
UID_30_15_5_all-5,12.154,136.161,1.47866,3.73674,-0.949998
UID_30_15_6_all-15,-120.288,35.54,-11.3267,-13.5011,-2.20211
UID_30_16_1_all-20,-162.846,23.6384,5.28964,-30.2152,21.6592
UID_30_16_2_all-6,-59.6965,111.881,4.72093,-16.3854,13.4427
UID_30_16_3_all-14,-75.8927,39.8881,-3.57759,21.1322,-2.28582
UID_30_16_4_all-20,-82.295,-53.794,49.418,71.1322,-17.2301
UID_30_17_1_all-18,-148.529,38.9556,7.95207,-33.2789,14.0159
UID_30_17_2_all-21,-151.911,-4.70954,-10.1085,-34.4103,8.59755
UID_30_17_3_all-22,-100.548,59.904,6.50488,-14.8521,-4.33245
UID_30_17_4_all-13,-128.106,39.1129,9.81516,-15.099,27.2615
UID_30_17_5_all-11,-89.3957,86.6311,4.83071,-23.885,15.3281
UID_30_17_6_all-3,715.264,-175.947,104.648,-70.5936,-114.178
UID_30_18_10_all-7,-72.4944,74.2694,-0.229976,-1.50625,-14.9836
UID_30_18_1_all-17,-185.614,-34.7156,-10.0207,-20.7532,7.11734
UID_30_18_2_all-15,-117.183,-4.70906,18.1513,14.8192,-23.3391
UID_30_18_3_all-3,-65.8404,93.7762,-2.66426,-8.20726,-12.3394
UID_30_18_4_all-16,-67.6122,100.237,12.0896,-22.5976,19.6645
UID_30_18_5_all-4,-55.2933,90.6047,-7.03708,-9.21939,-11.6244
UID_30_18_6_all-2,-48.0811,113.084,1.2081,-16.4554,-9.93992
UID_30_18_7_all-13,-100.529,38.6735,0.00634361,3.52548,-18.9086
UID_30_18_8_all-6,-51.9869,88.6027,3.99713,3.89261,-19.3136
UID_30_18_9_all-2,-3.68892,100.159,5.09081,14.2028,-15.9674
UID_30_19_1_all-15,-144.569,-27.8026,-2.41695,18.4096,-24.505
UID_30_19_2_all-20,-146.328,14.6924,-0.398732,-14.5004,4.92098
UID_30_19_3_all-3,-26.6418,132.497,7.28205,-8.62174,2.566
UID_30_19_4_all-16,-120.742,46.3064,-1.75286,-27.0028,9.19443
UID_30_19_5_all-5,-9.35756,98.5271,-15.413,15.8452,-27.2726
UID_30_1_1_all-11,-126.283,29.1413,-6.96525,-26.138,23.3755
UID_30_1_2_all-6,-88.4822,91.0066,8.83861,-18.9867,15.6115
UID_30_1_3_all-13,-94.7097,81.1416,6.16293,-36.1206,8.39308
UID_30_1_4_all-20,-117.218,9.67423,9.36432,-9.73937,29.7202
UID_30_1_5_all-15,-138.201,49.9591,3.46966,-31.6863,15.3721
UID_30_1_6_all-8,-109.045,45.8878,3.77004,-21.7575,0.56995
UID_30_1_7_all-4,-148.704,42.6725,-0.934734,-33.8111,21.8722
UID_30_20_1_all-7,-58.2426,102.819,4.59398,-37.272,-2.66241
UID_30_20_2_all-6,-66.165,73.8746,-11.8987,-18.2615,-20.4266
UID_30_20_3_all-7,178.148,-65.4567,187.564,199.871,164.195
UID_30_20_4_all-14,-83.8805,54.3966,-13.0319,-8.01995,-7.38121
UID_30_21_1_all-7,-79.1405,-10.7799,16.4184,32.1389,-41.726
UID_30_21_2_all-31,-159.844,-29.2653,-14.6199,-7.57701,-18.3617
UID_30_21_3_all-6,-28.4706,134.994,-3.8517,-13.34,4.33374
UID_30_21_4_all-11,-49.8209,94.413,-4.31416,-4.92362,-6.75526
UID_30_21_5_all-19,-43.4753,39.5202,-19.4596,26.8058,-66.4998
UID_30_21_6_all-9,-37.0114,104.185,-9.47011,-7.03433,-8.7715
UID_30_22_1_all-6,-43.3733,-13.2504,0.868946,41.5804,-9.2302
UID_30_22_2_all-6,8.52808,153.946,-9.16585,15.6831,-24.7505
UID_30_22_3_all-12,-60.1741,88.3536,-5.55492,-18.3631,15.2941
UID_30_22_4_all-21,-34.8563,69.392,-32.259,-2.27341,-24.1573
UID_30_22_5_all-13,-75.5358,45.2967,38.1491,-12.205,75.7145
UID_30_23_1_all-9,-95.8862,52.5009,11.4325,7.28159,18.178
UID_30_23_2_all-3,-18.5033,136.636,-0.701164,-4.78286,-5.51903
UID_30_23_3_all-19,837.414,-186.041,-121.828,-26.2323,255.77
UID_30_23_4_all-6,-17.2022,135.53,-3.29982,-8.40512,-10.8239
UID_30_23_5_all-5,-27.2011,85.0092,-13.2446,25.1595,-49.9364
UID_30_23_6_all-2,-5.22415,82.6354,-12.5639,21.5416,-34.659
UID_30_23_7_all-11,-68.9389,79.3381,-9.50505,-11.6983,-1.39918
UID_30_23_8_all-9,375.231,454.33,-39.9564,78.3702,-5.58548
UID_30_24_1_all-2,490.216,-20.844,-16.243,125.757,-223.792
UID_30_25_1_all-13,-15.9957,145.457,2.94251,-7.50224,18.5869
UID_30_25_2_all-14,22.6461,131.464,39.242,13.7474,27.6058
UID_30_25_3_all-10,-7.66384,161.24,-3.46585,-15.2329,5.76823
UID_30_25_4_all-15,-79.7834,52.8473,-12.9602,-10.3703,-24.6377
UID_30_25_5_all-14,-60.0584,8.92283,6.8315,37.9146,-25.7496
UID_30_25_6_all-11,-8.61819,166.69,11.9404,-16.2838,20.9372
UID_30_26_1_all-4,7.34762,170.238,-3.66025,-2.29554,-6.23821
UID_30_26_2_all-4,-9.67768,33.9691,-35.4926,37.2093,-88.5903
UID_30_26_3_all-11,-39.8454,119.55,1.02209,-6.2146,-6.91374
UID_30_26_4_all-5,-49.5859,72.6951,-12.6115,5.75359,-30.7714
UID_30_26_5_all-17,-44.5947,107.587,7.75735,-1.55554,17.4731
UID_30_27_10_all-22,-186.617,-108.286,-6.23321,31.2241,-29.609
UID_30_27_11_all-5,-22.7449,132.927,-14.4453,-11.8235,8.18539
UID_30_27_1_all-22,-87.2739,44.7181,24.4455,-11.596,45.9747
UID_30_27_2_all-7,-53.8685,117.751,0.81564,-24.2719,8.20683
