Contour,Mode 1 (normalized),Mode 2 (normalized),Mode 3 (normalized),Mode 4 (normalized),Mode 5 (normalized)
UID_23_32_2_all-15,-0.792865,-0.527597,-0.0887123,-0.277195,-0.176872
UID_23_32_3_all-15,-0.747739,-0.202204,0.0967515,-0.497547,0.252837
UID_23_33_1_all-14,-0.733804,-0.12685,0.14068,-0.657838,0.319581
UID_23_33_2_all-6,-0.378766,0.334063,-0.139891,-0.410289,0.178113
UID_23_34_1_all-11,-0.333013,0.374876,-0.190065,-0.339656,0.102533
UID_23_34_2_all-14,-0.430654,0.34366,-0.00251719,-0.518173,0.442709
UID_23_34_3_all-14,-0.561252,-0.0937743,-0.0746698,-0.179366,0.0275382
UID_23_34_4_all-11,-0.338657,0.575047,0.0154213,-0.482931,0.27175
UID_23_34_5_all-9,-0.298959,0.639066,-0.0155194,-0.319998,0.0304034
UID_23_35_1_all-9,-0.628963,0.0581898,0.0220328,-0.694781,0.248028
UID_23_35_2_all-14,-0.67704,-0.134255,-0.0570954,-0.434342,-0.00746463
UID_23_35_3_all-14,-0.733726,-0.107911,0.0141581,-0.799754,0.468212
UID_23_35_4_all-8,-0.376118,0.166041,-0.155672,-0.518494,0.0891005
UID_23_35_5_all-18,2.15203,-0.874587,4.32595,-1.74084,-2.8239
UID_23_36_1_all-3,-0.528314,0.194704,0.115092,-0.391488,0.246915
UID_23_36_2_all-6,-0.560679,0.15918,0.0217647,-0.670022,0.316475
UID_23_36_3_all-6,-0.608397,0.00593737,-0.142072,-0.435352,0.210568
UID_23_37_1_all-5,-0.639645,-0.00268412,-0.0716873,-0.463969,0.220844
UID_23_37_2_all-4,-0.710985,-0.156542,-0.0901632,-0.740125,0.134408
UID_23_37_3_all-11,-0.930303,-1.14324,-0.0233231,-0.0402635,0.414954
UID_23_38_1_all-15,-0.700148,-0.184874,-0.0427666,-0.467501,0.142674
UID_23_38_2_all-12,-0.353044,-0.951385,-0.350954,3.04606,0.634759
UID_23_38_3_all-18,-0.411402,-1.57714,0.784122,1.99891,0.246496
UID_23_38_4_all-16,-0.846283,-0.452532,-0.147582,-0.665204,0.358198
UID_23_3_1_all-10,2.74448,-2.00861,3.31423,-1.7266,-2.66182
UID_23_4_1_all-4,1.87735,-3.26016,0.270164,1.29268,0.944816
UID_23_4_2_all-20,-0.87817,-1.06313,-0.335447,-0.392917,-0.0205041
UID_23_4_3_all-13,1.70763,-0.988206,-5.28655,0.365058,3.61028
UID_23_4_4_all-19,2.41408,-1.3612,-2.68964,-0.183733,3.96511
UID_23_5_1_all-6,2.89953,-1.57819,-0.212413,-2.10424,-0.260466
UID_23_5_2_all-12,-0.728535,-0.185213,-0.0213115,-0.686976,0.240278
UID_23_5_3_all-2,1.80648,4.63045,0.104949,0.756748,-0.26604
UID_23_6_1_all-23,-0.646202,-0.355388,-0.0740471,-0.29096,0.175791
UID_23_7_1_all-8,-0.26381,0.316099,0.0350541,-0.0906756,-0.134963
UID_23_7_2_all,2.70956,-1.45556,0.986589,-1.8852,-0.940821
UID_23_7_3_all-9,2.5868,-1.77303,-0.182925,-0.83563,-1.49709
UID_23_8_1_all-12,-1.02355,-1.1376,-0.0864115,-0.353755,-0.416733
UID_23_8_2_all-5,2.21178,-3.20502,0.751603,2.68866,-0.525658
UID_23_9_1_all-12,1.77556,-0.608815,3.24315,1.77133,-3.57702
UID_2_10_1_all-5,-0.300819,0.16622,-0.348626,0.227665,-0.693737
UID_2_10_2_all-13,-0.286659,-0.359889,-0.709465,0.365109,0.41276
UID_2_11_1_all-5,3.01788,-2.47395,1.1703,-3.11994,-0.61879
UID_2_11_2_all-9,-0.659534,-0.736642,-0.10037,0.394716,-0.505733
UID_2_12_1_all-8,-0.507488,-0.270602,-0.26901,-0.121224,-0.323192
UID_2_12_2_all-12,-0.770836,-0.434367,-0.305137,-0.378103,0.168916
UID_2_12_3_all-2,-0.502862,0.221713,-0.0308358,-0.563343,0.218813
UID_2_13_1_all-3,2.99506,-2.46943,0.366389,-3.55733,-0.571753
UID_2_13_2_all-3,0.100795,-0.459323,1.5147,3.19699,0.931842
UID_2_13_3_all-7,0.162037,-1.50638,0.394838,4.32878,0.0655378
UID_2_13_4_all-3,-0.488814,-0.00819227,-0.224754,-0.0390595,-0.377115
UID_2_13_5_all-2,2.50158,-1.01254,0.454456,-1.58103,-2.3868
UID_2_13_6_all,1.60031,4.30133,0.135992,0.671637,-0.197414
UID_2_13_7_all-6,-0.504943,-0.254482,-0.270214,-0.11049,-0.302276
UID_2_13_8_all-12,-0.776231,-0.444061,-0.293249,-0.378892,0.186441
UID_2_14_1_all-16,-0.551183,-1.93987,0.402133,0.291952,0.080095
UID_2_14_2_all-17,-0.920323,-0.981446,0.674747,0.143711,0.692615
UID_2_14_3_all-17,-0.685858,-0.908289,-0.468543,0.910187,-1.2774
UID_2_15_1_all-19,-0.591784,-0.531531,-0.178337,0.294942,-0.555898
UID_2_16_1_all-4,2.39421,-1.729,0.25469,-1.32796,-3.59304
UID_2_16_2_all-5,-0.329935,0.219921,-0.126049,-0.0207131,-0.0944425
UID_2_16_3_all-11,-0.590229,-0.106471,-0.133219,-0.632019,-0.0114164
UID_2_17_1_all-17,1.56764,3.51089,-0.175792,0.991298,-0.749281
UID_2_17_2_all-10,2.23163,-1.62353,-2.2877,-0.0837704,-0.662916
UID_2_19_1_all-3,-0.879848,-0.445289,-0.110191,-0.810655,0.422452
UID_2_1_1_all-15,-0.649893,-0.995281,-0.457102,0.34336,-0.122552
UID_2_1_2_all-13,-0.580841,-1.74048,-0.646122,1.47872,-0.90459
UID_2_20_1_all-13,-0.604728,-0.68149,0.143578,-0.0118835,-0.209878
UID_2_20_2_all-20,-0.818784,-1.28175,-0.637277,0.44777,-1.15522
UID_2_21_1_all-8,-0.534832,0.242061,-0.0138237,-0.58655,0.159809
UID_2_21_2_all-7,-0.565499,0.0423097,-0.0197635,-0.566792,0.22248
UID_2_21_3_all-11,-0.389875,0.0859051,-0.209089,0.113108,-0.610859
UID_2_21_4_all-16,-0.766629,-0.760984,-0.498359,-0.186268,-0.460479
UID_2_25_1_all-6,2.58648,-1.26318,-2.76376,-0.0390755,3.49378
UID_2_25_2_all-18,-0.805627,-0.9168,-0.50745,0.201309,-0.673927
UID_2_27_1_all-7,2.67691,-2.22193,0.919617,-2.12571,-2.33496
UID_2_27_2_all-3,-0.580229,-0.225634,-0.19638,-0.366482,-0.168536
UID_2_28_1_all-5,-0.569659,-0.102451,-0.0355532,0.0144774,-0.460135
UID_2_28_2_all-3,-0.786853,-0.407948,-0.163859,-0.628721,0.0804786
UID_2_28_3_all-3,-0.945469,-0.697197,-0.05078,-0.440028,-0.1184
UID_2_28_4_all-9,-0.454589,0.233828,-0.137918,-0.325781,0.0166191
UID_2_29_1_all-9,-0.63315,-0.259827,0.110679,-0.437718,0.376246
UID_2_29_2_all-9,-0.639495,-0.468731,-0.245455,0.0927207,-0.427118
UID_2_29_3_all-7,-0.914887,-0.700646,0.21898,-0.467581,0.0228188
UID_2_2_1_all-11,-0.580744,-0.127641,-0.0863954,-0.213783,-0.280322
UID_2_30_1_all-12,-0.420428,-0.018208,-0.396825,-0.130104,-0.901469
UID_2_30_2_all-4,-0.773022,-0.396832,-0.148185,-0.875288,0.427765
UID_2_31_1_all-9,-0.373405,0.199922,-0.173703,-0.0853042,-0.356035
UID_2_31_2_all-11,-0.328987,0.0289124,-0.287135,0.0875792,-0.505051
UID_2_31_3_all-4,-0.436315,-0.232823,0.293121,0.216532,-0.37892
UID_2_31_4_all-7,-0.143675,0.895643,-0.056546,-0.226181,-0.042908
UID_2_31_5_all-4,-0.426202,-0.0289841,-0.403583,0.0178349,-0.396817
UID_2_31_6_all-26,-0.313161,-0.0765262,-0.181267,0.627381,-1.21259
UID_2_31_7_all-2,-0.722455,-0.175824,0.198915,-0.368827,0.481986
UID_2_32_1_all-8,-0.0182174,-0.0625561,0.726309,-0.231412,1.38568
UID_2_32_2_all-11,-0.299614,0.555744,0.0572223,-0.423758,0.164338
UID_2_32_3_all-9,-0.406353,0.263736,-0.0751105,-0.23906,-0.125432
UID_2_32_4_all-7,2.22984,0.52581,-3.46265,3.60765,0.714097
UID_2_33_1_all-21,-0.737806,-0.932738,0.337167,0.460799,0.171491
UID_2_33_2_all-21,-0.789402,-0.898813,-0.378149,-0.212911,-0.522137
UID_2_33_3_all-4,1.353,0.432856,-1.79922,3.21406,4.1419
UID_2_33_4_all-3,2.9356,-2.23394,-0.755036,-1.94723,0.485697
UID_2_33_5_all-2,1.63166,4.31824,0.111553,0.747013,-0.264605
UID_2_36_1_all-22,-0.893661,-0.754695,-0.12156,-0.470635,0.0376416
UID_2_3_1_all-11,-0.943805,-0.705284,-0.0232537,-0.658575,0.0410718
UID_2_3_2_all-15,-0.697904,-0.551527,-0.266882,0.0963767,-0.7125
UID_2_3_3_all-12,-0.917927,-0.639447,0.0886689,-0.446951,0.183725
UID_2_3_4_all-8,-0.784424,-0.743749,0.0235517,-0.300458,-0.491589
UID_2_5_1_all-13,-0.432743,-0.658596,0.963847,0.497218,2.68359
UID_2_5_2_all-8,-0.726267,-1.14685,-0.625853,0.997688,-1.81644
UID_2_5_3_all-10,-0.116594,0.662745,0.385545,-0.197292,0.739346
UID_2_5_4_all-7,-0.327698,0.513009,0.00371121,-0.274219,-0.0819455
UID_2_5_5_all-11,-0.378866,0.0597627,-0.115823,0.265698,-0.527501
UID_2_6_1_all-9,-0.47196,-0.0830726,-0.160826,-0.323068,-0.727021
UID_2_6_2_all-12,-0.825893,-0.371838,-0.0752681,-0.790684,0.249657
UID_2_6_3_all-21,-0.671987,-0.715084,-0.434741,0.392258,-1.21655
UID_2_6_4_all-2,1.59046,4.13189,0.0361937,0.846302,-0.436483
UID_2_8_1_all-6,-0.703028,-0.517612,-0.263997,-0.0950748,0.702535
UID_2_8_2_all-11,-0.47162,-0.605612,0.887116,1.28896,1.19024
UID_2_8_3_all-5,-0.471827,-0.108111,-0.121462,0.0997018,-0.380781
UID_2_9_1_all-4,-0.494658,-0.225825,-0.358196,0.429381,-0.991796
UID_2_9_2_all-2,-0.338336,0.387803,-0.112616,-0.306758,-0.0575268
UID_2_9_3_all-4,-0.356987,0.48763,0.000772694,-0.386397,0.209153
UID_2_9_4_all-6,-0.584575,0.0120959,-0.0459509,-0.557726,0.21802
UID_30_10_1_all-4,2.64474,-1.22598,0.544574,-1.62352,0.894971
UID_30_10_2_all-5,1.6252,2.31461,-0.617503,1.69849,-1.94584
UID_30_10_3_all-9,2.83962,-0.669877,1.28282,-2.2819,-0.398067
UID_30_10_4_all-19,-0.569634,-0.306419,0.333684,0.0628792,0.462237
UID_30_10_5_all-22,-0.369321,-0.22554,-0.29216,0.255277,-0.301358
UID_30_10_6_all-10,-0.314115,0.530866,0.0303319,-0.431556,0.306431
UID_30_10_7_all-13,1.20485,2.89931,-0.0766885,1.0265,0.73347
UID_30_10_8_all-18,-0.792142,-1.14404,-0.13816,0.340084,-0.627947
UID_30_11_1_all-14,-0.312702,0.431805,0.0177994,-0.00833862,0.0575224
UID_30_11_2_all-8,-0.42435,0.390527,0.235136,-0.741837,0.174888
UID_30_11_3_all-7,1.21884,2.80656,0.330401,1.0235,0.0718356
UID_30_11_4_all-5,-0.0637604,0.120648,-0.385215,0.832989,-1.65863
UID_30_11_5_all-13,-0.257939,0.302299,-0.294523,0.043882,-0.432139
UID_30_11_6_all-21,-0.352844,0.160618,-0.190993,0.0282799,-0.427625
UID_30_11_7_all-7,-0.213504,0.664642,-0.0370045,-0.0482559,-0.270049
UID_30_11_8_all-19,-0.711326,-0.495233,0.167049,-0.10761,-0.102134
UID_30_12_1_all-17,-0.4713,-0.299464,-0.304378,0.353553,-0.564179
UID_30_12_2_all-17,-0.741084,-0.327247,-0.0108272,-0.507665,0.205705
UID_30_12_3_all-2,-0.138202,0.747927,-0.029287,0.120651,-0.322451
UID_30_12_4_all-21,-0.430378,-0.0468676,0.249559,0.166357,0.161406
UID_30_12_5_all-13,-0.0994207,0.16704,0.78088,0.869973,0.753643
UID_30_12_6_all-20,-0.504237,0.140314,-0.144071,-0.524165,0.389067
UID_30_12_7_all-20,-0.46218,-0.249539,-0.212305,0.361287,-0.605231
UID_30_12_8_all-16,-0.179038,-0.00411359,-0.452395,0.569675,-0.816254
UID_30_13_1_all-13,-0.695243,-0.539461,0.253432,-0.178461,0.313804
UID_30_13_2_all-13,-0.434566,0.381042,0.198385,-0.596968,0.794787
UID_30_13_3_all-4,-0.171266,0.362718,-0.107262,0.0645916,-0.279139
UID_30_13_4_all-3,-0.0806649,1.04857,0.0942944,-0.30588,0.319642
UID_30_13_5_all-17,-0.300432,-0.390723,0.643768,0.202901,0.975415
UID_30_14_10_all-19,-0.148649,0.434979,-0.200348,0.20527,-0.138708
UID_30_14_11_all-15,-0.255362,0.761499,0.0325508,-0.402519,0.361943
UID_30_14_1_all-18,-0.432135,-0.35713,0.121527,0.214941,0.290042
UID_30_14_2_all-28,-0.792085,-0.580537,-0.0847146,-0.109363,-0.512009
UID_30_14_3_all-12,-0.742011,-0.583009,-0.0258065,0.0228934,-0.570568
UID_30_14_4_all-22,-0.32309,0.373613,0.0855378,-0.208508,0.0916721
UID_30_14_5_all-5,-0.0151473,0.727699,-0.0584054,0.154479,-0.481618
UID_30_14_6_all-22,-0.62879,-0.125692,-0.0843672,-0.701215,-0.119399
UID_30_14_7_all-22,-0.0182932,0.374359,-0.403668,0.16131,-0.597699
UID_30_14_8_all-10,-0.102435,0.989001,0.182093,-0.176622,0.032029
UID_30_14_9_all-9,-0.220716,0.557948,0.0258357,-0.0339208,-0.114303
UID_30_15_1_all-10,-0.263645,-0.0709632,-0.504603,0.307977,-1.03126
UID_30_15_2_all-11,-0.285459,-0.0689833,0.592575,-0.861719,1.21389
UID_30_15_3_all-27,-0.58882,-0.212153,0.0728868,-0.0968763,0.055618
UID_30_15_4_all-10,-0.160608,0.21049,0.823036,0.605858,0.88729
UID_30_15_5_all-5,0.0422761,0.963079,0.0183998,0.0626226,-0.0172745
UID_30_15_6_all-15,-0.418405,0.251378,-0.140945,-0.226259,-0.0400426
UID_30_16_1_all-20,-0.56644,0.167197,0.0658221,-0.506366,0.393845
UID_30_16_2_all-6,-0.207646,0.791344,0.0587453,-0.274596,0.244438
UID_30_16_3_all-14,-0.263983,0.282132,-0.044518,0.354147,-0.0415648
UID_30_16_4_all-20,-0.286252,-0.38049,0.614937,1.19208,-0.313307
UID_30_17_1_all-18,-0.516639,0.275537,0.0989523,-0.557709,0.254862
UID_30_17_2_all-21,-0.528402,-0.033311,-0.125786,-0.57667,0.156336
UID_30_17_3_all-22,-0.349743,0.423706,0.0809441,-0.2489,-0.0787801
UID_30_17_4_all-13,-0.445598,0.276649,0.122136,-0.253038,0.495717
UID_30_17_5_all-11,-0.310951,0.612749,0.0601114,-0.400281,0.278722
UID_30_17_6_all-3,2.48795,-1.24449,1.3022,-1.18305,-2.07618
UID_30_18_10_all-7,-0.252162,0.525314,-0.00286173,-0.0252427,-0.272458
UID_30_18_1_all-17,-0.645634,-0.245547,-0.124693,-0.347794,0.12942
UID_30_18_2_all-15,-0.407607,-0.0333076,0.225867,0.248349,-0.424393
UID_30_18_3_all-3,-0.229017,0.663287,-0.0331529,-0.137542,-0.224376
UID_30_18_4_all-16,-0.23518,0.708986,0.150438,-0.378705,0.357575
UID_30_18_5_all-4,-0.192331,0.640855,-0.0875666,-0.154504,-0.211374
UID_30_18_6_all-2,-0.167244,0.799853,0.015033,-0.27577,-0.180745
UID_30_18_7_all-13,-0.349675,0.273541,7.89372e-05,0.0590821,-0.34383
UID_30_18_8_all-6,-0.18083,0.626694,0.0497386,0.0652348,-0.351194
UID_30_18_9_all-2,-0.0128314,0.708435,0.063348,0.23802,-0.290347
UID_30_19_1_all-15,-0.502863,-0.19665,-0.0300756,0.30852,-0.445593
UID_30_19_2_all-20,-0.508984,0.103921,-0.00496165,-0.243006,0.089482
UID_30_19_3_all-3,-0.0926699,0.937162,0.0906148,-0.144489,0.0466596
UID_30_19_4_all-16,-0.419985,0.327529,-0.0218118,-0.45253,0.167189
UID_30_19_5_all-5,-0.032549,0.69689,-0.191793,0.265545,-0.495918
UID_30_1_1_all-11,-0.43926,0.206119,-0.0866727,-0.438038,0.425054
UID_30_1_2_all-6,-0.307774,0.643697,0.109984,-0.318191,0.283876
UID_30_1_3_all-13,-0.329435,0.573922,0.076689,-0.605332,0.152618
UID_30_1_4_all-20,-0.407728,0.0684267,0.116526,-0.163218,0.540425
UID_30_1_5_all-15,-0.480715,0.353365,0.043175,-0.531019,0.279523
UID_30_1_6_all-8,-0.379299,0.324569,0.0469128,-0.364626,0.0103638
UID_30_1_7_all-4,-0.517248,0.301826,-0.0116314,-0.566628,0.397719
UID_30_20_1_all-7,-0.202589,0.727248,0.0571656,-0.624628,-0.0484126
UID_30_20_2_all-6,-0.230146,0.522521,-0.148062,-0.306037,-0.371432
UID_30_20_3_all-7,0.619664,-0.462981,2.33396,3.34956,2.98568
UID_30_20_4_all-14,-0.291767,0.384752,-0.162163,-0.134403,-0.134218
UID_30_21_1_all-7,-0.27528,-0.076247,0.204304,0.538604,-0.758736
UID_30_21_2_all-31,-0.555996,-0.206996,-0.181924,-0.12698,-0.333885
UID_30_21_3_all-6,-0.0990313,0.954825,-0.0479289,-0.223561,0.0788037
UID_30_21_4_all-11,-0.173295,0.667791,-0.0536837,-0.0825131,-0.122836
UID_30_21_5_all-19,-0.151223,0.27953,-0.242147,0.449228,-1.20922
UID_30_21_6_all-9,-0.128739,0.736907,-0.117842,-0.117886,-0.159499
UID_30_22_1_all-6,-0.150868,-0.0937214,0.0108128,0.696831,-0.16784
UID_30_22_2_all-6,0.0296638,1.08888,-0.114056,0.262827,-0.450058
UID_30_22_3_all-12,-0.209308,0.624932,-0.0691232,-0.30774,0.278104
UID_30_22_4_all-21,-0.121243,0.490816,-0.401418,-0.0380991,-0.43927
UID_30_22_5_all-13,-0.262741,0.320387,0.474711,-0.204538,1.37677
UID_30_23_1_all-9,-0.333527,0.371343,0.142261,0.122029,0.330544
UID_30_23_2_all-3,-0.0643612,0.966436,-0.008725,-0.0801541,-0.100357
UID_30_23_3_all-19,2.91283,-1.31589,-1.51598,-0.439617,4.65086
UID_30_23_4_all-6,-0.0598356,0.958612,-0.0410616,-0.140858,-0.196819
