Contour,Area,all2Model (normalized mode 1),all2Model (normalized mode 2)
UID_13_39_2_all-19,37674.2,0.547335,-0.119908
UID_13_39_3_all-11,35115.3,0.407974,-0.17882
UID_13_4_1_all-6,36121.9,-1.54667,2.28176
UID_13_4_3_all-25,44990.9,0.614637,1.09732
UID_13_6_1_all-17,35020.4,0.489352,-0.479871
UID_13_7_1_all-2,5261.26,-2.88897,2.4851
UID_13_7_2_all,4517.12,-2.86899,1.80769
UID_13_8_1_all-18,10634.4,-2.94203,2.19027
UID_13_8_2_all-5,41347.4,0.674442,0.193552
UID_13_8_3_all-3,6516.68,-2.91465,2.47637
UID_13_9_1_all-8,3142.65,-2.77693,1.64132
UID_13_9_2_all-9,47139.1,0.899801,0.511638
UID_13_9_3_all-2,40541.5,0.591761,0.187947
UID_18_1_1_all-8,5769.65,-2.82298,1.67253
UID_18_10_1_all-4,24884.6,0.0089427,-1.16658
UID_18_10_2_all-16,48686.9,-0.523346,4.05496
UID_18_13_1_all-5,34314.4,0.457071,-0.525423
UID_18_14_1_all-9,46113.6,0.835947,0.515533
UID_18_17_1_all,4572.35,-2.39936,1.90745
UID_18_17_2_all-2,42225.3,0.750298,0.0874497
UID_18_18_1_all-3,2459.22,-2.07131,-0.0790018
UID_18_18_2_all-4,34279.6,0.410762,-0.416134
UID_18_19_1_all-8,29178.5,0.175628,-0.803079
UID_18_19_2_all-8,37770.9,0.374157,0.528157
UID_18_19_3_all-16,45658.8,0.720271,0.838499
UID_18_19_4_all-10,46166,0.247754,2.75935
UID_18_19_5_all-13,42551.9,0.275016,1.96132
UID_18_20_1_all-8,55203.1,0.738887,2.29064
UID_18_20_2_all-17,39986.8,0.672477,-0.116906
UID_18_20_3_all-18,29926,-1.83474,0.895239
UID_18_20_4_all-12,36112.7,0.436429,-0.0757536
UID_18_20_5_all-18,23916.4,-2.41697,1.14799
UID_18_21_1_all-8,6054.23,-2.85688,1.45549
UID_18_22_1_all-5,42177.6,0.757005,0.0574237
UID_18_22_2_all-9,5176.77,-2.44139,0.782689
UID_18_23_1_all-5,3617.13,-3.1169,1.5545
UID_18_23_2_all-6,43120.6,0.784703,0.147329
UID_18_24_1_all-4,33349.4,0.371877,-0.423371
UID_18_24_2_all-4,31826.5,0.353221,-0.717549
UID_18_24_3_all-14,48671.8,0.145723,2.34951
UID_18_25_1_all-5,38863.9,0.567139,0.00671304
UID_18_26_1_all-5,5155.53,-3.06989,1.59879
UID_18_26_2_all-2,37043.6,0.525867,-0.193583
UID_18_28_1_all-7,6653.23,-2.60015,1.7786
UID_18_29_1_all-25,35165,0.410657,-0.235089
UID_18_29_2_all-5,42107.3,0.637399,0.467841
UID_18_30_1_all-7,41539.2,0.688736,0.0923909
UID_18_30_2_all-4,34886.9,0.458139,-0.41591
UID_18_31_1_all-2,37680.7,0.483108,0.0841507
UID_18_31_2_all-3,38047.5,0.592149,-0.184541
UID_18_32_1_all-24,45095.8,0.793617,0.478195
UID_18_32_2_all-19,40059.3,0.551391,0.189132
UID_18_32_3_all-10,35536.8,0.452865,-0.298692
UID_18_32_4_all-12,33911,0.418222,-0.496441
UID_18_32_5_all-14,8321.03,-2.45345,0.341948
UID_18_33_1_all-9,13226.5,-2.05325,-0.191481
UID_18_33_2_all-18,39717.3,0.0539295,1.74505
UID_18_33_3_all-16,35452.4,0.466349,-0.316934
UID_18_33_4_all-10,37477.1,0.557996,-0.214335
UID_18_34_1_all-18,43877.7,0.691665,0.517001
UID_18_34_2_all-7,11232.1,-2.0356,-0.0626031
UID_18_35_1_all-4,32690.6,0.400338,-0.687745
UID_18_35_2_all-5,34506.4,0.451684,-0.508772
UID_18_35_3_all-4,31866.9,0.339833,-0.669483
UID_18_35_4_all-17,36405.8,0.517747,-0.311309
UID_18_35_5_all-13,33715.6,0.44098,-0.589896
UID_18_35_6_all-16,37275.5,0.51623,-0.100317
UID_18_36_1_all-3,28558.4,0.221045,-1.0282
UID_18_36_2_all-10,34984.4,0.475912,-0.439733
UID_18_36_3_all-10,34244.8,0.373016,-0.280696
UID_18_37_1_all-3,30770.9,-0.317768,0.085053
UID_18_37_2_all-4,32413.5,0.350303,-0.582579
UID_18_37_3_all-4,32135.6,0.354407,-0.650296
UID_18_38_1_all-9,39498,0.620613,-0.0277709
UID_18_38_2_all-2,29668.2,0.210897,-0.791231
UID_18_38_3_all-4,32114.2,0.348048,-0.635011
UID_18_38_4_all-5,31977.6,0.335036,-0.62328
UID_18_4_1_all-8,7107,-2.67281,1.53934
UID_18_4_2_all-9,2203.92,-1.9337,-0.925709
UID_18_5_1_all-10,12066,-1.88827,-0.550576
UID_18_5_2_all-13,44451.6,0.817196,0.2786
UID_18_5_3_all-15,18326.3,-2.70334,-0.169267
UID_18_6_1_all-18,4780.72,-2.50312,1.23374
UID_18_8_1_all-27,35182.7,0.467122,-0.359755
UID_18_8_2_all-15,42932.5,0.598155,0.635001
UID_18_8_3_all-23,37803.3,0.593539,-0.264139
UID_18_9_1_all-10,48848.5,-0.0781247,3.03772
UID_21_1_1_all-15,17762.4,-2.80429,1.00801
UID_21_1_2_all-10,14823.4,-2.48692,1.20954
UID_21_1_3_all-8,4212.79,-2.92612,1.2985
UID_21_10_1_all-15,47310.7,0.866348,0.591973
UID_21_10_2_all-10,42009.9,0.721437,0.158006
UID_21_10_3_all-4,30331.3,0.268986,-0.766668
UID_21_10_4_all-16,43242.2,0.747536,0.345812
UID_21_10_5_all-10,32363.3,0.38574,-0.700275
UID_21_10_6_all-7,9680.75,-2.52455,0.586393
UID_21_11_1_all-16,14252.6,-2.34957,0.336979
UID_21_11_2_all-13,34111,0.385836,-0.355835
UID_21_12_1_all-12,10732.1,-2.56323,1.21622
UID_21_12_2_all-11,12827.4,-2.51708,0.315984
UID_21_13_1_all-18,43330,0.565558,0.705991
UID_21_13_2_all-17,37746.4,0.547172,-0.108318
UID_21_13_3_all-9,31584,0.289168,-0.536596
UID_21_13_4_all-12,11972.5,-2.03731,-1.42884
UID_21_13_5_all-26,39273.1,0.595499,0.0289523
UID_21_14_1_all-15,26821.7,0.139223,-1.18039
UID_21_14_2_all-14,38048.8,0.558358,-0.0789176
UID_21_14_3_all-16,23940.5,-0.0131817,-1.35843
UID_21_14_4_all-13,32301.1,0.35929,-0.62962
UID_21_14_5_all-12,29794,0.216811,-0.690666
UID_21_15_1_all-14,34313.6,0.434806,-0.483813
UID_21_15_2_all-11,31728.2,0.290998,-0.546258
UID_21_16_1_all-20,48268.4,-0.0483607,1.89758
UID_21_16_2_all-15,47853,0.0356873,2.92928
UID_21_16_3_all-15,37004,0.534923,-0.20269
UID_21_18_1_all-15,40727.7,0.688609,-0.0151397
UID_21_18_2_all-6,5138.79,-2.9824,0.621636
UID_21_19_1_all-13,8168.73,-2.21149,0.365245
UID_21_20_1_all-27,37556,0.592097,-0.325394
UID_21_20_2_all-11,28269.4,0.169629,-0.909253
UID_21_21_1_all-24,28941.1,0.172643,-0.7715
UID_21_22_1_all-13,41604.2,0.547005,0.565479
UID_21_22_2_all-9,30855.8,0.254913,-0.516156
UID_21_22_3_all-25,40208.5,0.661618,-0.0241532
UID_21_22_4_all-13,36237.9,0.427794,-0.027147
UID_21_24_1_all-17,37807.8,-0.257365,1.08118
UID_21_25_1_all-3,29632.7,0.215243,-0.761152
UID_21_28_1_all-24,47199.2,0.465088,1.75657
UID_21_29_1_all-15,8089.88,-1.98704,-0.198794
UID_21_3_1_all-2,35399.8,0.459934,-0.284549
UID_21_3_2_all-2,39862.5,0.650339,-0.0341618
UID_21_30_1_all,6936.91,-2.98336,1.6174
UID_21_32_1_all-19,46062.5,0.768993,0.609269
UID_21_32_2_all-4,28933.1,0.160205,-0.784066
UID_21_32_3_all-10,38087.8,0.612005,-0.23837
UID_21_33_1_all-17,48594.6,0.868468,0.857036
UID_21_34_1_all-5,4778.24,-3.00739,1.68221
UID_21_34_2_all-6,3428.51,-3.08724,1.61443
UID_21_35_1_all-5,40326.2,0.634129,0.0894345
UID_21_35_2_all-2,30146.1,0.282651,-0.853825
UID_21_37_1_all-12,32198.9,0.321207,-0.545278
UID_21_37_2_all-12,33763.2,0.428024,-0.546874
UID_21_37_3_all-13,36541.2,0.465076,-0.150795
UID_21_37_4_all-16,39822.3,0.62232,0.0662976
UID_21_37_5_all-21,5524.69,-2.38067,0.686211
UID_21_37_6_all-8,31831.9,0.337682,-0.669412
UID_21_38_1_all-13,33304.9,0.410656,-0.590078
UID_21_38_2_all-19,34674.2,0.434991,-0.378762
UID_21_38_3_all-8,29873.5,0.231653,-0.767245
UID_21_38_4_all-12,36535.8,0.45412,-0.06474
UID_21_38_5_all-13,31348.8,0.311641,-0.691756
UID_21_4_1_all-5,33716.5,0.424364,-0.542644
UID_21_4_2_all-2,37747.3,0.557666,-0.137143
UID_21_4_3_all-6,40192.4,0.619011,0.0840515
UID_21_5_1_all,4448.76,-2.97842,1.88765
UID_21_5_2_all-2,37229.9,0.556846,-0.241861
UID_21_6_1_all-6,40209,0.646119,0.078946
UID_21_6_2_all-2,34410.8,0.410985,-0.348667
UID_21_8_1_all-5,40170.3,-0.446649,3.32716
UID_21_8_2_all-4,30976.8,0.290156,-0.682418
UID_21_8_3_all-12,46393.4,0.661721,1.01681
UID_21_9_1_all-28,46166.6,0.637316,1.00147
UID_21_9_2_all-13,23609,-1.11276,-0.246815
UID_21_9_3_all-20,17345.7,-2.35868,0.0682409
UID_21_9_4_all-14,34293.8,0.417722,-0.444964
UID_21_9_5_all-21,32399.8,0.267049,-0.336874
UID_24_1_1_all-2,23540.8,-0.108624,-1.26451
UID_24_1_2_all-9,29557.2,0.0550967,-0.231587
UID_24_1_3_all-11,24113.8,-0.106913,-0.89167
UID_24_1_4_all-4,3204.46,-2.85691,-0.0363714
UID_24_1_5_all-26,25534.3,-0.022065,-0.861192
UID_24_1_6_all-12,25345.7,0.0333683,-1.14961
UID_24_1_7_all-22,25469.2,0.0499725,-1.1718
UID_24_10_1_all-2,18448.7,-0.316283,-1.82523
UID_24_10_2_all-12,24034.7,-0.147288,-0.811615
UID_24_10_3_all-16,28101.6,0.215317,-1.10614
UID_24_10_4_all-17,21853,-0.133136,-1.49396
UID_24_10_5_all-15,25068.7,-0.0615415,-0.939587
UID_24_11_1_all-3,23031.6,-0.137417,-1.13323
UID_24_11_2_all-2,19414.6,-0.33456,-1.38628
UID_24_11_3_all-7,24075.9,-0.0537353,-1.07372
UID_24_11_4_all-3,24465.2,-0.0782423,-1.02723
UID_24_11_5_all-2,22903.8,-0.0642223,-1.43486
UID_24_11_6_all-24,29384.8,0.148996,-0.477712
UID_24_12_1_all-2,3442.31,-2.94919,-0.0508304
UID_24_12_2_all-11,28417.3,0.0843572,-0.485357
UID_24_13_1_all-6,23957.2,-0.106544,-1.01001
UID_24_13_2_all-3,27046,0.0346289,-0.689626
UID_24_13_3_all-18,35158.3,0.393341,-0.126582
UID_24_13_4_all-5,26016,0.0486072,-1.04999
UID_24_14_1_all-2,4427.95,-2.76325,0.0703542
UID_24_14_2_all-3,26523.2,0.0695671,-0.986391
UID_24_14_3_all-30,8021.51,-2.76215,2.24214
UID_24_15_1_all-3,21096.1,-0.184552,-1.50123
UID_24_15_2_all-4,3567.23,-2.77368,0.288095
UID_24_15_3_all-2,21034.4,-0.18372,-1.65129
UID_24_15_4_all-5,23466.7,-0.109108,-1.23327
UID_24_15_5_all-15,23901.8,-0.139589,-0.872503
UID_24_16_1_all-31,49440.6,0.947543,0.768417
UID_24_16_2_all-15,33020.6,0.34665,-0.471116
UID_24_16_3_all-6,26170.6,0.0831571,-1.09804
UID_24_16_4_all-3,26040.7,0.0308626,-1.0304
UID_24_16_5_all-8,25278.1,-0.124015,-0.738553
UID_24_17_1_all-4,36346.7,0.194637,-0.0733527
UID_24_17_2_all-7,25756.9,0.035448,-1.05961
UID_24_17_3_all-10,23697.5,-0.107642,-1.11286
UID_24_17_4_all-3,19897.3,-0.344197,-1.19636
UID_24_17_5_all-3,20730.8,-0.199105,-1.60823
UID_24_17_6_all-8,23149.6,-0.146638,-1.21696
UID_24_17_7_all-9,19729.2,-0.352367,-1.26746
UID_24_18_1_all-3,23529,-0.140459,-0.962712
UID_24_18_2_all-13,24840.6,-0.0317906,-0.978621
UID_24_18_3_all-13,33989.4,0.325753,-0.174784
UID_24_19_1_all-6,23223.8,-0.271994,-0.549427
UID_24_19_2_all-2,16139.6,-0.525926,-1.66932
UID_24_19_3_all-21,20190.7,-0.227374,-1.5554
UID_24_2_1_all-8,23885.1,-0.156455,-0.933022
UID_24_2_2_all-8,27251.8,-0.17655,0.0206649
UID_24_2_3_all-13,27886.8,0.1219,-0.790698
UID_24_2_4_all-7,24216.2,-0.0080304,-1.30292
UID_24_20_1_all-15,25800.1,0.0678895,-1.13458
UID_24_20_2_all-2,18952.5,-0.27943,-1.76827
UID_24_21_1_all-14,18441.5,-0.415557,-1.37662
UID_24_21_2_all-10,19489,-0.312125,-1.43428
UID_24_21_3_all-3,17190.1,-0.458779,-1.62525
UID_24_21_4_all-9,8086.51,-2.46416,-0.062857
UID_24_22_1_all-2,17487.2,-0.454128,-1.52149
UID_24_22_2_all-4,19115.7,-0.314501,-1.61027
UID_24_23_1_all-2,18010.8,-0.416209,-1.46508
UID_24_23_2_all-4,19036.3,-0.40516,-1.19399
UID_24_23_3_all-6,20101.9,-0.410431,-0.892899
UID_24_23_4_all-33,27057.2,0.122955,-1.00389
UID_24_24_1_all-2,19153,-0.293337,-1.67647
UID_24_24_2_all-4,24275.3,-0.108046,-0.876296
UID_24_24_3_all-24,28098.3,0.191743,-1.01699
UID_24_24_4_all-28,33973.9,0.323044,-0.173192
UID_24_24_5_all-16,3360.41,-2.46224,-1.71765
UID_24_24_6_all-36,26402.3,0.0735681,-1.04991
UID_24_25_1_all-6,19363.7,-0.246685,-1.75885
UID_24_25_2_all-36,28749.2,0.20394,-0.896419
UID_24_26_1_all-13,22698.2,-0.110534,-1.38554
UID_24_26_2_all-4,14389.2,-0.526605,-2.35679
UID_24_26_3_all-29,30784.2,0.234384,-0.532364
UID_24_26_4_all-24,22821.6,-0.0846964,-1.41858
UID_24_26_5_all-27,24001.3,-0.265296,-0.651209
UID_24_27_1_all-14,18514.1,-0.289515,-1.86386
UID_24_27_2_all-21,18633.2,-0.330137,-1.75304
UID_24_28_1_all-2,19886.8,-0.257958,-1.6709
UID_24_28_2_all-10,18506.9,-0.355652,-1.5666
UID_24_28_3_all-21,26340.9,0.0423508,-1.02201
UID_24_28_4_all-13,18000.3,-0.330792,-1.98445
UID_24_28_5_all-19,23044.5,-0.155845,-1.02225
UID_24_29_1_all-7,26848.3,0.148957,-1.18883
UID_24_29_2_all-2,21929.3,-0.283654,-0.970095
UID_24_29_3_all-6,23856.2,-0.0758952,-1.17745
UID_24_29_4_all-12,21657.7,-0.126778,-1.57871
UID_24_29_5_all-15,24055.5,0.0280478,-1.48134
UID_24_3_1_all-14,34120.2,0.39894,-0.355891
UID_24_3_2_all-12,22617.5,-0.066736,-1.52648
UID_24_3_3_all-7,27475.8,0.0406837,-0.619256
UID_24_3_4_all-6,20577.9,-0.193611,-1.6865
UID_24_30_1_all-8,22327.1,-0.204618,-1.15733
UID_24_30_2_all-2,18197.1,-0.251564,-2.1135
UID_24_30_3_all-20,37293,0.316567,0.594068
UID_24_30_4_all-3,18067.1,-0.413997,-1.5344
UID_24_30_5_all-15,25438.5,0.0607875,-1.24074
UID_24_31_1_all-24,35363.9,0.39386,-0.196666
UID_24_31_2_all-18,27276.1,0.0545104,-0.707173
UID_24_31_3_all-30,34518.8,0.422205,-0.392142
UID_24_31_4_all-23,29901.3,0.156892,-0.429733
UID_24_31_5_all-31,40684.6,0.561795,0.581102
UID_24_31_6_all-24,24632.7,-0.0898577,-0.859613
UID_24_31_7_all-18,30098.4,0.2186,-0.622612
UID_24_32_1_all-3,25178.3,-0.107788,-0.734243
UID_24_32_2_all-15,30080.9,0.231387,-0.688548
UID_24_32_3_all-13,31944.8,0.221816,-0.197061
UID_24_32_4_all-25,33055.8,0.3254,-0.287277
UID_24_33_1_all-23,33159,0.256439,-0.0462395
UID_24_33_2_all-9,33852.7,0.330997,-0.125964
UID_24_33_3_all-15,31964.4,0.244423,-0.261034
UID_24_33_4_all-18,32957.6,0.167927,0.152591
UID_24_33_5_all-17,24551.6,0.0296198,-1.36076
UID_24_34_1_all-2,21036,-0.166439,-1.5532
UID_24_34_2_all-16,28585.9,0.0824058,-0.370077
UID_24_34_3_all-3,22502.4,-0.140741,-1.26479
UID_24_34_4_all-4,26306.4,0.0449344,-0.944985
UID_24_34_5_all-4,24016.2,-0.0356975,-1.22374
UID_24_34_6_all-39,45842.3,0.803013,0.675222
UID_24_34_7_all-8,25525,0.097911,-1.31306
UID_24_34_8_all-2,2379.48,-2.63251,0.275922
UID_24_34_9_all-6,26557.8,0.00378688,-0.686742
UID_24_35_1_all-20,30771.7,0.206938,-0.340549
UID_24_35_2_all-2,19785.8,-0.317334,-1.56309
UID_24_35_3_all-16,28966.4,0.20679,-0.851872
UID_24_4_1_all-4,20394.8,-0.204828,-1.69778
UID_24_4_2_all-17,24053,-0.041189,-1.26098
UID_24_4_3_all-10,21865.6,-0.145987,-1.50307
UID_24_5_1_all-10,29566.6,0.194913,-0.731506
UID_24_5_2_all-2,31772.2,0.0950424,0.101738
UID_24_5_3_all-5,23559.6,-0.104521,-1.22325
UID_24_5_4_all-8,34520.1,0.360116,-0.101537
UID_24_5_5_all-3,23395.7,-0.0575179,-1.35792
UID_24_5_6_all-24,28601.6,0.112182,-0.589552
UID_24_6_1_all-15,35322.5,0.408551,-0.137869
UID_24_6_2_all-2,3656.25,-2.67822,0.135499
UID_24_6_3_all-6,25896.7,0.0497015,-1.0783
UID_24_6_4_all-10,6743.85,-3.01544,2.37664
UID_24_7_1_all-3,23203.1,-0.145133,-1.11833
UID_24_8_1_all-13,24536.8,-0.0522493,-1.11905
UID_24_8_10_all-18,21984.9,-0.0945424,-1.56414
UID_24_8_11_all-6,2304.77,-2.42691,-1.49815
UID_24_8_12_all-26,28801.9,-0.0628733,-0.139204
UID_24_8_13_all-24,23334.8,-0.0673891,-1.27999
UID_24_8_2_all-3,19274.5,-0.30584,-1.53472
UID_24_8_3_all-3,19287.9,-0.229007,-1.87085
UID_24_8_4_all-17,27239.7,0.040071,-0.622661
UID_24_8_5_all-23,22135.3,-0.184904,-1.20072
UID_24_8_6_all-20,26126.6,0.047689,-1.08209
UID_24_8_7_all-13,20151.6,-0.24764,-1.5636
UID_24_8_8_all-19,23762.9,-0.0611715,-1.11046
UID_24_8_9_all-21,23195.5,-0.142149,-1.13889
UID_24_9_1_all-13,22567,-0.149809,-1.12555
UID_24_9_2_all-2,18813.2,-0.310953,-1.66826
UID_24_9_3_all-3,20569.5,-0.357594,-1.0872
UID_24_9_4_all-6,21528.7,-0.142674,-1.57428
UID_24_9_5_all-20,29502.5,0.0595271,-0.071763
UID_24_9_6_all-25,26006.3,-0.318343,0.162398
UID_25_1_1_all-13,5048.91,-2.73279,1.15503
UID_25_1_2_all-9,4369.04,-3.02697,0.909993
UID_25_1_3_all-21,32119,0.365447,-0.704353
UID_25_1_4_all-19,5746.92,-2.96389,0.95588
UID_25_1_5_all-14,27172.7,0.145526,-1.09786
UID_25_10_1_all-7,26030.5,0.0968069,-1.22803
UID_25_10_2_all-36,42474.7,0.533205,0.882402
UID_25_10_3_all-4,25615.7,0.0210891,-1.02431
UID_25_10_4_all-2,22483.2,-0.0954061,-1.45283
UID_25_10_5_all-13,26544.3,-0.074947,-0.403119
UID_25_10_6_all-21,26075.1,0.0488266,-1.09136
UID_25_10_7_all-15,24616.9,-0.0671179,-1.0302
UID_25_10_8_all-6,26934,0.0972659,-1.02414
UID_25_11_1_all-6,26675.5,0.0868643,-1.02985
UID_25_11_2_all-24,41846.5,0.667641,0.266941
UID_25_11_3_all-21,30239.3,0.224215,-0.655178
UID_25_11_4_all-35,42400.8,0.523947,0.900066
UID_25_11_5_all-2,22683.5,-0.0850433,-1.43793
UID_25_12_1_all-2,25455.2,0.0366026,-1.15858
UID_25_12_2_all-23,32023.8,0.317374,-0.515329
UID_25_12_3_all-2,24103.1,0.00678281,-1.40074
UID_25_12_4_all-10,27129.9,0.141465,-1.08425
UID_25_12_5_all-24,30843.9,0.267344,-0.681698
UID_25_12_6_all-20,28724.9,0.216982,-0.975902
UID_25_12_7_all-15,29662.3,0.223081,-0.814786
UID_25_13_1_all-17,32295.8,0.295594,-0.458745
UID_25_13_2_all-23,41067.5,0.463756,0.865151
UID_25_13_3_all-20,30005.9,0.250733,-0.807005
UID_25_14_1_all-4,28751.5,0.156468,-0.729731
UID_25_14_2_all-26,30992.8,0.254365,-0.526356
UID_25_14_3_all-5,25183.7,0.0052609,-1.14891
UID_25_14_5_all-16,35001.3,0.0230522,0.702823
UID_25_14_6_all-26,30000.8,0.182063,-0.580349
UID_25_14_7_all-7,26910.7,0.103289,-0.983076
UID_25_15_1_all-37,45467.7,0.811344,0.442752
UID_25_15_2_all-15,33960.7,0.39641,-0.425754
UID_25_15_3_all-9,28076.2,0.192898,-1.07477
UID_25_15_4_all-10,27263.6,0.10393,-0.908637
UID_25_15_5_all-20,34941.6,0.418143,-0.250481
UID_25_15_6_all-9,25849.1,0.080237,-1.1565
UID_25_15_7_all-22,35447.5,0.431429,-0.130358
UID_25_16_1_all-16,33856.8,0.445562,-0.588009
UID_25_16_2_all-15,5710.3,-2.30793,-0.337864
UID_25_16_3_all-11,29648.7,0.255736,-0.858215
UID_25_16_4_all-11,34716.8,0.412697,-0.269719
UID_25_16_5_all-26,37518.8,0.519219,-0.0908747
UID_25_17_1_all-17,34910.7,0.412857,-0.1715
UID_25_17_2_all-13,29945.9,0.261736,-0.854544
UID_25_17_3_all-8,28403.7,0.18399,-0.902742
UID_25_17_4_all-6,26980.5,0.0707597,-0.90908
UID_25_18_1_all-7,3846.12,-2.81944,0.947815
UID_25_18_2_all-13,7107.42,-2.97993,1.12295
UID_25_18_3_all-13,29918.6,0.289429,-0.930562
UID_25_18_4_all-13,34625,0.393079,-0.181627
UID_25_19_1_all-5,26507.7,0.0965961,-1.08608
UID_25_19_2_all-17,33076.1,0.319243,-0.304384
UID_25_19_3_all-8,6453.93,-2.11529,-1.12806
UID_25_2_1_all-4,3869.95,-2.81239,0.500015
UID_25_2_2_all-18,3496.15,-2.96762,2.72364
UID_25_2_3_all-20,7859.71,-2.63906,0.726971
UID_25_2_4_all-13,4569.92,-3.04728,0.765676
UID_25_20_1_all-8,22998.5,-0.0486388,-1.46611
UID_25_20_2_all-11,27322.4,0.0472585,-0.770198
UID_25_20_3_all-20,26003.1,0.0455463,-1.04592
UID_25_20_4_all-13,31786.7,0.196814,-0.0657419
UID_25_20_5_all-17,24950.6,0.0338487,-1.25786
UID_25_20_6_all-24,35399.8,0.403262,-0.11089
UID_25_20_7_all-18,30231.8,0.233447,-0.646807
UID_25_21_1_all-11,27743.9,0.119373,-0.798933
UID_25_21_2_all-2,1563.05,-1.86737,-1.24728
UID_25_21_3_all-11,26267.3,0.108102,-1.17248
UID_25_21_4_all-16,29487.4,0.215391,-0.776762
UID_25_21_5_all-7,22914,-0.0545395,-1.46874
UID_25_21_6_all-22,40714.5,0.681383,0.0145693
UID_25_21_7_all-8,27543.9,0.0743167,-0.812389
UID_25_22_1_all-14,3146.09,-2.84001,0.975052
UID_25_22_2_all-17,27974.9,0.176256,-0.982561
UID_25_23_1_all-15,28458.2,0.175422,-0.910521
