Contour,Aspect Ratio,allModel (normalized mode 1),allModel (normalized mode 2)
UID_14_16_4_all-18,1.09178,-0.538391,-0.11238
UID_14_16_5_all-15,1.08546,-0.50783,-0.212598
UID_14_16_6_all-4,1.29842,-0.874332,1.30857
UID_14_17_1_all-2,1.04771,-0.715145,-0.0591494
UID_14_17_2_all-3,1.1508,-0.851682,0.516236
UID_14_17_3_all-2,1.03742,-0.453776,-0.481264
UID_14_17_4_all-4,1.08429,-0.7856,0.20598
UID_14_17_5_all,1.0944,3.15907,1.35546
UID_14_18_1_all-2,1.11786,3.40391,0.430778
UID_14_18_2_all-17,1.04415,-0.483,-0.0813243
UID_14_18_3_all-14,1.13989,-0.370562,-0.427053
UID_14_18_4_all-14,1.05461,-0.475356,-0.37051
UID_14_18_5_all-13,1.07246,-0.505189,-0.388006
UID_14_19_1_all-17,1.10274,-0.630098,0.0584794
UID_14_19_2_all-6,1.08551,-0.62956,-0.114129
UID_14_19_3_all-27,1.04721,-0.775434,0.501756
UID_14_19_4_all-20,1.12573,-0.648974,0.0527854
UID_14_1_1_all-2,1.14793,-0.118109,-0.985493
UID_14_1_2_all-10,1.0362,-0.441349,-0.405905
UID_14_1_3_all-7,1.14445,-0.0963476,-0.0174174
UID_14_1_4_all-17,1.45265,-0.0753751,0.175512
UID_14_1_5_all-31,1.13677,-0.335314,-0.473102
UID_14_20_1_all-3,1.03795,-0.333671,-0.759123
UID_14_20_2_all-4,1.01082,-0.68991,-0.0318452
UID_14_21_1_all-12,1.05946,-0.779944,0.153222
UID_14_21_2_all-19,1.08625,-0.770422,0.148953
UID_14_22_1_all-9,1.16991,-0.388559,-0.298564
UID_14_22_2_all-25,1.07211,-0.836541,0.33681
UID_14_23_1_all-3,1.15452,-0.52668,-0.103834
UID_14_23_2_all-10,1.02637,-0.814695,0.118475
UID_14_24_1_all-9,1.03366,-0.693324,-0.025589
UID_14_24_2_all-2,1.08314,-0.493766,-0.416942
UID_14_25_1_all-19,1.011,-0.480538,-0.45831
UID_14_26_1_all-2,1.08393,-0.924952,0.53232
UID_14_26_2_all-2,1.03913,-0.728797,-0.0949664
UID_14_28_1_all-11,1.0154,-0.516396,-0.494916
UID_14_28_2_all-17,1.05688,-0.677591,0.165576
UID_14_28_3_all-24,1.04511,-0.457333,-0.485857
UID_14_28_4_all-19,1.05091,-0.57516,-0.25638
UID_14_29_1_all-19,1.11675,-0.620667,-0.0493244
UID_14_29_2_all-27,1.10682,-0.555142,-0.189629
UID_14_2_1_all-21,1.11201,-0.780681,0.450911
UID_14_2_2_all-16,1.30645,-0.526323,0.473105
UID_14_2_3_all-10,1.33685,-0.292457,-0.198732
UID_14_2_4_all-13,1.05247,-0.463916,-0.373472
UID_14_2_5_all-8,1.13053,-0.400867,-0.312392
UID_14_30_1_all-21,1.10383,-0.537152,-0.0825188
UID_14_30_2_all-19,1.25229,-0.467373,0.334027
UID_14_30_3_all-15,1.10258,-0.777102,0.277634
UID_14_31_1_all-12,1.12105,-0.507479,-0.115075
UID_14_31_2_all-15,1.17352,-0.492705,0.341613
UID_14_31_3_all-2,1.06142,-0.944199,0.583347
UID_14_32_1_all-20,1.11404,-0.626249,0.0102544
UID_14_32_2_all-14,1.03093,-0.860778,0.407905
UID_14_33_1_all-22,1.20022,-0.523055,1.3058
UID_14_34_1_all-9,1.14594,-0.55274,0.0178724
UID_14_34_2_all-16,1.13063,-0.548459,0.16708
UID_14_37_1_all-14,1.05767,-0.862597,0.364016
UID_14_37_2_all-15,1.12458,-0.505922,-0.0101766
UID_14_37_3_all-31,1.22512,-0.816249,0.643707
UID_14_37_4_all-16,1.08394,-0.444244,-0.428217
UID_14_38_1_all-15,1.16477,-0.345341,-0.385798
UID_14_3_1_all-4,1.42676,-0.452602,0.345717
UID_14_4_1_all-2,1.17688,0.0333473,-0.852495
UID_14_5_1_all-3,1.01824,-0.559441,-0.371275
UID_14_5_2_all-7,1.07068,-0.51166,-0.310999
UID_14_5_3_all-3,1.14334,-0.489629,-0.222218
UID_14_6_1_all-32,1.12205,-0.660451,0.0539304
UID_14_6_2_all-16,1.20689,-0.427355,-0.161547
UID_14_6_3_all-19,1.15058,-0.492903,-0.145825
UID_14_6_4_all-5,1.09118,-0.283572,-0.625691
UID_14_6_5_all-17,1.1275,-0.679158,0.296671
UID_14_7_1_all-19,1.11894,-0.742807,0.380577
UID_14_7_2_all-17,0.994178,-0.765124,-0.012267
UID_14_7_3_all-21,1.20505,-0.306681,0.975117
UID_14_8_1_all-19,1.07214,-0.842033,0.280479
UID_14_8_2_all-30,1.07565,-0.702675,0.234882
UID_14_9_1_all-8,1.0206,-0.524434,-0.463596
UID_14_9_2_all-20,1.12687,-0.566568,-0.0173673
UID_14_9_3_all-16,1.05921,-0.615285,-0.150556
UID_15_11_1_all-16,1.14854,-0.728879,0.409041
UID_15_12_1_all-2,1.018,-0.828725,0.0507196
UID_15_13_1_all-11,1.10045,-0.650893,-0.0126375
UID_15_14_1_all-25,1.16617,-0.544062,-0.0632063
UID_15_15_1_all-4,1.08652,-0.479165,0.0593386
UID_15_15_2_all-9,1.03595,-0.633674,-0.256492
UID_15_16_1_all-11,1.03629,-0.553534,-0.413753
UID_15_16_2_all-16,1.10044,-0.741119,0.25786
UID_15_16_3_all-10,1.08477,-0.367299,-0.571879
UID_15_16_4_all-7,1.05157,-0.667249,-0.147715
UID_15_17_1_all-2,1.12364,-0.891124,0.469064
UID_15_17_2_all-2,1.15286,-0.621243,0.0611495
UID_15_18_1_all-21,1.28633,0.82202,-1.31133
UID_15_18_2_all-10,1.04711,2.84137,1.19975
UID_15_18_3_all-6,1.06209,-0.708289,0.0646274
UID_15_19_1_all-22,1.15984,-0.817041,0.529093
UID_15_19_2_all-3,1.127,-0.609259,0.512636
UID_15_19_3_all-13,1.01612,2.62488,0.53955
UID_15_1_1_all-12,1.51071,-0.595362,1.56965
UID_15_1_2_all-15,1.41556,-0.193564,2.05645
UID_15_20_1_all-8,1.06326,-0.59622,0.0657255
UID_15_20_2_all-13,1.02117,-0.719722,-0.0262441
UID_15_21_1_all-17,1.19394,-0.717656,0.365568
UID_15_21_2_all-29,1.46094,-0.236397,1.89899
UID_15_21_3_all-10,1.09332,-0.234327,-0.721847
UID_15_22_1_all-3,1.10426,-0.285603,-0.730773
UID_15_22_2_all-14,1.09306,-0.653393,-0.0670466
UID_15_22_3_all-4,1.12284,-0.351194,-0.548705
UID_15_23_1_all-3,1.00418,-0.815146,0.0218331
UID_15_24_1_all-2,1.22737,-0.349529,-0.218781
UID_15_24_2_all-4,1.04266,-0.385306,-0.70096
UID_15_25_1_all-3,1.16843,-0.36236,-0.457215
UID_15_25_2_all-8,1.08993,-0.652605,0.122751
UID_15_25_3_all-7,1.0432,-0.493909,-0.357632
UID_15_26_1_all-2,1.01878,-0.422021,-0.621945
UID_15_26_2_all-8,1.03048,-0.592049,-0.270004
UID_15_26_3_all-14,1.16213,-0.748781,0.460003
UID_15_27_1_all-11,1.17383,-0.649141,0.217134
UID_15_27_2_all-25,1.13571,-0.291763,-0.272608
UID_15_27_3_all-17,1.1488,-0.567805,0.0582544
UID_15_28_1_all-10,1.11481,-0.372406,-0.16432
UID_15_28_2_all-7,1.08173,-0.708779,0.128105
UID_15_28_3_all-6,1.03804,-0.778673,0.190596
UID_15_29_1_all-3,1.12598,-0.451586,-0.361765
UID_15_29_2_all-9,1.09676,-0.66581,0.037412
UID_15_30_1_all-5,1.17444,-0.618399,0.382827
UID_15_30_2_all-12,1.00943,-0.818767,0.298839
UID_15_30_3_all-12,1.05694,-0.868986,0.389279
UID_15_3_1_all-3,1.38453,-0.543343,1.59976
UID_15_3_2_all-3,1.08434,-0.801782,1.69362
UID_15_4_1_all,1.32095,1.70387,0.956198
UID_15_6_1_all-4,1.23188,-0.417767,-0.00566078
UID_15_6_2_all-5,1.26994,-0.465083,1.1356
UID_15_7_1_all-12,1.12083,-0.535972,-0.037147
UID_15_7_2_all-2,1.16919,-0.368879,-0.224444
UID_15_8_1_all-10,1.09239,-0.681795,0.0712602
UID_15_8_2_all-16,1.29249,1.84177,-0.439528
UID_15_8_3_all-14,1.22027,-0.683091,0.491285
UID_17_10_1_all-10,1.07515,-0.602709,-0.158827
UID_17_10_2_all-7,1.05114,-0.403875,-0.648555
UID_17_11_1_all-10,1.06931,-0.504963,-0.385959
UID_17_11_2_all-13,1.18204,-0.631454,0.133944
UID_17_11_3_all-15,1.15412,-0.739003,0.631912
UID_17_12_1_all-17,1.14919,-0.759424,0.650751
UID_17_12_2_all-6,1.02853,-0.519275,-0.493119
UID_17_12_3_all-24,1.17469,-0.708104,0.419956
UID_17_12_4_all-11,1.06053,2.31408,0.148981
UID_17_13_1_all-9,1.00555,2.64279,-1.09699
UID_17_13_2_all-14,1.0937,-0.522989,-0.188361
UID_17_13_3_all-17,1.07746,-0.602196,-0.0884349
UID_17_14_1_all-27,1.08895,-0.868796,0.619527
UID_17_14_2_all-26,1.13568,-0.561716,0.386963
UID_17_14_3_all-18,1.11099,-0.527427,-0.162112
UID_17_14_4_all-15,1.08334,-0.442165,-0.387299
UID_17_14_5_all-11,1.02769,2.82135,1.31147
UID_17_15_1_all-3,1.19589,3.09218,2.1439
UID_17_16_1_all-15,1.11667,-0.383801,-0.325656
UID_17_16_2_all-7,0.989815,-0.698645,0.00565696
UID_17_17_1_all-2,1.10136,-0.700617,0.0362017
UID_17_18_1_all-2,0.810181,3.25551,1.66075
UID_17_18_2_all-3,1.04334,3.22306,1.62985
UID_17_19_1_all-26,1.13529,-0.930407,1.01936
UID_17_1_1_all-16,1.06743,-0.661809,-0.0724097
UID_17_1_2_all-11,1.14879,-0.275716,-0.5989
UID_17_20_1_all-2,1.04761,-0.448337,-0.610905
UID_17_20_2_all-10,1.14886,-0.750486,0.413906
UID_17_21_1_all-5,1.15846,-0.638738,0.160376
UID_17_22_1_all-6,0.980771,3.38797,1.84653
UID_17_22_2_all-13,1.1135,-0.751406,0.5968
UID_17_22_3_all-8,1.07208,-0.862934,0.280189
UID_17_23_1_all-4,1.04337,-0.836544,0.14918
UID_17_24_1_all-5,1.51137,0.804175,3.35441
UID_17_24_2_all-13,0.999984,-0.747413,-0.0196152
UID_17_24_3_all-11,0.834398,3.5735,1.39752
UID_17_25_1_all-11,1.31137,-0.840708,1.19786
UID_17_25_2_all-13,0.940611,2.13014,-0.0457076
UID_17_26_1_all-8,1.0501,2.53003,1.58188
UID_17_26_2_all-12,1.77126,-0.206379,2.46265
UID_17_27_1_all-11,1.5679,0.610655,3.47872
UID_17_28_1_all-19,1.0765,-0.845274,0.747507
UID_17_28_2_all,2.27191,2.08747,-5.03311
UID_17_28_3_all-4,1.10588,-0.16768,-0.662814
UID_17_28_4_all-13,1.02914,-0.654183,-0.179983
UID_17_30_1_all-13,1.00629,-0.790495,0.312233
UID_17_30_2_all-13,1.11179,-0.390383,-0.412892
UID_17_30_3_all-27,1.18768,-0.524857,0.131074
UID_17_31_1_all-2,0.972686,3.23048,1.66391
UID_17_32_1_all,0.938701,3.15789,2.5433
UID_17_33_1_all-3,1.06083,-0.35033,-0.686543
UID_17_33_2_all-3,1.03636,-0.492767,0.340622
UID_17_34_1_all-10,1.07764,-0.560727,-0.130458
UID_17_34_2_all-20,1.10856,-0.48837,-0.213248
UID_17_35_1_all-3,1.07137,-0.666298,-0.0102269
UID_17_36_1_all-2,1.03891,-0.783697,0.0424315
UID_17_36_2_all-5,0.969341,3.34059,2.76347
UID_17_38_1_all-4,1.11848,-0.572212,0.0157635
UID_17_3_1_all-11,0.940021,1.9438,-0.388608
UID_17_3_2_all-26,1.19457,0.692303,2.3187
UID_17_3_3_all-19,1.11332,-0.825211,0.396925
UID_17_4_1_all-5,1.13673,-0.266208,-0.191772
UID_17_4_2_all,1.10238,-0.604502,-0.0981781
UID_17_4_3_all-7,1.13268,-0.484494,-0.278815
UID_17_5_1_all-2,1.10737,-0.814875,0.447758
UID_17_5_2_all-2,1.16378,-0.374642,-0.282289
UID_17_6_1_all-18,1.1145,-0.678264,0.639682
UID_17_7_1_all-6,0.994163,-0.511648,-0.422821
UID_17_7_2_all-4,1.12866,-0.374166,-0.531037
UID_17_7_3_all-15,1.06932,-0.573941,-0.188443
UID_17_7_4_all-10,1.05904,-0.508496,-0.410958
UID_17_7_5_all-19,1.21499,-0.57206,0.0606205
UID_17_8_1_all-4,1.10563,3.15228,2.39043
UID_17_9_1_all-23,1.07817,-0.66422,0.120618
UID_19_10_1_all-23,1.37343,-0.723418,0.984459
UID_19_10_2_all-21,1.77515,-0.195018,2.89254
UID_19_13_1_all-16,1.20827,-0.805666,0.586645
UID_19_4_1_all-26,1.0478,2.95216,0.896919
UID_19_5_1_all-6,1.38409,2.87013,2.57489
UID_19_7_1_all-30,1.07752,-0.469199,2.76762
UID_19_7_2_all-15,1.08861,2.77409,0.285576
UID_19_7_3_all-7,1.48933,-0.354499,2.567
UID_19_8_1_all-19,1.01931,-0.44274,1.70121
UID_1_10_1_all-12,1.00876,-0.299184,0.345949
UID_1_10_2_all-19,1.23119,-0.388448,-0.0443722
UID_1_10_3_all-2,1.16057,-0.244657,-0.635534
UID_1_10_4_all-2,1.14824,-0.132949,-0.95623
UID_1_11_1_all-8,1.25044,-0.502422,0.400797
UID_1_1_1_all-18,1.22888,-0.505696,0.536779
UID_1_2_1_all-20,1.57549,2.33483,2.30478
UID_1_2_2_all-14,1.14278,-0.600995,-0.00500797
UID_1_3_1_all-3,1.29057,-0.838127,1.22294
UID_1_4_1_all-7,1.08861,-0.455232,-0.288926
UID_1_4_2_all-12,1.16965,-0.566158,0.15752
UID_1_5_1_all-2,1.01775,-0.571187,0.147957
UID_1_6_1_all-6,1.22086,-0.633483,0.635629
UID_1_7_1_all-2,1.08842,-0.706177,0.313843
UID_1_7_2_all-6,1.02683,-0.524156,-0.326958
UID_1_8_1_all-10,1.14574,-0.561441,0.388712
UID_1_8_2_all-3,1.114,-0.55235,-0.153492
UID_1_9_1_all-3,1.0731,-0.187774,-0.987566
UID_1_9_2_all-19,0.993104,2.91902,1.84104
UID_20_10_1_all-15,1.0964,-0.955098,0.706677
UID_20_10_2_all-10,1.1038,-0.797198,0.287511
UID_20_10_3_all-16,1.15912,-0.821018,0.489347
UID_20_10_4_all-10,1.03886,-0.42629,-0.594346
UID_20_10_5_all-7,1.06062,2.7619,0.676344
UID_20_11_1_all-16,0.949042,2.59535,0.475782
UID_20_11_2_all-13,1.04335,-0.427616,-0.246067
UID_20_12_1_all-12,1.11492,2.81256,1.37172
UID_20_12_2_all-11,0.955772,2.73898,0.47468
UID_20_13_1_all-12,1.03567,-0.601645,-0.180831
UID_20_13_2_all-18,1.03893,-0.637451,0.757156
UID_20_13_3_all-17,1.14166,-0.604465,0.0165084
UID_20_13_4_all-12,0.953168,2.20315,-1.12831
UID_20_13_5_all-26,1.14596,-0.669338,0.149238
UID_20_13_6_all-15,1.14603,-0.357015,-0.388628
UID_20_14_1_all-15,1.0065,-0.150546,-1.07694
UID_20_14_2_all-14,1.1145,-0.616161,0.047223
UID_20_14_3_all-16,1.09628,0.0129418,-1.24799
UID_20_14_4_all-13,1.1017,-0.397925,-0.511938
UID_20_14_5_all-12,1.21193,-0.242538,-0.550801
UID_20_14_6_all-18,1.06761,-0.0762952,-1.20057
UID_20_15_1_all-14,1.03753,-0.487192,-0.386595
UID_20_15_2_all-11,1.17749,-0.323462,-0.415532
UID_20_16_1_all-20,0.971482,0.0889318,1.95135
UID_20_16_2_all-15,1.74144,-0.0227306,3.34489
UID_20_16_3_all-15,1.12262,-0.59004,-0.0748862
UID_20_18_1_all-15,1.03884,-0.758864,0.100596
UID_20_18_2_all-6,0.958434,3.30037,0.672276
UID_20_19_1_all-13,1.18429,2.40809,0.621891
UID_20_19_2_all-3,1.16545,2.92735,0.531031
UID_20_1_1_all-15,0.995305,3.06271,1.18908
UID_20_1_2_all-10,1.42468,2.72673,1.51198
UID_20_1_3_all-8,0.959105,3.23474,1.38436
UID_20_20_1_all-27,1.01222,-0.653811,-0.228807
UID_20_22_1_all-13,1.17211,-0.605263,0.681197
UID_20_22_2_all-9,1.25684,-0.285205,-0.363437
UID_20_22_3_all-25,1.03873,-0.731371,0.0877152
UID_20_22_4_all-13,1.16123,-0.473361,0.110896
UID_20_24_1_all-17,0.999225,0.310553,1.11533
UID_20_28_1_all-24,1.3504,-0.508755,2.02279
UID_20_29_1_all-15,2.00804,2.17155,0.199634
UID_20_2_1_all-3,1.07119,3.41066,1.66496
UID_20_30_1_all,0.852349,3.31835,1.7536
UID_20_32_1_all-19,1.06746,-0.847668,0.730541
UID_20_32_2_all-13,1.0755,2.56237,0.96779
UID_20_32_3_all-10,1.04327,-0.674612,-0.130849
UID_20_33_1_all-17,1.12678,-0.961785,1.0076
UID_20_34_1_all-5,0.835908,3.34794,1.74403
UID_20_34_2_all-6,1.00734,3.43957,1.62934
UID_20_35_1_all-5,1.10031,-0.697523,0.206613
UID_20_35_2_all-2,1.06501,-0.313635,-0.746438
UID_20_37_1_all-12,1.10592,-0.356486,-0.42499
UID_20_37_2_all-12,1.05599,-0.473217,-0.438475
UID_20_37_3_all-13,1.2294,-0.51872,0.0132972
UID_20_37_4_all-16,1.14587,-0.687839,0.199104
UID_20_37_5_all-21,1.17281,2.60201,0.930812
UID_20_37_6_all-8,1.08711,-0.374191,-0.558599
UID_20_38_1_all-13,1.06155,-0.453801,-0.48356
UID_20_38_2_all-19,1.11367,-0.481894,-0.254053
UID_20_38_3_all-12,1.20599,-0.501137,0.0734233
UID_20_3_1_all-2,1.0846,-0.717248,0.081695
UID_20_4_1_all-5,1.10373,-0.469997,-0.430025
UID_20_4_2_all-2,1.12526,-0.617361,-0.0139695
UID_20_4_3_all-6,1.07037,-0.684866,0.206373
UID_20_5_1_all,0.970112,3.30065,1.9486
UID_20_5_2_all-2,1.08342,-0.61535,-0.123846
UID_20_6_1_all-6,1.16313,-0.713556,0.211755
UID_20_6_2_all-2,1.14178,-0.45536,-0.220928
UID_20_8_1_all-5,1.77019,0.489161,3.73803
UID_20_8_2_all-4,1.1346,-0.323553,-0.557719
UID_20_8_3_all-12,1.08249,-0.720875,1.15602
UID_20_9_1_all-28,1.08985,-0.696782,1.14304
UID_20_9_2_all-13,1.17125,1.24704,-0.136853
UID_20_9_3_all-20,1.05932,2.65796,0.103908
UID_20_9_4_all-14,1.06124,-0.462131,-0.336791
UID_20_9_5_all-21,1.23655,-0.299345,-0.192878
UID_22_10_1_all-8,1.05441,-0.523559,-0.353458
UID_22_10_2_all-10,1.07039,-0.400184,-0.586587
UID_22_10_3_all-9,1.21682,-0.341556,-0.331627
UID_22_10_4_all-23,1.1058,-0.578813,-0.0860353
UID_22_10_5_all-15,1.04252,-0.332677,-0.758444
UID_22_11_1_all-25,1.10455,-0.279319,-0.714059
UID_22_11_2_all-22,1.03435,-0.315389,-0.767842
UID_22_11_3_all-15,1.01674,-0.209136,-1.09826
UID_22_11_4_all-20,1.11537,-0.36492,-0.502049
UID_22_11_5_all-13,1.08215,-0.21601,-0.865842
UID_22_11_6_all-16,1.08913,-0.305232,-0.685308
UID_22_12_1_all-5,1.1058,-0.664334,0.0324422
UID_22_13_1_all-10,1.08741,-0.595775,-0.109372
UID_22_14_1_all-4,1.08934,-0.0621009,-1.19349
UID_22_14_2_all-10,1.61884,-0.217873,1.44722
UID_22_14_3_all-11,1.04839,-0.275624,-0.892022
UID_22_14_4_all-19,1.06645,-0.291162,-0.707619
UID_22_15_1_all-7,1.1344,-0.308294,-0.622119
UID_22_16_1_all-4,1.03656,-0.0401521,-0.946347
UID_22_16_2_all-10,1.00212,-0.413453,-0.627006
UID_22_17_1_all,1.02899,3.03983,1.14374
UID_22_17_2_all-2,1.20679,-0.315717,-0.508616
UID_22_18_1_all-8,1.02898,-0.325312,-0.748166
UID_22_18_2_all-16,1.06986,-0.54673,-0.284194
UID_22_18_3_all-5,1.09473,-0.39057,-0.519139
UID_22_18_4_all-4,1.05072,-0.764492,0.0446295
UID_22_19_1_all-5,1.01528,-0.330358,-0.727874
UID_22_19_2_all-3,1.09505,-0.384403,-0.521589
UID_22_19_3_all-6,1.03935,-0.189657,-1.07427
UID_22_19_4_all-3,1.04089,-0.760182,0.0201282
UID_22_1_1_all-13,1.05917,-0.610945,-0.149368
UID_22_1_2_all-10,1.06505,-0.717806,0.0455663
UID_22_1_3_all-19,1.09628,-0.587581,-0.0855548
UID_22_20_1_all-13,1.01455,3.22883,1.37368
UID_22_21_1_all-4,1.07551,-0.339005,-0.656678
UID_22_21_2_all-12,1.05133,-0.276962,-0.813805
UID_22_22_1_all-14,1.127,-0.378598,-0.336591
UID_22_22_2_all-10,1.15747,-0.643124,0.240401
UID_22_23_1_all-5,1.16852,3.08419,1.01886
UID_22_23_2_all-2,1.09592,-0.0910846,-1.14394
UID_22_23_3_all-2,1.09526,-0.0578695,-1.1751
UID_22_23_4_all-17,0.907516,3.04255,1.7108
UID_22_24_1_all-9,1.38202,-0.631721,0.822642
UID_22_24_2_all-11,1.00978,3.07799,1.70171
UID_22_24_3_all-5,1.09328,-0.446305,-0.471062
UID_22_24_4_all-7,1.20544,-0.34239,-0.392434
UID_22_25_1_all-10,1.03726,-0.603047,-0.0339227
