Contour,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,Mode 7,Mode 8,Mode 9,Mode 10,Mode 11
UID_11_22_1_all-15,-158.503,80.9097,43.9537,-6.96968,-52.5926,3.77602,-9.34773,19.4664,-3.09248,1.49063,-11.5723
UID_11_22_2_all-22,-68.4614,-48.2365,17.5798,0.399228,-18.0564,10.3281,-17.8472,1.10269,-4.2685,21.463,-5.90856
UID_11_23_1_all-15,-93.9743,-41.1008,-7.88209,18.4388,9.80899,-2.7387,-4.4302,-9.58485,-4.38865,-10.854,-5.18619
UID_11_23_2_all-10,-0.313744,180.203,-43.0989,-132.078,15.5043,59.7723,80.0327,-22.1953,16.1893,-51.5347,12.6825
UID_11_24_1_all-13,-154.247,51.9473,-33.6131,19.1297,24.9782,-32.9278,-40.3681,-1.18274,-4.80813,-7.35188,12.7326
UID_11_24_2_all-5,-36.7852,-101.961,2.68897,-12.018,-18.6218,7.60524,-9.43656,16.3618,9.98855,4.35373,-5.81924
UID_11_25_1_all-13,491.557,-571.351,22.2884,-168.915,-39.0857,43.088,-33.0016,15.0216,14.7303,-14.2951,3.80066
UID_11_25_2_all-9,-87.274,64.4706,-12.9727,11.4898,113.386,-87.7442,-94.8469,-113.274,-41.1112,42.5765,5.7488
UID_11_27_1_all-14,-146.892,292.561,116.73,-89.9433,-44.2532,97.3837,71.8231,25.6572,2.65557,41.8969,43.3603
UID_11_27_2_all-9,60.0217,279.382,-14.2928,-206.566,19.5465,39.072,129.047,-35.6425,72.614,-41.9002,-0.876855
UID_11_28_1_all-6,-108.196,-36.6514,-0.629225,22.605,8.26182,14.702,-0.435654,13.8164,-2.76142,17.1502,3.11027
UID_11_28_2_all-4,-93.3466,256.04,-9.26209,-92.6986,8.89252,-1.8669,83.3538,-11.8359,74.4034,-0.494214,28.2355
UID_11_28_3_all,-158.85,58.4192,-8.97533,9.61368,10.0773,15.7354,-24.0823,23.957,18.1606,1.14845,10.7512
UID_11_28_4_all-2,-163.919,197.677,42.0138,-81.6297,2.32394,-37.889,42.4241,-16.9712,-37.8563,-58.9339,-4.16603
UID_11_29_1_all-10,-135.978,59.2002,1.49363,18.7614,-20.7854,7.90248,6.37287,-35.3211,-12.9552,-11.278,-1.23765
UID_11_29_2_all-2,54.572,-9.93347,-209.575,-63.4583,146.05,49.4478,-89.2625,60.3645,17.1205,6.60078,20.2818
UID_11_29_3_all-3,84.4106,-148.095,7.83538,-30.1288,-55.078,41.3678,23.8898,9.33991,-0.993501,-4.69074,-29.2293
UID_11_29_4_all-5,229.029,106.506,-213.464,-113.45,113.666,-127.911,-9.72081,-194.374,-42.3958,-130.287,37.7525
UID_11_29_5_all-4,-83.9273,84.2334,-62.4689,-0.603611,-7.8249,-4.6353,-67.127,58.2849,67.2131,-0.707299,1.77334
UID_11_2_1_all-17,-28.7565,-110.872,14.1055,-10.1908,-8.10638,10.1622,-0.38847,11.1097,-8.31048,-8.06556,0.283267
UID_11_2_2_all-9,80.8457,146.839,-185.421,94.5412,198.227,98.7208,-93.6826,8.3406,8.03792,4.72853,85.3709
UID_11_2_3_all-17,-38.7932,-19.0525,-44.4286,-16.5283,34.4636,9.97339,-18.3282,-7.2442,8.10884,-29.7049,0.715111
UID_11_2_4_all-5,-105.899,-37.4169,7.77459,14.0421,-2.52796,1.86133,21.4323,-7.1386,8.51279,-2.92975,0.294895
UID_11_30_1_all-6,567.613,120.338,-448.418,-329.1,32.2961,-34.9389,138.358,-86.5253,-60.2886,41.3866,95.1218
UID_11_30_2_all-8,226.685,55.3166,-265.287,40.9978,104.782,10.9029,-21.7921,34.7056,47.6749,34.9568,-30.8369
UID_11_31_1_all-7,-21.5297,189.116,-60.3558,-143.055,91.6491,25.2681,-88.0902,-3.06806,-2.13293,-78.752,48.3319
UID_11_31_2_all-14,-124.837,9.03642,-37.6384,29.8827,35.4419,-2.15331,20.5942,-21.4772,-14.5624,-12.8663,1.45955
UID_11_31_3_all-11,-163.165,-4.97374,0.443766,34.8643,4.18113,-2.25386,-3.5735,11.914,-6.15519,1.36786,-4.37474
UID_11_31_4_all-7,634.492,161.448,-228.013,-76.095,-21.223,-29.4697,-16.5275,-57.3099,14.5978,-37.5355,49.823
UID_11_32_1_all-6,-4.99138,330.551,57.5134,-297.513,67.8674,-153.627,34.4888,151.94,-30.8824,41.9999,48.7119
UID_11_32_2_all-2,-216.64,49.8426,-2.41073,40.6244,-5.29231,6.45227,-0.0755135,13.3018,-25.9047,11.8418,2.20779
UID_11_32_3_all-18,680.705,248.984,335.65,61.5401,-65.5683,41.3062,119.924,33.6338,-87.4591,-37.3588,-61.803
UID_11_32_4_all-5,-18.805,-113.096,-4.16345,0.0115623,7.81293,13.5704,-3.22487,1.43005,9.83031,-3.0473,12.8089
UID_11_32_5_all-4,-67.9347,-37.4051,-2.75215,58.3385,54.5367,-28.3311,-17.7908,-6.43594,-15.1276,14.6313,16.4496
UID_11_32_6_all-12,462.407,-565.023,3.82202,-142.519,-43.7777,40.3384,-17.7203,0.852599,20.5981,-13.3401,2.5173
UID_11_32_7_all-10,-43.6187,31.2597,54.7417,6.91893,-134.36,19.9828,52.3031,-46.4594,-27.6721,-33.2116,-4.84667
UID_11_33_1_all-11,-228.448,128.177,44.7456,19.9744,-37.0403,-1.26157,-2.5584,25.0964,-9.76561,1.42523,-16.3347
UID_11_33_2_all-4,-8.59856,287.774,-33.2168,8.94616,-137.416,81.2197,19.0289,113.009,37.3713,-122.905,13.4861
UID_11_33_3_all-3,-114.958,196.056,-40.2267,98.4313,33.834,-12.1577,44.9699,-62.9145,-20.5555,3.72173,7.68774
UID_11_33_4_all-4,-41.4403,156.287,-58.5452,-76.0596,15.1264,-38.1357,99.2383,-81.6191,22.9242,-15.0516,5.41835
UID_11_33_5_all-6,-12.0032,348.014,58.2776,-278.567,65.3774,-169.17,52.1074,150.134,-32.186,38.7554,57.2018
UID_11_33_6_all-7,-176.95,58.1897,-28.6756,31.7958,3.51542,1.88418,2.76765,13.4766,-33.9395,8.78127,-9.97545
UID_11_34_1_all-10,608.047,-435.993,85.9818,-125.375,184.625,-378.598,-107.168,76.0604,-185.671,-145.592,-348.764
UID_11_36_1_all-16,-223.324,48.2177,4.17286,62.68,10.0355,-0.769953,19.4483,14.3087,-14.1839,-17.8009,7.03031
UID_11_36_2_all-5,-242.856,145.692,-43.8556,44.7357,34.9067,0.0982241,16.6955,-24.2636,-0.274106,-5.62418,-0.386605
UID_11_36_3_all-9,-211.551,173.431,-9.32783,4.11272,12.7934,-13.0824,-41.8656,16.0428,4.38822,13.5222,5.16009
UID_11_36_4_all-6,-62.7667,28.0838,-79.6728,10.0992,66.6125,59.6325,-26.1341,19.7144,13.4455,20.9154,6.23957
UID_11_37_1_all-7,-190.723,183.688,108.683,-34.4578,80.4792,-22.4531,39.0226,-135.766,168.603,135.753,81.0253
UID_11_37_2_all-5,-39.5336,257.095,41.9974,175.292,46.0685,-42.5506,70.4307,-18.2331,57.9447,45.5317,57.692
UID_11_37_3_all-14,-189.406,71.5101,3.80171,35.0583,-0.655801,1.5782,6.08912,20.9597,6.23217,6.64166,-4.57882
UID_11_37_4_all-3,-175.622,105.655,51.9085,-3.31396,-40.5595,-12.306,3.80326,14.4827,5.36837,7.7898,-5.82501
UID_11_37_5_all-9,751.26,62.3205,123.673,53.5857,15.1993,9.60593,56.6528,57.6238,-9.70719,-24.3096,8.51409
UID_11_3_1_all-19,-134.264,-0.237089,11.2404,40.7525,-0.206902,-0.294214,14.1834,19.598,9.77987,2.76745,-7.20045
UID_11_4_1_all-12,-41.3757,-88.1649,8.70432,-8.20118,-7.98228,9.4967,10.9338,3.62024,-0.976551,-0.548428,-2.69636
UID_11_5_1_all-11,-145.661,70.533,-11.0058,13.4237,-2.57788,0.0170883,-18.8913,-17.7741,-2.71339,-15.072,-5.90581
UID_11_5_2_all-11,-84.8005,12.4467,27.8761,-7.84565,-2.71755,18.0626,32.0842,31.8765,7.8974,2.75494,20.9511
UID_11_5_3_all-8,-105.329,-42.477,8.78923,7.97653,-6.22271,10.983,7.19989,3.66165,-12.8014,3.57185,-7.76872
UID_11_5_4_all-12,-31.0933,-97.4054,9.00962,-11.2501,-9.68432,10.363,11.5392,2.50823,0.300131,-1.49722,-2.046
UID_11_6_1_all-14,-78.6719,-52.9792,-7.26595,11.9009,12.4261,1.16648,20.7037,0.0882979,24.9428,0.552139,12.5775
UID_11_6_2_all-8,-110.065,52.8391,15.9374,3.816,-13.4909,7.30111,34.3233,-9.4947,38.8324,-2.14005,17.7746
UID_11_6_3_all-2,-91.1501,169.529,-8.36614,-105.014,29.8428,-34.4144,-9.83707,-35.3922,-34.2418,-34.3292,-9.40577
UID_11_6_4_all-7,-112.898,58.0173,59.8466,-14.5117,-13.8749,-73.4219,-35.0601,-53.1825,-7.84161,48.0591,-25.2435
UID_11_6_5_all-9,-133.618,54.1369,-9.93604,9.40639,-5.98028,2.80796,-21.3089,-20.1625,-4.03414,-13.4027,-3.84871
UID_11_6_6_all-12,-78.1015,7.24728,26.9902,-8.7176,-2.4035,17.83,38.6625,31.5416,9.07159,4.87424,18.8232
UID_11_7_1_all-11,-222.741,42.9086,1.2067,59.6783,3.16338,-17.7019,14.0061,7.05996,10.0707,-4.08751,7.69277
UID_11_7_2_all-9,-103.414,-62.187,-9.94959,35.2373,12.4572,-3.53449,-1.02435,2.87094,22.1861,0.478631,7.47504
UID_11_7_3_all-10,-98.8874,295.609,106.276,-171.975,-35.8769,-26.4555,87.628,106.899,41.8397,-18.6195,68.1626
UID_14_11_1_all-27,445.404,94.864,-353.167,62.0608,165.944,37.0787,-2.77845,114.058,-36.4405,117.764,-38.1129
UID_14_11_2_all-18,606.56,40.179,-191.285,-78.7697,-133.565,126.609,-64.5464,-71.9882,5.26087,102.401,-48.3201
UID_14_12_1_all-28,-236.024,58.9469,-13.2729,53.1097,9.52874,-15.9683,11.6257,2.20607,-4.91841,-8.39487,-8.62811
UID_14_12_2_all-7,-44.9548,-40.5164,38.4914,-30.1087,-42.6637,7.68426,-13.8872,3.63877,-6.16097,7.29188,-12.1674
UID_14_12_3_all-10,754.952,43.5161,322.675,74.4772,38.6462,-135.091,16.7285,126.564,-17.7921,36.6667,54.7408
UID_14_12_4_all-14,-147.146,75.2017,30.6661,-9.59091,-60.8032,0.30781,-10.8309,-7.22831,6.858,13.8508,-25.4149
UID_14_13_1_all-13,-154.709,10.615,17.2463,32.8787,-6.55803,-7.17832,-5.66827,1.2416,0.740977,6.61297,-0.178592
UID_14_13_2_all-26,-227.509,113.079,4.61125,25.027,3.84933,-7.44844,19.674,-37.5061,-0.639171,6.33386,-16.5506
UID_14_13_3_all-16,-186.414,53.5426,23.016,40.1482,-3.63074,-1.15957,-13.9694,12.3611,-3.05675,12.4972,-3.5579
UID_14_14_1_all-20,-184.645,4.91402,0.473651,45.278,9.04938,-4.18868,-2.71986,18.1811,-2.88736,-5.30032,6.06787
UID_14_14_2_all-25,-87.8717,-69.4797,12.8304,19.9344,4.03178,-2.06201,-8.71158,6.18714,-2.13972,3.02013,4.09386
UID_14_14_3_all-22,613.513,-144.137,445.023,-240.929,166.201,166.542,83.6512,20.2078,-104.648,-22.8773,15.0552
UID_14_14_4_all-18,627.544,-57.5194,324.389,-148.149,173.045,-6.98335,112.31,72.4244,36.0284,-14.6776,20.1326
UID_14_15_1_all-22,-115.392,-15.1323,11.2932,16.5754,12.0653,13.2207,8.29266,1.38283,-10.6794,-0.133172,1.05982
UID_14_15_2_all-19,-230.108,54.109,6.98184,76.7769,17.5871,-15.2508,15.4942,-5.17708,4.24286,-0.764688,6.74087
UID_14_15_3_all-26,-137.947,8.98815,16.1889,49.179,21.4605,-8.18191,-14.6714,9.62768,1.13073,18.4163,17.6824
UID_14_16_1_all-32,-190.442,110.75,31.1431,40.7149,3.01698,11.8925,-6.04271,33.3522,2.51115,25.9619,9.90134
UID_14_16_2_all-37,-241.802,140.413,25.1062,77.144,30.3353,-5.39004,1.94833,7.14259,-3.64816,15.2782,21.4279
UID_14_16_3_all-18,-131.804,18.8556,-57.1192,16.9373,55.6107,53.9845,-38.0375,33.5757,20.2851,37.0591,22.5604
UID_14_16_4_all-18,-138.183,-13.6148,-1.89076,24.8768,-3.55377,0.726689,-6.02355,6.17156,4.39227,-0.958683,-2.92787
UID_14_16_5_all-15,-130.339,-25.7562,-4.27412,24.4955,5.98504,-12.2054,20.6858,1.09571,11.0023,3.49154,0.580382
UID_14_16_6_all-4,-224.406,158.532,45.8213,17.864,-32.2411,0.346488,15.2678,-3.63839,0.0595728,23.3421,-12.7031
UID_14_17_1_all-2,-183.549,-7.16592,-5.01058,45.2861,5.85569,-3.28657,-3.55735,8.78778,-5.30895,-4.6877,-4.53342
UID_14_17_2_all-3,-218.592,62.5417,10.9017,37.9761,-14.3654,-8.49468,-6.895,7.46642,-6.23375,-4.03444,-8.56063
UID_14_17_3_all-2,-116.466,-58.3049,2.39703,40.8694,4.57692,-3.45631,2.45013,6.08278,5.66594,-8.42972,-0.765487
UID_14_17_4_all-4,-201.632,24.9544,-4.22086,47.0844,3.99767,-11.6643,7.09624,4.77725,-0.0542913,-7.89135,-3.49956
UID_14_17_5_all,810.805,164.214,-31.1513,148.183,-80.2815,23.5529,-29.0126,-22.5003,-18.4467,-15.0139,0.363982
UID_14_18_1_all-2,873.647,52.1885,-51.4086,167.75,-60.064,-59.0518,32.146,24.6372,-68.2767,-2.75307,42.6957
UID_14_18_2_all-17,-123.967,-9.8524,-40.6795,28.1406,43.7071,13.7182,-41.0879,-1.8398,3.21726,-11.1157,15.151
UID_14_18_3_all-14,-95.1082,-51.7372,10.8248,17.6792,-3.11861,2.52806,0.343075,10.4497,-2.20963,0.621595,-2.37803
UID_14_18_4_all-14,-122.005,-44.8871,1.06932,29.1151,10.101,4.09618,13.5813,8.6282,-8.16123,-9.27955,2.46536
UID_14_18_5_all-13,-129.662,-47.0067,-10.9708,22.7391,2.81222,-13.4669,1.25602,-5.79251,-4.91817,-1.8405,-10.4781
UID_14_19_1_all-17,-161.721,7.08475,12.1104,38.5629,3.83392,-8.66188,5.1939,6.35199,2.91604,1.53027,2.21392
UID_14_19_2_all-6,-161.583,-13.8267,-1.90414,35.488,-0.468439,0.381594,-4.13367,9.83238,-3.16254,-7.33359,-2.18758
UID_14_19_3_all-27,-199.023,60.7875,18.6809,65.992,21.332,-3.15296,13.077,14.2813,2.16322,4.2194,21.6874
UID_14_19_4_all-20,-166.566,6.39493,6.47591,36.2675,-2.61987,-2.83571,8.41597,9.53571,-0.9366,-11.0378,-2.5679
UID_14_1_1_all-2,-30.3139,-119.392,2.23818,-8.87829,-12.3859,9.32887,-2.22386,3.22009,-0.301923,-3.41852,-4.47013
UID_14_1_2_all-10,-113.276,-49.1752,5.77992,44.5545,17.1355,-11.1757,0.930336,-2.5372,3.27267,3.82752,5.72361
UID_14_1_3_all-7,-24.7285,-2.11011,-67.252,-26.2303,19.212,-52.1841,-25.3743,-54.5759,-20.3988,-15.4853,-6.57787
UID_14_1_4_all-17,-19.3457,21.2632,20.7363,13.5359,-44.7214,64.3479,35.9341,47.752,-42.5284,2.94431,-69.4259
UID_14_1_5_all-31,-86.0615,-57.3161,10.035,12.6144,-5.09629,3.27253,-19.7843,3.96956,-0.365283,17.8149,-4.2759
UID_14_20_1_all-3,-85.6399,-91.9674,0.0927431,32.0506,4.95341,-0.835089,0.646124,7.88451,4.86978,-10.6819,5.72252
UID_14_20_2_all-4,-177.072,-3.85802,4.98898,63.8559,22.6608,-7.69504,8.20626,0.262452,3.71589,-2.62259,18.0985
UID_14_21_1_all-12,-200.18,18.5627,12.9122,51.244,19.3731,-8.97808,5.13498,7.93781,7.81786,5.05805,3.55884
UID_14_21_2_all-19,-197.736,18.0456,6.55079,50.3224,5.93131,-10.5236,13.1252,0.920584,5.84306,-8.21778,-3.04556
UID_14_22_1_all-9,-99.7275,-36.1708,21.8381,13.9842,-4.86812,2.28845,-10.0224,10.8053,-12.6654,-2.73699,0.302622
UID_14_22_2_all-25,-214.706,40.8044,18.2465,47.5233,10.5589,-15.7746,9.01748,-3.11801,7.5145,3.58049,1.17827
UID_14_23_1_all-3,-135.178,-12.5794,14.9665,21.6043,-8.49905,-0.563726,-16.4771,7.90057,-8.96026,1.8467,-3.83885
UID_14_23_2_all-10,-209.099,14.3532,-4.34575,54.7221,12.2527,-7.90956,-2.83364,6.85913,-10.9931,-2.70578,-3.81445
UID_14_24_1_all-9,-177.948,-3.1001,-4.82104,46.1697,16.6305,-2.0607,8.6215,10.5947,-6.48847,-10.331,4.01987
UID_14_24_2_all-2,-126.73,-50.5123,-1.58105,28.8564,2.80328,-2.84494,-4.26897,4.38123,-1.67778,-0.185614,-4.4602
UID_14_25_1_all-19,-123.335,-55.524,-15.3505,28.3597,22.6003,7.75117,1.86241,4.4531,-7.52698,3.36004,2.25982
UID_14_26_1_all-2,-237.398,64.4903,7.225,55.8999,3.31386,-12.6149,-4.73206,3.82772,-7.92252,-1.34832,-8.52435
UID_14_26_2_all-2,-187.053,-11.5051,-7.37584,52.4111,11.0021,-6.93925,-3.61777,6.12947,-5.23963,-0.670218,-5.59651
UID_14_28_1_all-11,-132.538,-59.9588,-8.84962,41.2194,17.4559,-8.73069,3.21841,-1.97384,-11.6434,-0.326816,-6.97976
UID_14_28_2_all-17,-173.91,20.0595,3.60351,47.8708,13.4768,-40.4834,36.4004,-8.64268,11.2603,-1.42342,9.99923
UID_14_28_3_all-24,-117.379,-58.8613,-3.32911,29.9982,10.6319,-0.362665,1.8728,0.898878,-4.2919,2.28423,-0.234734
UID_14_28_4_all-19,-147.621,-31.0603,-1.06682,37.679,7.09595,-5.15965,5.456,7.78212,3.55006,-6.85444,3.80559
UID_14_29_1_all-19,-159.3,-5.97563,8.16997,35.9279,-1.85874,-5.64242,-12.5111,8.77051,-10.8734,2.6587,-4.02304
UID_14_29_2_all-27,-142.483,-22.9734,6.42688,21.4547,4.84241,0.882029,0.760685,11.2673,-9.51435,-6.48658,-6.42985
UID_14_2_1_all-21,-200.369,54.6276,2.43678,39.0345,-12.212,3.21618,-7.19495,4.50125,8.03069,2.72557,-4.80836
UID_14_2_2_all-16,-135.086,57.3164,9.05525,-5.05654,-33.0853,2.1283,-11.8952,-1.70183,14.185,-2.53536,-13.8916
UID_14_2_3_all-10,-75.0619,-24.0763,54.4923,-23.5962,-26.1892,-3.57742,-34.6025,12.6457,-6.98447,-10.7451,-7.369
UID_14_2_4_all-13,-119.069,-45.2459,6.01112,47.8218,12.7749,-5.00703,1.34356,-0.633343,4.98171,-3.29796,10.7151
UID_14_2_5_all-8,-102.887,-37.8461,15.1027,19.1215,-5.38467,-3.13714,-18.6791,-12.1974,-6.17269,13.8464,-2.72878
UID_14_30_1_all-21,-137.865,-9.99711,1.37765,23.4471,8.28117,6.23187,8.29389,6.46626,-7.40715,-2.24957,-0.349592
UID_14_30_2_all-19,-119.956,40.4672,42.5046,18.8081,-16.7774,3.53259,-16.0505,8.21706,3.93226,21.9053,2.76202
UID_14_30_3_all-15,-199.451,33.6353,8.39832,42.0706,-1.20997,-5.39093,5.54501,12.9574,-4.40627,-4.80396,0.687191
UID_14_31_1_all-12,-130.249,-13.9413,2.6764,18.4626,2.66141,6.05153,5.38221,5.079,-6.9879,-4.64825,-1.89075
UID_14_31_2_all-15,-126.458,41.3863,25.5924,24.1645,2.96113,13.1146,-29.5465,28.2679,12.2962,28.0092,-2.50718
UID_14_31_3_all-2,-242.338,70.6721,6.52601,62.9599,12.5329,-12.5255,3.27465,-0.975646,-7.15033,4.2544,-1.33386
UID_14_32_1_all-20,-160.733,1.24232,5.74617,36.9031,3.10838,2.75315,-6.96441,9.42035,-4.64938,12.5186,0.444957
UID_14_32_2_all-14,-220.927,49.4175,-15.3622,39.2049,22.4741,-37.5648,0.302128,-10.6499,-2.78549,-4.51525,-4.45328
UID_14_33_1_all-22,-134.247,158.198,-10.1586,3.83997,42.6379,-3.03718,-26.4427,-35.0777,-47.5258,-15.4624,13.2722
UID_14_34_1_all-9,-141.866,2.16523,6.60703,16.3264,-3.30187,2.04196,13.5696,4.08961,-1.42807,-12.9109,-2.8369
UID_14_34_2_all-16,-140.767,20.2417,28.3892,51.2531,6.22482,-6.03601,5.31593,9.44855,4.68957,6.38672,19.395
UID_14_37_1_all-14,-221.394,44.1003,-8.67411,62.6228,15.9577,-12.398,10.9151,8.79071,2.17647,-6.75738,1.93025
UID_14_37_2_all-15,-129.85,-1.23289,-34.3671,14.3376,4.25181,-46.8831,8.92299,-33.1047,3.23443,2.61384,-11.3749
UID_14_37_3_all-31,-209.498,77.9848,28.8085,36.1093,-13.5311,-5.71129,-7.63729,15.2193,-12.0139,5.40178,-8.52736
UID_14_37_4_all-16,-114.019,-51.8782,6.61353,28.691,-0.594808,-5.02348,-7.84216,5.77813,5.00712,-1.5195,5.64026
UID_14_38_1_all-15,-88.6351,-46.7392,14.0145,1.67073,-15.4417,3.80995,11.2603,10.527,3.38202,-9.90136,1.84799
UID_14_3_1_all-4,-116.165,41.8835,28.9083,-30.3215,-48.6839,17.3782,14.6202,-7.79051,-19.1034,10.7339,-25.9717
UID_14_4_1_all-2,8.5589,-103.279,-19.1759,-12.0651,15.2429,2.5604,-2.35208,-25.5629,8.54751,-1.54275,3.32319
UID_14_5_1_all-3,-143.586,-44.9798,-6.09874,42.3619,13.5045,-4.55699,1.49076,1.6003,1.14556,-4.90369,0.603499
UID_14_5_2_all-7,-131.322,-37.6773,8.86952,33.018,14.1238,-2.81046,10.0367,3.90188,-12.3886,-4.82563,0.065528
UID_14_5_3_all-3,-125.668,-26.9216,3.92505,18.545,-4.62943,-3.79161,5.53413,0.306553,-7.83772,-2.0515,-7.2585
UID_14_6_1_all-32,-169.511,6.53364,1.77473,28.0949,-7.76854,1.99668,4.4439,5.19702,-6.40348,1.91752,-10.7254
UID_14_6_2_all-16,-109.685,-19.5714,19.122,10.9209,-17.217,-1.03318,-2.87109,5.64017,-0.261033,1.30272,-4.77397
UID_14_6_3_all-19,-126.508,-17.6666,-1.68977,18.4394,3.30449,17.8379,-22.163,24.8922,-9.74615,10.3917,-9.17113
UID_14_6_4_all-5,-72.7813,-75.8022,-15.9554,15.6208,10.2408,0.711344,7.49293,-15.3556,-0.740412,-10.6539,-4.64656
UID_14_6_5_all-17,-174.312,35.9415,18.3913,37.631,2.44214,-1.71346,-2.6343,2.59599,1.87206,20.7037,5.24057
UID_14_7_1_all-19,-190.649,46.1067,12.8623,39.3287,7.77907,3.57563,1.70054,6.05738,1.5776,18.6324,5.75539
UID_14_7_2_all-17,-196.376,-1.48615,-6.84297,61.9659,22.7229,-7.27982,7.49852,8.34817,-4.5312,-7.65766,3.16885
UID_14_7_3_all-21,-78.7126,118.135,-140.186,42.1213,18.55,-37.2349,140.527,-5.23272,-38.0348,-15.0951,-28.397
UID_14_8_1_all-19,-216.116,33.9799,-0.963951,54.208,9.8236,-7.22049,-4.6609,1.42033,-10.6039,-1.50622,-6.20066
UID_14_8_2_all-30,-180.348,28.4558,2.15991,51.5788,14.4566,-41.1101,31.0652,-12.8663,9.02174,2.42932,7.27431
UID_14_9_1_all-8,-134.601,-56.1644,-12.3743,39.0354,13.332,-9.03861,-2.4311,-0.61646,-16.1191,-4.11592,-5.22617
UID_14_9_2_all-20,-145.415,-2.10404,12.7072,34.582,1.42253,1.75296,-9.16537,9.67174,-3.88818,13.4084,1.11055
UID_14_9_3_all-16,-157.919,-18.2398,-2.19028,43.3172,16.4907,-4.50635,11.9531,11.4795,-6.77518,-9.4369,1.59293
UID_15_11_1_all-16,-187.074,49.5551,20.0778,28.8253,-5.25479,-3.81925,17.5624,13.6281,-0.905574,-1.62112,2.81505
UID_15_12_1_all-2,-212.7,6.14465,-10.7682,62.3402,14.8231,-11.0493,-2.41989,3.46979,-1.60457,-2.47135,-4.39366
UID_15_13_1_all-11,-167.058,-1.53103,4.96602,37.3442,-1.2086,-3.61705,5.24869,8.17933,1.86696,-2.84587,-0.115523
