Contour,Mode 1 (normalized),Mode 2 (normalized),Mode 3 (normalized),Mode 4 (normalized),Mode 5 (normalized),Mode 6 (normalized),Mode 7 (normalized),Mode 8 (normalized),Mode 9 (normalized),Mode 10 (normalized),Mode 11 (normalized)
UID_11_29_1_all-10,-0.5298,0.488654,0.0185201,0.289729,-0.364424,0.168727,0.16391,-0.986762,-0.414091,-0.396647,-0.0480735
UID_11_29_2_all-2,0.212624,-0.0819935,-2.59859,-0.979975,2.56065,1.05577,-2.29583,1.6864,0.547227,0.232149,0.787793
UID_11_29_3_all-3,0.328882,-1.22242,0.0971534,-0.465274,-0.965666,0.883251,0.614445,0.260928,-0.0317556,-0.164973,-1.13534
UID_11_29_4_all-5,0.892347,0.879125,-2.64681,-1.752,1.99287,-2.73104,-0.250019,-5.43021,-1.35511,-4.58218,1.4664
UID_11_29_5_all-4,-0.326999,0.695285,-0.774573,-0.00932146,-0.137192,-0.0989691,-1.72651,1.6283,2.14835,-0.0248756,0.0688807
UID_11_2_1_all-17,-0.112042,-0.915164,0.174898,-0.157374,-0.142127,0.216975,-0.00999144,0.310371,-0.265631,-0.283664,0.0110028
UID_11_2_2_all-9,0.314992,1.21205,-2.29909,1.45998,3.47545,2.1078,-2.40952,0.233011,0.256919,0.166302,3.31601
UID_11_2_3_all-17,-0.151146,-0.157265,-0.550885,-0.255244,0.60424,0.212943,-0.471401,-0.202381,0.259185,-1.04472,0.0277766
UID_11_2_4_all-5,-0.412604,-0.308849,0.0963998,0.21685,-0.0443219,0.0397415,0.551238,-0.19943,0.272097,-0.103039,0.0114544
UID_11_30_1_all-6,2.21154,0.993302,-5.56008,-5.08223,0.566239,-0.745985,3.55857,-2.41725,-1.92702,1.45556,3.69476
UID_11_30_2_all-8,0.883213,0.456598,-3.28938,0.633121,1.83711,0.23279,-0.560493,0.969567,1.52385,1.22942,-1.19778
UID_11_31_1_all-7,-0.0838841,1.56101,-0.748371,-2.20918,1.60686,0.539504,-2.26568,-0.0857122,-0.0681754,-2.7697,1.87733
UID_11_31_2_all-14,-0.486393,0.074589,-0.466691,0.461473,0.621393,-0.0459757,0.529683,-0.600007,-0.465461,-0.452506,0.0566924
UID_11_31_3_all-11,-0.635725,-0.0410545,0.0055024,0.538404,0.0733066,-0.0481226,-0.0919103,0.332841,-0.19674,0.0481074,-0.169925
UID_11_31_4_all-7,2.47211,1.33263,-2.82721,-1.17512,-0.372096,-0.629212,-0.425088,-1.60106,0.466593,-1.32012,1.93525
UID_11_32_1_all-6,-0.0194475,2.72846,0.713128,-4.59444,1.1899,-3.28011,0.887052,4.24472,-0.987103,1.47713,1.89209
UID_11_32_2_all-2,-0.844076,0.411414,-0.0298914,0.627356,-0.0927885,0.137763,-0.00194221,0.371611,-0.828001,0.416473,0.0857558
UID_11_32_3_all-18,2.65217,2.05518,4.16183,0.950353,-1.14959,0.881936,3.08443,0.939624,-2.79548,-1.3139,-2.40058
UID_11_32_4_all-5,-0.0732681,-0.933526,-0.051624,0.000178554,0.136982,0.289743,-0.0829436,0.0399513,0.314209,-0.107173,0.49753
UID_11_32_5_all-4,-0.264688,-0.308752,-0.0341248,0.900912,0.956176,-0.604901,-0.457579,-0.1798,-0.483528,0.51458,0.638941
UID_11_32_6_all-12,1.80163,-4.66385,0.0473904,-2.2009,-0.767542,0.861271,-0.455767,0.023819,0.658385,-0.469168,0.0977781
UID_11_32_7_all-10,-0.169948,0.258026,0.67876,0.106848,-2.3557,0.426656,1.34523,-1.29793,-0.884493,-1.16805,-0.188257
UID_11_33_1_all-11,-0.890083,1.05801,0.554815,0.308462,-0.649417,-0.026936,-0.0658019,0.701116,-0.312141,0.050125,-0.634479
UID_11_33_2_all-4,-0.0335018,2.37536,-0.411866,0.138154,-2.40928,1.73413,0.489424,3.15712,1.19451,-4.32254,0.523831
UID_11_33_3_all-3,-0.4479,1.6183,-0.498784,1.52006,0.593201,-0.25958,1.15663,-1.75764,-0.657021,0.130893,0.29861
UID_11_33_4_all-4,-0.16146,1.29003,-0.725921,-1.17457,0.265206,-0.814242,2.55241,-2.28018,0.732735,-0.529361,0.210462
UID_11_33_5_all-6,-0.046767,2.8726,0.722603,-4.30186,1.14624,-3.61197,1.3402,4.19428,-1.02877,1.36302,2.22186
UID_11_33_6_all-7,-0.689433,0.480313,-0.355559,0.491017,0.0616349,0.0402295,0.071184,0.376494,-1.08482,0.308836,-0.387471
UID_11_34_1_all-10,2.36908,-3.5988,1.06612,-1.93615,3.23698,-8.0835,-2.75635,2.12489,-5.93467,-5.12043,-13.5469
UID_11_36_1_all-16,-0.870118,0.398001,0.0517407,0.967957,0.17595,-0.0164394,0.500209,0.39974,-0.453365,-0.626054,0.273074
UID_11_36_2_all-5,-0.946219,1.20258,-0.54378,0.690845,0.612009,0.0020972,0.429408,-0.677851,-0.00876134,-0.197802,-0.0150167
UID_11_36_3_all-9,-0.824246,1.43154,-0.115659,0.0635121,0.224304,-0.279325,-1.07678,0.448186,0.140262,0.475574,0.200431
UID_11_36_4_all-6,-0.244552,0.231812,-0.98789,0.15596,1.1679,1.27322,-0.672168,0.550759,0.429763,0.735592,0.24236
UID_11_37_1_all-7,-0.743095,1.51621,1.3476,-0.532125,1.41102,-0.4794,1.00366,-3.79289,5.38911,4.77442,3.14722
UID_11_37_2_all-5,-0.154031,2.12213,0.52074,2.707,0.807705,-0.908504,1.81148,-0.509377,1.8521,1.60134,2.2409
UID_11_37_3_all-14,-0.737966,0.590263,0.0471387,0.541399,-0.011498,0.0336965,0.156612,0.585549,0.199201,0.233586,-0.177853
UID_11_37_4_all-3,-0.684259,0.872106,0.643631,-0.0511769,-0.711118,-0.262747,0.0978199,0.404603,0.171591,0.273966,-0.226258
UID_11_37_5_all-9,2.92707,0.51441,1.53346,0.827515,0.266485,0.205098,1.45711,1.60983,-0.310274,-0.854964,0.330708
UID_11_3_1_all-19,-0.523122,-0.001957,0.139373,0.629334,-0.00362755,-0.0062818,0.364798,0.547508,0.312597,0.0973307,-0.279683
UID_11_4_1_all-12,-0.161209,-0.727736,0.107928,-0.126649,-0.139951,0.202766,0.281219,0.101138,-0.0312138,-0.0192881,-0.104733
UID_11_5_1_all-11,-0.567527,0.582198,-0.136465,0.2073,-0.0451972,0.000364855,-0.485885,-0.496552,-0.0867291,-0.530082,-0.229396
UID_11_5_2_all-11,-0.330401,0.102738,0.345644,-0.121159,-0.047646,0.385657,0.825206,0.890532,0.252427,0.096891,0.813793
UID_11_5_3_all-8,-0.410384,-0.350617,0.108981,0.12318,-0.109101,0.2345,0.185181,0.102295,-0.409177,0.125621,-0.301756
UID_11_5_4_all-12,-0.121146,-0.80401,0.111713,-0.173733,-0.169792,0.221261,0.296787,0.0700721,0.00959319,-0.052657,-0.0794714
UID_11_6_1_all-14,-0.306522,-0.437304,-0.090093,0.183783,0.217864,0.0249057,0.5325,0.00246677,0.797255,0.0194186,0.488539
UID_11_6_2_all-8,-0.428838,0.436148,0.197613,0.0589298,-0.236532,0.155887,0.882795,-0.265252,1.24121,-0.0752651,0.69041
UID_11_6_3_all-2,-0.35514,1.39934,-0.103735,-1.62171,0.523225,-0.734787,-0.253009,-0.988748,-1.09448,-1.20735,-0.365343
UID_11_6_4_all-7,-0.439875,0.47889,0.742058,-0.224102,-0.243265,-1.56764,-0.901746,-1.48576,-0.250644,1.69023,-0.980518
UID_11_6_5_all-9,-0.520602,0.44686,-0.1232,0.145261,-0.10485,0.0599532,-0.548064,-0.563279,-0.128944,-0.471372,-0.149493
UID_11_6_6_all-12,-0.3043,0.059821,0.334661,-0.134624,-0.0421399,0.380691,0.994398,0.881175,0.289958,0.171426,0.73114
UID_11_7_1_all-11,-0.867847,0.354179,0.0149623,0.921601,0.0554626,-0.377957,0.360237,0.197233,0.321891,-0.143757,0.298806
UID_11_7_2_all-9,-0.402924,-0.513308,-0.123368,0.544164,0.218408,-0.0754654,-0.0263462,0.0802053,0.709142,0.0168334,0.290349
UID_11_7_3_all-10,-0.385286,2.44004,1.31776,-2.65578,-0.629018,-0.564855,2.25379,2.98644,1.33734,-0.654845,2.6476
UID_14_11_1_all-27,1.73539,0.783033,-4.37904,0.958394,2.90945,0.791672,-0.0714618,3.18642,-1.16476,4.14173,-1.4804
UID_14_11_2_all-18,2.36329,0.331648,-2.3718,-1.21643,-2.34176,2.70325,-1.66013,-2.01113,0.168155,3.60144,-1.87687
UID_14_12_1_all-28,-0.919599,0.486563,-0.164574,0.820164,0.167065,-0.340941,0.299012,0.0616309,-0.157209,-0.295246,-0.335137
UID_14_12_2_all-7,-0.175153,-0.334433,0.477268,-0.464963,-0.748011,0.164068,-0.357179,0.101656,-0.196925,0.256454,-0.47261
UID_14_12_3_all-10,2.94145,0.359194,4.00095,1.15014,0.677573,-2.88435,0.430257,3.53579,-0.568694,1.28956,2.12627
UID_14_12_4_all-14,-0.573311,0.620735,0.380239,-0.148111,-1.06605,0.00657211,-0.278571,-0.201937,0.219204,0.487131,-0.987176
UID_14_13_1_all-13,-0.602779,0.087619,0.213842,0.50774,-0.11498,-0.153265,-0.145788,0.0346864,0.0236841,0.232577,-0.00693693
UID_14_13_2_all-26,-0.886424,0.933385,0.0571764,0.386487,0.0674893,-0.159033,0.506015,-1.0478,-0.02043,0.222761,-0.642866
UID_14_13_3_all-16,-0.726309,0.441955,0.285383,0.620002,-0.0636566,-0.0247582,-0.359293,0.34533,-0.097704,0.439526,-0.138198
UID_14_14_1_all-20,-0.719415,0.0405616,0.00587295,0.699221,0.15866,-0.0894332,-0.0699548,0.507923,-0.0922896,-0.186412,0.235691
UID_14_14_2_all-25,-0.342367,-0.573504,0.159089,0.307844,0.070688,-0.0440263,-0.224062,0.17285,-0.0683925,0.106218,0.159015
UID_14_14_3_all-22,2.39038,-1.18975,5.51799,-3.72062,2.91396,3.55586,2.15151,0.564543,-3.3449,-0.80459,0.584781
UID_14_14_4_all-18,2.44505,-0.474781,4.0222,-2.28784,3.03395,-0.149102,2.88862,2.02331,1.15159,-0.516208,0.782
UID_14_15_1_all-22,-0.449592,-0.124906,0.140028,0.255971,0.211538,0.282277,0.213287,0.0386319,-0.341348,-0.00468365,0.0411659
UID_14_15_2_all-19,-0.896548,0.44663,0.0865701,1.18565,0.30835,-0.325622,0.398511,-0.144631,0.135616,-0.026894,0.261832
UID_14_15_3_all-26,-0.537469,0.0741906,0.200732,0.759463,0.37626,-0.174693,-0.377348,0.268968,0.0361418,0.647697,0.686829
UID_14_16_1_all-32,-0.742001,0.914159,0.386154,0.628754,0.0528958,0.253919,-0.155418,0.931756,0.0802646,0.913075,0.384592
UID_14_16_2_all-37,-0.942113,1.15901,0.3113,1.19132,0.53186,-0.115084,0.0501109,0.199542,-0.116607,0.537332,0.83231
UID_14_16_3_all-18,-0.513537,0.155639,-0.70824,0.26156,0.975006,1.15263,-0.978325,0.938,0.64838,1.30336,0.8763
UID_14_16_4_all-18,-0.538391,-0.11238,-0.0234442,0.384168,-0.0623072,0.0155156,-0.154926,0.172414,0.140391,-0.0337167,-0.113726
UID_14_16_5_all-15,-0.50783,-0.212598,-0.0529963,0.378279,0.104934,-0.2606,0.532039,0.0306107,0.35167,0.122797,0.0225435
UID_14_16_6_all-4,-0.874331,1.30857,0.568153,0.275871,-0.565274,0.00739793,0.392688,-0.101645,0.00190414,0.820937,-0.49342
UID_14_17_1_all-2,-0.715145,-0.0591494,-0.0621279,0.699346,0.102666,-0.0701721,-0.0914951,0.245503,-0.169692,-0.164866,-0.176089
UID_14_17_2_all-3,-0.851682,0.516236,0.135174,0.586458,-0.251865,-0.181371,-0.177339,0.208589,-0.199251,-0.141891,-0.332516
UID_14_17_3_all-2,-0.453776,-0.481264,0.0297216,0.631139,0.0802458,-0.0737962,0.0630174,0.169934,0.181102,-0.296472,-0.0297334
UID_14_17_4_all-4,-0.7856,0.20598,-0.0523359,0.727116,0.07009,-0.249047,0.182515,0.133462,-0.00173533,-0.277538,-0.135931
UID_14_17_5_all,3.15907,1.35546,-0.386256,2.28837,-1.40755,0.502882,-0.746204,-0.628587,-0.589617,-0.528036,0.0141379
UID_14_18_1_all-2,3.40391,0.430778,-0.637432,2.59054,-1.05309,-1.26082,0.826796,0.688287,-2.18235,-0.0968251,1.65841
UID_14_18_2_all-17,-0.483,-0.0813244,-0.504399,0.43457,0.766304,0.2929,-1.05678,-0.0513982,0.102834,-0.390937,0.588503
UID_14_18_3_all-14,-0.370562,-0.427053,0.13422,0.273017,-0.0546777,0.0539769,0.00882388,0.291932,-0.070627,0.0218614,-0.0923685
UID_14_18_4_all-14,-0.475356,-0.37051,0.0132589,0.44962,0.177097,0.0874581,0.34931,0.241045,-0.26086,-0.32636,0.0957606
UID_14_18_5_all-13,-0.505189,-0.388006,-0.13603,0.351156,0.0493058,-0.287535,0.0323049,-0.161825,-0.157201,-0.0647303,-0.406993
UID_14_19_1_all-17,-0.630098,0.0584794,0.150161,0.59552,0.0672191,-0.184941,0.133587,0.177455,0.0932064,0.0538193,0.0859939
UID_14_19_2_all-6,-0.62956,-0.114129,-0.0236101,0.548035,-0.00821301,0.00814747,-0.106318,0.274686,-0.101085,-0.257921,-0.0849711
UID_14_19_3_all-27,-0.775435,0.501756,0.23163,1.0191,0.374007,-0.0673193,0.33634,0.398976,0.0691437,0.148396,0.842391
UID_14_19_4_all-20,-0.648975,0.0527854,0.080297,0.560073,-0.0459335,-0.0605457,0.216459,0.266398,-0.0299369,-0.388199,-0.0997434
UID_14_1_1_all-2,-0.118109,-0.985493,0.027752,-0.137106,-0.217159,0.199182,-0.0571976,0.0899592,-0.00965048,-0.120229,-0.173631
UID_14_1_2_all-10,-0.441349,-0.405905,0.0716672,0.688048,0.300431,-0.238614,0.0239282,-0.0708814,0.104605,0.134613,0.222319
UID_14_1_3_all-7,-0.0963476,-0.0174174,-0.83388,-0.40507,0.336838,-1.11419,-0.652628,-1.52468,-0.652013,-0.544616,-0.2555
UID_14_1_4_all-17,-0.075375,0.175512,0.257116,0.209033,-0.784086,1.3739,0.924226,1.33404,-1.35935,0.103551,-2.69667
UID_14_1_5_all-31,-0.335314,-0.473102,0.124427,0.194802,-0.0893518,0.0698722,-0.508852,0.110897,-0.0116757,0.626546,-0.166086
UID_14_20_1_all-3,-0.333671,-0.759123,0.00114995,0.494952,0.0868468,-0.0178301,0.0166183,0.220269,0.155654,-0.375681,0.222276
UID_14_20_2_all-4,-0.68991,-0.0318451,0.06186,0.986115,0.397305,-0.164298,0.211065,0.00733209,0.118772,-0.0922361,0.702988
UID_14_21_1_all-12,-0.779944,0.153222,0.160103,0.791352,0.339664,-0.191692,0.132072,0.221758,0.249885,0.177891,0.138234
UID_14_21_2_all-19,-0.770422,0.148953,0.0812254,0.77712,0.103992,-0.224691,0.337581,0.0257183,0.186764,-0.289018,-0.118297
UID_14_22_1_all-9,-0.388559,-0.298564,0.270777,0.215955,-0.0853513,0.0488609,-0.257777,0.301867,-0.404829,-0.0962596,0.0117546
UID_14_22_2_all-25,-0.836541,0.33681,0.226244,0.733894,0.185126,-0.336806,0.23193,-0.0871075,0.240188,0.125925,0.0457669
UID_14_23_1_all-3,-0.52668,-0.103833,0.185575,0.333631,-0.149011,-0.0120362,-0.423792,0.220717,-0.2864,0.0649482,-0.14911
UID_14_23_2_all-10,-0.814695,0.118475,-0.0538844,0.845065,0.214822,-0.168878,-0.0728811,0.191623,-0.351377,-0.0951617,-0.148162
UID_14_24_1_all-9,-0.693324,-0.025589,-0.0597776,0.71299,0.291578,-0.0439983,0.221745,0.295983,-0.207393,-0.363341,0.156142
UID_14_24_2_all-2,-0.493766,-0.416942,-0.019604,0.445624,0.0491491,-0.0607429,-0.109798,0.122398,-0.0536275,-0.00652801,-0.173245
UID_14_25_1_all-19,-0.480538,-0.45831,-0.190335,0.437954,0.396245,0.165496,0.0479011,0.124406,-0.240587,0.118172,0.0877768
UID_14_26_1_all-2,-0.924952,0.53232,0.0895852,0.863252,0.058101,-0.269343,-0.121708,0.106935,-0.25323,-0.0474201,-0.331106
UID_14_26_2_all-2,-0.728797,-0.0949664,-0.0914555,0.809375,0.192897,-0.148161,-0.093049,0.171238,-0.167476,-0.0235715,-0.217382
UID_14_28_1_all-11,-0.516396,-0.494916,-0.109729,0.636544,0.306049,-0.18641,0.0827776,-0.0551429,-0.372163,-0.0114941,-0.271111
UID_14_28_2_all-17,-0.67759,0.165576,0.0446811,0.73926,0.236285,-0.864368,0.936219,-0.24145,0.359918,-0.0500615,0.388395
UID_14_28_3_all-24,-0.457333,-0.485857,-0.0412788,0.463257,0.186406,-0.00774331,0.0481685,0.0251119,-0.137183,0.080336,-0.00911765
UID_14_28_4_all-19,-0.575161,-0.25638,-0.0132279,0.581871,0.124411,-0.110165,0.140328,0.217408,0.113472,-0.24107,0.147818
UID_14_29_1_all-19,-0.620667,-0.0493245,0.101302,0.554829,-0.0325887,-0.120472,-0.321785,0.245021,-0.347551,0.093506,-0.156264
UID_14_29_2_all-27,-0.555143,-0.189629,0.079689,0.331321,0.0849005,0.0188323,0.0195648,0.314773,-0.30411,-0.228132,-0.249751
UID_14_2_1_all-21,-0.780681,0.450911,0.0302144,0.602803,-0.214109,0.0686691,-0.185054,0.125751,0.256688,0.0958578,-0.186769
UID_14_2_2_all-16,-0.526323,0.473105,0.112279,-0.0780873,-0.580074,0.0454416,-0.305944,-0.0475438,0.453398,-0.0891683,-0.539584
UID_14_2_3_all-10,-0.292457,-0.198732,0.675668,-0.364392,-0.459167,-0.0763821,-0.889977,0.353282,-0.223247,-0.377904,-0.28623
UID_14_2_4_all-13,-0.463916,-0.373472,0.0745339,0.738504,0.223979,-0.106906,0.0345564,-0.0176937,0.159232,-0.115989,0.4162
UID_14_2_5_all-8,-0.400868,-0.312392,0.187264,0.295291,-0.0944079,-0.0669814,-0.480427,-0.340757,-0.197299,0.486977,-0.105992
UID_14_30_1_all-21,-0.537152,-0.0825188,0.0170819,0.36209,0.145191,0.133058,0.213319,0.180647,-0.236757,-0.079117,-0.013579
UID_14_30_2_all-19,-0.467373,0.334027,0.527029,0.29045,-0.294152,0.0754248,-0.412818,0.229559,0.125688,0.770406,0.107284
UID_14_30_3_all-15,-0.777102,0.277634,0.104134,0.649688,-0.0212141,-0.115103,0.142618,0.361989,-0.140839,-0.168955,0.0266922
UID_14_31_1_all-12,-0.507479,-0.115075,0.0331856,0.285114,0.0466617,0.129207,0.13843,0.141892,-0.223356,-0.163478,-0.0734413
UID_14_31_2_all-15,-0.492706,0.341613,0.317329,0.373167,0.0519166,0.280012,-0.759936,0.789718,0.393028,0.98508,-0.0973849
UID_14_31_3_all-2,-0.944199,0.583347,0.0809182,0.97228,0.219736,-0.267434,0.0842241,-0.0272565,-0.228548,0.149627,-0.0518105
UID_14_32_1_all-20,-0.626249,0.0102544,0.0712487,0.569888,0.0544983,0.058783,-0.179125,0.263175,-0.14861,0.440279,0.0172832
UID_14_32_2_all-14,-0.860778,0.407905,-0.190481,0.605435,0.394031,-0.802051,0.00777073,-0.297525,-0.0890335,-0.158801,-0.172976
UID_14_33_1_all-22,-0.523055,1.3058,-0.125959,0.0593,0.747557,-0.0648473,-0.680106,-0.979963,-1.51908,-0.54381,0.515526
UID_14_34_1_all-9,-0.55274,0.0178724,0.0819227,0.252126,-0.0578908,0.0435982,0.34901,0.114251,-0.0456459,-0.454074,-0.110192
UID_14_34_2_all-16,-0.548459,0.16708,0.352007,0.791492,0.109138,-0.128876,0.136726,0.263963,0.149894,0.22462,0.753347
UID_14_37_1_all-14,-0.862597,0.364016,-0.107553,0.967074,0.279782,-0.264713,0.280736,0.245585,0.0695671,-0.237656,0.0749755
UID_14_37_2_all-15,-0.505922,-0.0101766,-0.426129,0.221412,0.0745458,-1.00101,0.229499,-0.924842,0.103383,0.0919283,-0.441829
UID_14_37_3_all-31,-0.816249,0.643707,0.357206,0.557629,-0.237237,-0.121943,-0.196431,0.425179,-0.384004,0.18998,-0.331223
UID_14_37_4_all-16,-0.444244,-0.428217,0.0820034,0.44307,-0.0104286,-0.107257,-0.2017,0.161423,0.160044,-0.0534405,0.219081
UID_14_38_1_all-15,-0.345341,-0.385797,0.17377,0.0258008,-0.270734,0.0813469,0.289616,0.294092,0.1081,-0.348229,0.0717804
UID_14_3_1_all-4,-0.452603,0.345717,0.358444,-0.46825,-0.853562,0.371044,0.376031,-0.217643,-0.610608,0.37751,-1.0088
UID_14_4_1_all-2,0.0333473,-0.852495,-0.237769,-0.18632,0.267249,0.0546675,-0.0604956,-0.714147,0.273207,-0.0542584,0.129081
UID_14_5_1_all-3,-0.559441,-0.371275,-0.0756203,0.654188,0.23677,-0.0972969,0.0383422,0.0447075,0.0366158,-0.172462,0.0234414
UID_14_5_2_all-7,-0.51166,-0.310999,0.109976,0.509891,0.247628,-0.0600066,0.258144,0.109007,-0.39598,-0.169717,0.00254527
UID_14_5_3_all-3,-0.489629,-0.222218,0.048668,0.286387,-0.0811664,-0.0809553,0.142338,0.00856415,-0.25052,-0.0721511,-0.281938
UID_14_6_1_all-32,-0.660451,0.0539304,0.0220055,0.433865,-0.136204,0.0426315,0.114297,0.145189,-0.204677,0.067439,-0.4166
UID_14_6_2_all-16,-0.427355,-0.161547,0.2371,0.16865,-0.30186,-0.0220595,-0.0738444,0.157569,-0.00834347,0.0458165,-0.185432
UID_14_6_3_all-19,-0.492902,-0.145825,-0.020952,0.284757,0.0579367,0.380861,-0.570033,0.69541,-0.311519,0.365475,-0.356229
UID_14_6_4_all-5,-0.283572,-0.625691,-0.197836,0.241229,0.179549,0.015188,0.192718,-0.428989,-0.023666,-0.374696,-0.180484
