Contour,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,Mode 7,Mode 8,Mode 9
UID_13_31_4_all-17,147.34,22.1317,-26.9958,-9.09991,18.0213,6.85447,18.4586,5.74201,4.03156
UID_13_32_1_all-11,125.936,-6.43614,-6.88217,-15.9434,7.41051,-16.866,14.4872,-17.7869,-15.656
UID_13_32_2_all-20,154.454,-22.5674,2.34046,-33.6331,-14.5395,-0.497403,6.10438,-4.10109,-1.89344
UID_13_32_3_all-29,266.602,64.7932,2.27774,-56.5765,-16.4161,12.1245,-19.1815,-16.0621,-6.00517
UID_13_33_1_all-9,197.051,-4.59358,-1.32815,-44.032,-11.9357,11.8431,1.55987,-1.20232,2.52753
UID_13_33_2_all-8,180.112,58.0459,13.251,-16.4288,-9.39208,15.9032,-22.6222,-7.45215,11.1419
UID_13_33_3_all-11,-850.287,187.096,8.70831,-113.13,65.9937,12.3203,-6.56754,-29.871,56.3182
UID_13_33_4_all-5,114.275,36.5441,5.6853,40.4469,-6.97485,7.36293,-4.28839,6.25499,30.2187
UID_13_34_1_all-21,111.48,-14.0755,-30.899,-11.0097,30.3768,-6.05206,14.2362,-4.33121,-4.3738
UID_13_34_2_all-9,131.563,-55.1064,13.86,-42.8039,-38.1285,11.3553,-10.2096,-5.00652,4.07252
UID_13_34_3_all-13,195.913,35.8872,-18.7472,-22.7151,14.1518,7.76607,0.357454,4.89835,2.76275
UID_13_35_1_all-7,180.694,5.74583,-10.3335,-30.8475,-0.378295,-5.71768,15.0271,-3.74824,0.76935
UID_13_35_2_all-5,77.2537,-124.645,17.7812,-24.0548,-9.34851,0.376949,0.545826,-10.2499,3.73075
UID_13_35_3_all-9,125.493,-69.9673,10.8815,-25.4632,-3.34559,0.290131,1.74401,-9.10913,2.97793
UID_13_36_1_all-4,56.6401,1.27711,-12.1469,5.2433,-22.47,-45.2359,21.0188,-10.6145,-31.2204
UID_13_36_2_all-9,157.343,8.12057,-3.84003,-27.7806,2.29014,21.7991,-20.7613,1.88256,7.00131
UID_13_37_1_all-3,259.13,57.5548,-9.78047,-58.6123,-5.89863,12.0395,-0.968541,-6.59046,-1.36376
UID_13_37_2_all-10,220.301,80.7908,-17.4188,-39.4881,-7.86036,1.73433,-11.2095,-10.56,-14.5149
UID_13_38_1_all-15,229.875,113.887,-37.1899,12.5222,30.4892,17.9193,7.06802,40.2335,10.9657
UID_13_38_2_all-3,187.451,-18.1615,7.73735,-53.5921,-26.3539,14.6874,-2.62631,-1.94157,5.79135
UID_13_38_3_all-14,160.001,92.3668,70.0712,20.7966,-71.7088,-62.8911,-15.6139,-48.4301,-12.4062
UID_13_39_1_all-13,63.9191,-94.3459,-2.29199,-3.88628,5.1517,-6.20131,1.54483,-2.74592,-6.8336
UID_13_39_2_all-19,155.415,-14.8697,-8.77107,-17.9261,10.1476,17.6769,-1.36145,0.122758,1.60602
UID_13_39_3_all-11,115.844,-22.1754,-34.9786,3.57795,36.398,7.05935,10.8224,-12.5585,-4.68444
UID_13_3_1_all-2,190.612,62.5511,-21.7579,-29.2735,21.2451,10.1667,-1.88995,-3.46105,9.87462
UID_13_4_1_all-6,-439.175,282.961,310.79,113.186,36.7611,-45.1458,152.095,-29.7806,-103.303
UID_13_4_2_all-12,-619.45,158.606,374.62,46.9631,-245.392,96.9139,57.5093,31.1383,40.176
UID_13_4_3_all-25,174.525,136.078,-4.62066,28.6727,36.8103,41.3635,4.37992,-47.5962,-22.8767
UID_13_6_1_all-17,138.951,-59.5087,9.13175,-32.0035,-13.2477,8.53173,-5.04682,-2.70681,3.80882
UID_13_7_1_all-2,-820.32,308.177,73.7778,-122.15,134.929,-1.75481,44.7364,-12.9359,18.2321
UID_13_7_2_all,-814.647,224.172,73.6862,-96.0056,44.2985,-38.2497,0.767245,-27.1998,40.0854
UID_13_8_1_all-18,-835.386,271.615,-87.0215,-139.227,-43.3682,-72.1434,-127.649,-95.9088,54.1225
UID_13_8_2_all-5,191.507,24.0023,-1.80567,-28.7602,14.1602,14.1018,-4.93634,0.979749,12.3004
UID_13_8_3_all-3,-827.611,307.094,95.0315,-164.73,97.1272,-41.5672,-51.2307,-46.4728,-38.4315
UID_13_9_1_all-8,-788.506,203.54,64.0593,-115.282,158.817,-42.1202,-1.75029,-2.51903,28.3647
UID_13_9_2_all-9,255.498,63.4481,-10.6355,-46.1781,-1.58285,10.1997,-9.66285,-2.06518,-5.59622
UID_13_9_3_all-2,168.03,23.3072,-16.5714,-41.7412,-17.7006,-16.2027,10.9585,-12.4278,-17.9933
UID_18_10_1_all-4,2.53927,-144.668,2.40366,13.7699,17.6626,-5.94815,1.88514,-5.18464,1.21071
UID_18_10_2_all-16,-148.604,502.854,58.2443,338.262,-8.1396,-109.684,-77.602,-156.334,-28.2157
UID_18_13_1_all-5,129.785,-65.1575,4.62823,-32.3599,-6.8121,1.79733,3.82682,-10.5438,-1.0409
UID_18_14_1_all-9,237.366,63.931,-10.6239,-42.2866,-6.01739,12.6862,-11.5938,11.0942,-7.57034
UID_18_17_1_all,-681.295,236.542,10.4319,-56.9122,170.064,-54.8182,40.8544,-17.7558,53.1614
UID_18_17_2_all-2,213.046,10.8446,-2.49519,-47.8282,-7.36504,9.77249,0.719652,-2.26646,3.25451
UID_18_18_1_all-3,-588.148,-9.79703,1.08195,75.946,219.636,-87.6277,40.7042,-12.0032,34.0267
UID_18_18_2_all-4,116.636,-51.6047,-7.94649,-35.5065,-6.65309,-3.32438,-6.55362,-12.0809,-10.7601
UID_18_19_1_all-8,49.8693,-99.5896,-4.00619,-35.1798,-25.6457,17.6489,-10.5335,5.83696,5.1026
UID_18_19_2_all-8,106.241,65.4966,33.2883,48.9109,-26.517,24.9157,-60.5048,8.84047,27.056
UID_18_19_3_all-16,204.52,103.982,-40.0525,-27.3541,50.2342,-3.37986,-10.4715,-11.4767,-13.8569
UID_18_19_4_all-10,70.3495,342.187,50.1971,202.471,36.9286,21.4614,-70.1059,54.2569,45.7613
UID_18_19_5_all-13,78.0905,243.222,9.85956,171.595,33.9148,103.33,-93.6726,64.0114,6.27391
UID_18_1_1_all-8,-801.581,207.41,-54.0887,-107.034,-8.50192,-8.29958,-18.9931,-58.4575,10.5344
UID_18_20_1_all-8,209.806,284.062,-128.706,102.299,67.5392,-40.8734,78.7575,31.0649,-17.9924
UID_18_20_2_all-17,190.949,-14.4975,3.13177,-57.9416,-26.545,17.3101,-6.35731,-0.908578,4.18333
UID_18_20_3_all-18,-520.972,111.018,360.526,-92.7626,12.0915,45.9256,-68.0685,-3.20847,-35.2811
UID_18_20_4_all-12,123.924,-9.39419,-26.3122,-2.28034,11.5099,-1.28211,8.96656,8.13919,-5.4896
UID_18_20_5_all-18,-686.297,142.362,313.949,132.639,65.1341,148.696,82.9593,-32.1181,-66.7443
UID_18_21_1_all-8,-811.21,180.495,-24.6282,-90.8937,81.6279,45.7089,17.0601,-35.6232,-13.8396
UID_18_22_1_all-5,214.951,7.1211,2.67119,-51.1536,-13.2382,8.13562,2.44676,-10.5433,1.12648
UID_18_22_2_all-9,-693.231,97.0612,-140.238,-34.8867,67.2306,-47.8399,5.93436,-11.9846,-13.4454
UID_18_23_1_all-5,-885.04,192.773,86.9385,-175.747,-13.9826,51.2975,14.777,15.5959,17.0542
UID_18_23_2_all-6,222.816,18.2702,1.46005,-50.6402,-10.0732,6.06488,0.996116,-5.85832,1.8831
UID_18_24_1_all-4,105.594,-52.5021,-5.12501,-8.15099,19.2907,-5.91552,10.7949,-7.18992,2.28301
UID_18_24_2_all-4,100.297,-88.9831,8.4571,-27.2292,-5.44464,0.83477,-3.64266,-14.2679,-0.182873
UID_18_24_3_all-14,41.3778,291.362,109.199,295.951,88.1236,-15.9861,164.179,-250.754,30.6514
UID_18_25_1_all-5,161.039,0.832488,-2.66967,-25.9497,-0.797954,2.33793,16.6138,-0.971579,5.161
UID_18_26_1_all-5,-871.691,198.265,89.3384,-167.444,40.4402,-0.109399,27.0802,-6.02814,37.0757
UID_18_26_2_all-2,149.32,-24.0062,2.26538,-30.0771,-4.54479,10.3451,-8.63195,0.032505,4.11372
UID_18_28_1_all-7,-738.311,220.563,-113.945,-23.6274,139.424,-33.948,-7.54602,-98.2946,109.997
UID_18_29_1_all-25,116.606,-29.1533,-16.8404,-25.5984,2.52242,0.0861179,3.2366,-3.17316,-7.26382
UID_18_29_2_all-5,180.989,58.0169,-22.8005,3.47127,6.9952,-2.43874,6.55397,32.6951,-2.48338
UID_18_30_1_all-7,195.566,11.4574,-9.04827,-62.7345,-35.9939,20.0307,-10.5786,8.36821,4.25774
UID_18_30_2_all-4,130.088,-51.5769,18.6733,-25.2556,-22.6804,-15.1162,24.2836,-3.5028,9.68445
UID_18_31_1_all-2,137.178,10.4355,-20.3545,-11.2974,29.1486,-8.88797,13.1678,0.996822,-0.457795
UID_18_31_2_all-3,168.14,-22.8848,2.30495,-29.4057,-2.65915,-0.0954694,1.90568,-8.3276,-2.94465
UID_18_32_1_all-24,225.347,59.3008,-15.514,-22.1759,-18.8984,4.01646,5.87562,25.4324,-8.413
UID_18_32_2_all-19,156.567,23.4542,40.5085,-15.162,-26.2947,1.28472,-10.6069,-79.7061,-25.9866
UID_18_32_3_all-10,128.591,-37.0407,-0.168862,-36.2501,-3.59842,4.79511,13.7332,6.20565,13.1756
UID_18_32_4_all-12,118.754,-61.5635,3.32683,-29.0194,-12.8555,-9.70092,11.2062,-15.3006,-4.77941
UID_18_32_5_all-14,-696.654,42.4049,-226.067,44.182,-28.6208,149.259,94.601,-51.7909,22.0846
UID_18_33_1_all-9,-583.018,-23.7455,-375.793,105.767,-122.511,85.4118,-7.44055,54.7421,-102.196
UID_18_33_2_all-18,15.3132,216.403,40.2601,178.363,-1.34994,80.7326,-38.9243,38.5042,25.2409
UID_18_33_3_all-16,132.419,-39.3029,1.77407,-24.7594,-1.18438,5.1033,-8.4148,-6.71176,1.75612
UID_18_33_4_all-10,158.442,-26.5796,-3.99815,-33.9047,-9.59968,4.35549,-3.46409,-0.85114,-1.16812
UID_18_34_1_all-18,196.397,64.1132,-16.0105,-42.1015,-13.4323,7.48624,12.3796,-1.67649,-6.7411
UID_18_34_2_all-7,-578.006,-7.76333,-397.281,113.414,-55.1188,54.85,20.0445,3.99318,-67.8489
UID_18_35_1_all-4,113.675,-85.2871,10.6197,-33.0922,-14.325,1.79943,6.02679,-6.04574,5.85695
UID_18_35_2_all-5,128.255,-63.0926,5.16406,-45.9977,-30.7227,12.9418,-10.9186,-3.77102,-0.116187
UID_18_35_3_all-4,96.4953,-83.0224,-1.14552,-21.6374,-1.56129,-0.740273,9.78706,-9.17978,3.29048
UID_18_35_4_all-17,147.014,-38.6053,-5.02434,-36.6503,-12.7322,6.87991,2.99693,-4.96964,-4.06474
UID_18_35_5_all-13,125.216,-73.1529,5.3606,-28.4293,-4.1052,13.0174,-4.58034,-6.68891,-0.325597
UID_18_35_6_all-16,146.583,-12.4403,-22.5164,-19.3391,19.1204,-3.99319,12.5615,-12.1332,-2.97654
UID_18_36_1_all-3,62.7656,-127.507,8.91356,-24.8085,-13.5838,8.785,10.5633,1.95833,13.5464
UID_18_36_2_all-10,135.135,-54.5312,4.56381,-26.7735,-5.12068,10.2384,1.06171,-1.45679,5.78076
UID_18_36_3_all-10,105.918,-34.809,-20.0647,-13.0758,11.4384,-5.67814,11.5123,-15.2223,-14.0293
UID_18_37_1_all-3,-90.23,10.5474,136.367,113.433,-144.182,-44.7511,-43.1459,-63.4077,-18.4282
UID_18_37_2_all-4,99.4683,-72.2455,1.00731,-18.386,-2.50376,5.84565,3.48111,-6.72062,1.76495
UID_18_37_3_all-4,100.634,-80.643,-3.28926,-21.107,4.34307,3.43426,2.62466,0.0638946,3.06003
UID_18_38_1_all-9,176.222,-3.44386,-6.3409,-38.1366,-4.71698,-1.62396,10.6192,-7.0487,-0.836704
UID_18_38_2_all-2,59.8841,-98.1203,10.186,-27.4398,-33.9549,-19.2265,9.82465,9.08522,-3.87358
UID_18_38_3_all-4,98.828,-78.7476,-2.42409,-19.0019,4.99571,7.41866,2.5978,-4.04413,4.33031
UID_18_38_4_all-5,95.1332,-77.2927,-0.627897,-17.2699,0.606237,2.58628,3.58991,-5.28836,1.58422
UID_18_4_1_all-8,-758.942,190.893,-120.965,-99.8981,-50.0277,27.2403,31.6981,-10.835,-36.3493
UID_18_4_2_all-9,-549.071,-114.797,44.496,121.785,234.682,-98.5416,14.4123,-11.199,10.6905
UID_18_5_1_all-10,-536.172,-68.2767,-251.362,-38.9922,-83.1729,-57.873,-90.3482,129.656,-100.228
UID_18_5_2_all-13,232.042,34.5491,-8.20197,-50.1524,-9.67348,1.89597,4.73021,-6.9154,-7.6205
UID_18_5_3_all-15,-767.611,-20.9907,-349.262,129.027,-91.1135,-80.9732,-102.353,-61.2669,105.649
UID_18_6_1_all-18,-710.759,152.995,-175.178,-54.7852,-0.622294,-15.4234,95.5944,31.9724,20.3753
UID_18_8_1_all-27,132.639,-44.6131,-9.28883,-16.2777,2.97316,-6.29795,6.3143,-1.45142,-3.0572
UID_18_8_2_all-15,169.846,78.7463,19.3639,-31.5321,-33.0295,5.42715,-51.6215,-49.9302,-18.1981
UID_18_8_3_all-23,168.535,-32.7558,5.91949,-42.1823,-19.4195,9.27203,3.28752,-0.936034,6.27796
UID_18_9_1_all-10,-22.1834,376.707,78.6721,333.794,-59.8974,-90.5086,-39.0001,-24.7302,58.8886
UID_21_10_1_all-15,245.999,73.4104,-8.2131,-62.8449,-14.3719,9.43692,2.14173,-8.67994,7.04228
UID_21_10_2_all-10,204.851,19.5943,-6.50359,-30.3677,4.16137,19.7357,-7.23297,4.41435,-0.232828
UID_21_10_3_all-4,76.3782,-95.0743,-3.95112,-12.0067,0.741989,1.68632,14.7329,3.26431,2.36128
UID_21_10_4_all-16,212.262,42.884,-6.54417,-21.4745,21.2573,-1.71419,7.03391,23.5242,6.57466
UID_21_10_5_all-10,109.53,-86.8408,7.28216,-28.1872,-7.95388,0.528045,9.55308,-7.09836,6.6053
UID_21_10_6_all-7,-716.843,72.7184,-184.649,-77.8367,-162.339,-121.724,-18.7618,-16.1513,-21.253
UID_21_11_1_all-16,-667.158,41.7887,-226.239,-82.7836,-83.6852,-116.904,-88.1023,53.1636,-40.2311
UID_21_11_2_all-13,109.558,-44.127,5.54149,-18.7655,-35.1329,-0.536139,-7.82572,31.5475,4.03358
UID_21_12_1_all-12,-727.827,150.824,-131.76,-49.5999,-13.8601,-1.89735,-67.416,-18.3963,-35.2336
UID_21_12_2_all-11,-714.722,39.1851,-243.098,-25.4834,-72.8953,-48.4171,-12.6189,73.575,-48.0249
UID_21_13_1_all-18,160.59,87.5497,-21.5049,-55.6822,-61.8219,-6.91862,-24.3857,-37.275,-44.6176
UID_21_13_2_all-17,155.369,-13.4325,2.09046,-18.8909,-1.41175,15.9412,-3.63768,16.3424,4.18277
UID_21_13_3_all-9,82.1089,-66.5431,2.09635,1.3725,7.74207,6.08977,-6.54185,10.5284,3.97814
UID_21_13_4_all-12,-578.491,-177.19,-422.736,176.868,-139.611,23.392,169.135,-45.575,-83.1994
UID_21_13_5_all-26,169.091,3.59037,-16.3132,-27.4868,-4.06694,-15.8757,0.780121,-5.61609,-22.8422
UID_21_14_1_all-15,39.5323,-146.38,6.10808,-25.3229,-14.9096,-2.8192,-6.9999,6.15567,-3.9477
UID_21_14_2_all-14,158.545,-9.78655,5.14324,-16.3596,-7.64705,-3.1866,10.0921,-0.111609,6.73869
UID_21_14_3_all-16,-3.74294,-168.458,8.97126,-0.614793,1.72479,-6.70626,3.57905,-12.993,-0.824362
UID_21_14_4_all-13,102.02,-78.079,0.238019,-21.9553,3.6907,-2.38974,2.44754,-19.7209,-5.32503
UID_21_14_5_all-12,61.5632,-85.6493,-9.62003,5.60194,19.4486,-10.5087,11.0597,-3.38635,-2.61838
UID_21_15_1_all-14,123.463,-59.9975,-2.81763,-36.1284,-23.0922,14.5917,3.5431,11.3761,6.96657
UID_21_15_2_all-11,82.6286,-67.7412,-10.28,-12.6734,12.6134,-6.43332,13.4675,-7.21466,-4.0678
UID_21_16_1_all-20,-13.732,235.318,144.093,79.609,-351.968,-89.6444,153.933,159.074,-24.5866
UID_21_16_2_all-15,10.1334,363.259,4.98679,334.606,23.8014,32.1235,48.3448,78.519,-1.03099
UID_21_16_3_all-15,151.891,-25.1355,5.09254,-18.5365,-1.22091,-9.33593,7.69607,0.519098,-3.40693
UID_21_18_1_all-15,195.53,-1.87748,-8.26423,-50.3822,-15.5476,-2.55821,8.74737,-3.09037,-5.17182
UID_21_18_2_all-6,-846.85,77.0889,22.119,-121.342,14.7768,26.3026,-34.7979,-67.1724,30.2977
UID_21_19_1_all-13,-627.951,45.2939,-196.615,8.95287,104.159,-28.3215,-83.8524,-76.6117,15.1804
UID_21_1_1_all-15,-796.276,125.003,-190.411,-60.6169,44.145,-84.7643,-64.9096,-14.6767,-50.4615
UID_21_1_2_all-10,-706.16,149.995,-273.982,21.2562,139.701,256.757,133.78,-10.1386,-117.036
UID_21_1_3_all-8,-830.869,161.026,18.8693,-118.237,72.1255,-12.6241,-44.4643,-43.8128,6.63953
UID_21_20_1_all-27,168.125,-40.3521,1.72683,-51.0275,-25.1705,12.3928,5.70977,-4.66888,2.57473
UID_21_20_2_all-11,48.1661,-112.756,-3.29874,-5.63439,11.4748,-4.62505,10.6817,-8.75008,-1.1439
UID_21_21_1_all-24,49.0217,-95.6734,-9.76824,-4.26131,16.9737,-0.600375,11.6237,-6.50462,4.62116
UID_21_22_1_all-13,155.322,70.1248,26.232,-31.4464,-19.0523,22.8653,-40.2969,7.24732,19.3859
UID_21_22_2_all-9,72.3824,-64.0084,-2.30168,16.9488,39.2577,-14.2912,3.29508,20.7275,0.696985
UID_21_22_3_all-25,187.866,-2.99523,-8.7211,-49.3596,-16.3211,9.68978,-16.3377,-21.0211,-11.33
UID_21_22_4_all-13,121.472,-3.36649,-1.3016,-7.60854,3.80299,-4.78798,-5.00934,-5.52205,6.5486
UID_21_24_1_all-17,-73.0786,134.077,194.866,-17.9093,-137.306,-32.4011,-38.3342,0.381305,73.1487
UID_21_25_1_all-3,61.1182,-94.3903,-1.25196,-8.6198,-2.68359,-9.79666,13.024,1.56095,-5.31442
UID_21_28_1_all-24,132.061,217.832,-27.1751,113.755,-17.4514,75.2462,15.9406,-80.6956,-112.653
UID_21_29_1_all-15,-564.217,-24.6524,-232.067,30.0835,265.185,73.2037,-61.875,40.2321,-38.2559
UID_21_2_1_all-3,-871.634,208.448,98.7017,-203.543,-14.3231,26.5641,-15.5662,-7.54766,-8.18493
UID_21_30_1_all,-847.121,200.573,-35.9624,-132.719,47.9233,-51.6235,-24.7457,3.15475,88.3154
UID_21_32_1_all-19,218.355,75.5552,-5.35117,-51.1165,-41.4619,-25.2029,15.5286,1.52035,-19.9682
UID_21_32_2_all-4,45.49,-97.2318,-8.38422,-14.9018,-7.79368,-8.36172,3.65488,-7.87578,-11.8582
UID_21_32_3_all-10,173.778,-29.5603,11.504,-36.4467,-8.97212,-1.17384,1.05199,-12.8532,1.1134
UID_21_33_1_all-17,246.601,106.281,-25.0932,-30.6672,-0.494969,0.861368,5.90653,20.4445,1.58005
UID_21_34_1_all-5,-853.945,208.61,78.113,-93.8802,-14.4147,27.0591,41.598,-47.3558,27.5569
UID_21_34_2_all-6,-876.618,200.205,84.06,-191.974,37.3524,4.70211,2.77436,-19.9168,15.1755
UID_21_35_1_all-5,180.06,11.0907,8.11615,-33.8643,-10.164,-11.5631,11.2341,-14.5123,-0.401992
UID_21_35_2_all-2,80.2585,-105.883,7.37792,-22.2318,1.49475,0.101674,2.94511,-0.448987,6.5151
UID_21_37_1_all-12,91.2064,-67.6198,-1.47854,-17.2466,-0.0333025,10.3666,-4.95278,0.590039,3.86542
UID_21_37_2_all-12,121.537,-67.8177,5.85774,-28.6174,-7.2467,2.85078,-0.0391504,-3.15485,1.6032
UID_21_37_3_all-13,132.058,-18.7001,-40.1106,11.2619,4.47439,-8.86035,21.5285,3.14442,6.77424
UID_21_37_4_all-16,176.707,8.22154,-11.5084,-19.3541,5.53902,4.25096,9.17994,7.89302,3.99617
UID_21_37_5_all-21,-675.99,85.0968,-244.185,15.937,52.1067,-42.4745,102.002,-95.261,67.8583
UID_21_37_6_all-8,95.8847,-83.0136,4.21264,-24.1853,-1.36213,1.13804,-1.81021,-8.52533,-0.952692
UID_21_38_1_all-13,116.605,-73.1755,8.14792,-29.0735,-9.29748,10.2153,-8.8831,-6.92988,5.36338
UID_21_38_2_all-19,123.515,-46.9702,-5.24636,-23.6329,6.96004,3.56085,3.35657,-13.2658,0.413412
UID_21_38_3_all-8,65.7776,-95.1459,-7.38341,-16.2595,2.45263,-9.82374,10.7199,-15.4921,-8.99067
UID_21_38_4_all-12,128.947,-8.02839,-3.58282,-11.5965,4.43485,-13.3421,13.3952,-8.77591,-0.288478
UID_21_38_5_all-13,88.4901,-85.7845,0.00708156,-18.4784,-0.306012,9.91015,5.84955,-0.914453,4.86939
UID_21_3_1_all-2,130.598,-35.2869,-2.54909,-14.7995,13.8827,0.671905,3.44325,-4.23694,3.83741
UID_21_3_2_all-2,184.663,-4.2364,4.58011,-37.3278,-3.70621,7.21028,2.29471,-12.5366,-0.346146
