Contour,Area,allModel (normalized mode 1),allModel (normalized mode 2)
UID_14_16_5_all-15,35343.9,-0.50783,-0.212598
UID_14_16_6_all-4,48332.2,-0.874332,1.30857
UID_14_17_1_all-2,39065.5,-0.715145,-0.0591494
UID_14_17_2_all-3,43950.9,-0.851682,0.516236
UID_14_17_3_all-2,33414.1,-0.453776,-0.481264
UID_14_17_4_all-4,41519.6,-0.7856,0.20598
UID_14_17_5_all,4180.46,3.15907,1.35546
UID_14_18_1_all-2,5400.2,3.40391,0.430778
UID_14_18_2_all-17,36089.5,-0.483,-0.0813243
UID_14_18_3_all-14,32357,-0.370562,-0.427053
UID_14_18_4_all-14,34102.8,-0.475356,-0.37051
UID_14_18_5_all-13,34350.1,-0.505189,-0.388006
UID_14_19_1_all-17,38484.3,-0.630098,0.0584794
UID_14_19_2_all-6,37460,-0.62956,-0.114129
UID_14_19_3_all-27,43345.3,-0.775434,0.501756
UID_14_19_4_all-20,38614.4,-0.648974,0.0527854
UID_14_2_1_all-21,42551.6,-0.780681,0.450911
UID_14_2_2_all-16,38455.5,-0.526323,0.473105
UID_14_2_3_all-10,31903.2,-0.292457,-0.198732
UID_14_2_4_all-13,34188.9,-0.463916,-0.373472
UID_14_2_5_all-8,33263,-0.400867,-0.312392
UID_14_20_1_all-3,30496.7,-0.333671,-0.759123
UID_14_20_2_all-4,39163.4,-0.68991,-0.0318452
UID_14_21_1_all-12,41287.7,-0.779944,0.153222
UID_14_21_2_all-19,41033.1,-0.770422,0.148953
UID_14_22_1_all-9,33122.9,-0.388559,-0.298564
UID_14_22_2_all-25,43020.8,-0.836541,0.33681
UID_14_23_1_all-3,35952.9,-0.52668,-0.103834
UID_14_23_2_all-10,41562.5,-0.814695,0.118475
UID_14_24_1_all-9,38998.7,-0.693324,-0.025589
UID_14_24_2_all-2,34105.3,-0.493766,-0.416942
UID_14_25_1_all-19,33768.1,-0.480538,-0.45831
UID_14_26_1_all-2,45466.5,-0.924952,0.53232
UID_14_26_2_all-2,39189.2,-0.728797,-0.0949664
UID_14_28_1_all-11,34222.3,-0.516396,-0.494916
UID_14_28_2_all-17,40064.6,-0.677591,0.165576
UID_14_28_3_all-24,33340,-0.457333,-0.485857
UID_14_28_4_all-19,36079.5,-0.57516,-0.25638
UID_14_29_1_all-19,37712.6,-0.620667,-0.0493244
UID_14_29_2_all-27,35957.7,-0.555142,-0.189629
UID_14_3_1_all-4,36116,-0.452602,0.345717
UID_14_30_1_all-21,36297.3,-0.537152,-0.0825188
UID_14_30_2_all-19,37388.6,-0.467373,0.334027
UID_14_30_3_all-15,41687.6,-0.777102,0.277634
UID_14_31_1_all-12,35645.2,-0.507479,-0.115075
UID_14_31_2_all-15,38245.8,-0.492705,0.341613
UID_14_31_3_all-2,46192.4,-0.944199,0.583347
UID_14_32_1_all-20,38142.6,-0.626249,0.0102544
UID_14_32_2_all-14,43802.1,-0.860778,0.407905
UID_14_33_1_all-22,43532.1,-0.523055,1.3058
UID_14_34_1_all-9,36810.4,-0.55274,0.0178724
UID_14_34_2_all-16,38146.7,-0.548459,0.16708
UID_14_37_1_all-14,43782.7,-0.862597,0.364016
UID_14_37_2_all-15,36467.7,-0.505922,-0.0101766
UID_14_37_3_all-31,44141.1,-0.816249,0.643707
UID_14_37_4_all-16,33405.5,-0.444244,-0.428217
UID_14_38_1_all-15,31955.9,-0.345341,-0.385798
UID_14_4_1_all-2,25422.1,0.0333473,-0.852495
UID_14_5_1_all-3,35361.4,-0.559441,-0.371275
UID_14_5_2_all-7,34952.6,-0.51166,-0.310999
UID_14_5_3_all-3,34863.4,-0.489629,-0.222218
UID_14_6_1_all-32,38647.2,-0.660451,0.0539304
UID_14_6_2_all-16,34209.8,-0.427355,-0.161547
UID_14_6_3_all-19,35427.6,-0.492903,-0.145825
UID_14_6_4_all-5,30268.7,-0.283572,-0.625691
UID_14_6_5_all-17,40421.7,-0.679158,0.296671
UID_14_7_1_all-19,41822.6,-0.742807,0.380577
UID_14_7_2_all-17,40286.9,-0.765124,-0.012267
UID_14_7_3_all-21,40344.2,-0.306681,0.975117
UID_14_8_1_all-19,42832.5,-0.842033,0.280479
UID_14_8_2_all-30,40819.6,-0.702675,0.234882
UID_14_9_1_all-8,34430.8,-0.524434,-0.463596
UID_14_9_2_all-20,37174.5,-0.566568,-0.0173673
UID_14_9_3_all-16,37271.9,-0.615285,-0.150556
UID_15_1_1_all-12,44185.4,-0.595362,1.56965
UID_15_1_2_all-15,48468.1,-0.193564,2.05645
UID_15_11_1_all-16,41529.6,-0.728879,0.409041
UID_15_12_1_all-2,41501.9,-0.828725,0.0507196
UID_15_13_1_all-11,38324.9,-0.650893,-0.0126375
UID_15_14_1_all-25,36364.7,-0.544062,-0.0632063
UID_15_15_1_all-4,37165,-0.479165,0.0593386
UID_15_15_2_all-9,36972.6,-0.633674,-0.256492
UID_15_16_1_all-11,35082.7,-0.553534,-0.413753
UID_15_16_2_all-16,41125,-0.741119,0.25786
UID_15_16_3_all-10,31708.4,-0.367299,-0.571879
UID_15_16_4_all-7,37998.6,-0.667249,-0.147715
UID_15_17_1_all-2,44424.9,-0.891124,0.469064
UID_15_17_2_all-2,38072.1,-0.621243,0.0611495
UID_15_18_1_all-21,16842.5,0.82202,-1.31133
UID_15_18_2_all-10,17527.1,2.84137,1.19975
UID_15_18_3_all-6,39714.8,-0.708289,0.0646274
UID_15_19_1_all-22,43710.4,-0.817041,0.529093
UID_15_19_2_all-3,41615.3,-0.609259,0.512636
UID_15_19_3_all-13,13805.7,2.62488,0.53955
UID_15_20_1_all-8,38064.5,-0.59622,0.0657255
UID_15_20_2_all-13,39660.2,-0.719722,-0.0262441
UID_15_21_1_all-17,41192.7,-0.717656,0.365568
UID_15_21_2_all-29,42293.3,-0.236397,1.89899
UID_15_21_3_all-10,29248.5,-0.234327,-0.721847
UID_15_22_1_all-3,29799.4,-0.285603,-0.730773
UID_15_22_2_all-14,38118.2,-0.653393,-0.0670466
UID_15_22_3_all-4,31447.4,-0.351194,-0.548705
UID_15_23_1_all-3,41143.8,-0.815146,0.0218331
UID_15_24_1_all-2,32830.4,-0.349529,-0.218781
UID_15_24_2_all-4,31355.8,-0.385306,-0.70096
UID_15_25_1_all-3,31872.3,-0.36236,-0.457215
UID_15_25_2_all-8,39265.1,-0.652605,0.122751
UID_15_25_3_all-7,34496.5,-0.493909,-0.357632
UID_15_26_1_all-2,32296,-0.422021,-0.621945
UID_15_26_2_all-8,36395.7,-0.592049,-0.270004
UID_15_26_3_all-14,42134.5,-0.748781,0.460003
UID_15_27_1_all-11,39288.4,-0.649141,0.217134
UID_15_27_2_all-25,31939.9,-0.291763,-0.272608
UID_15_27_3_all-17,37255.1,-0.567805,0.0582544
UID_15_28_1_all-10,33933.2,-0.372406,-0.16432
UID_15_28_2_all-7,40169.4,-0.708779,0.128105
UID_15_28_3_all-6,41601.3,-0.778673,0.190596
UID_15_29_1_all-3,33713.7,-0.451586,-0.361765
UID_15_29_2_all-9,38769,-0.66581,0.037412
UID_15_3_1_all-3,44204.1,-0.543343,1.59976
UID_15_3_2_all-3,49414.8,-0.801782,1.69362
UID_15_30_1_all-5,39483.2,-0.618399,0.382827
UID_15_30_2_all-12,42790.6,-0.818767,0.298839
UID_15_30_3_all-12,43752.6,-0.868986,0.389279
UID_15_4_1_all,29523.1,1.70387,0.956198
UID_15_6_1_all-4,35059.8,-0.417767,-0.00566078
UID_15_6_2_all-5,41687.9,-0.465083,1.1356
UID_15_7_1_all-12,36567.5,-0.535972,-0.037147
UID_15_7_2_all-2,33377.2,-0.368879,-0.224444
UID_15_8_1_all-10,39415,-0.681795,0.0712602
UID_15_8_2_all-16,25054.3,1.84177,-0.439528
UID_15_8_3_all-14,40420.1,-0.683091,0.491285
UID_17_1_1_all-16,38239.3,-0.661809,-0.0724097
UID_17_1_2_all-11,30033.6,-0.275716,-0.5989
UID_17_10_1_all-10,36974,-0.602709,-0.158827
UID_17_10_2_all-7,31771.1,-0.403875,-0.648555
UID_17_11_1_all-10,34390.2,-0.504963,-0.385959
UID_17_11_2_all-13,38543.3,-0.631454,0.133944
UID_17_11_3_all-15,43459.2,-0.739003,0.631912
UID_17_12_1_all-17,43873.3,-0.759424,0.650751
UID_17_12_2_all-6,34207,-0.519275,-0.493119
UID_17_12_3_all-24,41343.3,-0.708104,0.419956
UID_17_13_1_all-9,14570.6,2.64279,-1.09699
UID_17_13_2_all-14,35619.3,-0.522989,-0.188361
UID_17_13_3_all-17,37302.4,-0.602196,-0.0884349
UID_17_14_1_all-27,44900.9,-0.868796,0.619527
UID_17_14_2_all-26,40178.2,-0.561716,0.386963
UID_17_14_3_all-18,35902.6,-0.527427,-0.162112
UID_17_14_4_all-15,33650,-0.442165,-0.387299
UID_17_14_5_all-11,12283.5,2.82135,1.31147
UID_17_15_1_all-3,2763.36,3.09218,2.1439
UID_17_16_1_all-15,33098.9,-0.383801,-0.325656
UID_17_16_2_all-7,39641.6,-0.698645,0.00565696
UID_17_17_1_all-2,39221.2,-0.700617,0.0362017
UID_17_18_1_all-2,6005.77,3.25551,1.66075
UID_17_18_2_all-3,4203.49,3.22306,1.62985
UID_17_19_1_all-26,48335.9,-0.930407,1.01936
UID_17_20_1_all-2,32629.7,-0.448337,-0.610905
UID_17_20_2_all-10,42066.8,-0.750486,0.413906
UID_17_21_1_all-5,39118,-0.638738,0.160376
UID_17_22_1_all-6,5162.06,3.38797,1.84653
UID_17_22_2_all-13,43596.1,-0.751406,0.5968
UID_17_22_3_all-8,43162,-0.862934,0.280189
UID_17_23_1_all-4,42086.2,-0.836544,0.14918
UID_17_24_1_all-5,44721.8,0.804175,3.35441
UID_17_24_2_all-13,40093.7,-0.747413,-0.0196152
UID_17_24_3_all-11,5377.07,3.5735,1.39752
UID_17_25_1_all-11,47419.2,-0.840708,1.19786
UID_17_25_2_all-13,14013.7,2.13014,-0.0457076
UID_17_26_1_all-8,8178.12,2.53003,1.58188
UID_17_26_2_all-12,47007,-0.206379,2.46265
UID_17_27_1_all-11,40481.4,0.610655,3.47872
UID_17_28_1_all-19,46191.2,-0.845274,0.747507
UID_17_28_2_all,627.559,2.08747,-5.03311
UID_17_28_3_all-4,28794.9,-0.16768,-0.662814
UID_17_28_4_all-13,37507.6,-0.654183,-0.179983
UID_17_3_1_all-11,32860.4,1.9438,-0.388608
UID_17_3_2_all-26,42044.5,0.692303,2.3187
UID_17_3_3_all-19,43019.1,-0.825211,0.396925
UID_17_30_1_all-13,42541,-0.790495,0.312233
UID_17_30_2_all-13,32796.6,-0.390383,-0.412892
UID_17_30_3_all-27,37190,-0.524857,0.131074
UID_17_31_1_all-2,6525.64,3.23048,1.66391
UID_17_32_1_all,7331.62,3.15789,2.5433
UID_17_33_1_all-3,30932.5,-0.35033,-0.686543
UID_17_33_2_all-3,38352.6,-0.492767,0.340622
UID_17_34_1_all-10,36403.6,-0.560727,-0.130458
UID_17_34_2_all-20,35043.6,-0.48837,-0.213248
UID_17_35_1_all-3,38678,-0.666298,-0.0102269
UID_17_36_1_all-2,40687.3,-0.783697,0.0424315
UID_17_36_2_all-5,7334.64,3.34059,2.76347
UID_17_38_1_all-4,37395,-0.572212,0.0157635
UID_17_4_1_all-5,32262.2,-0.266208,-0.191772
UID_17_4_2_all,37290.6,-0.604502,-0.0981781
UID_17_4_3_all-7,34391.2,-0.484494,-0.278815
UID_17_5_1_all-2,43446.5,-0.814875,0.447758
UID_17_5_2_all-2,32996.9,-0.374642,-0.282289
UID_17_6_1_all-18,42439,-0.678264,0.639682
UID_17_7_1_all-6,34643.2,-0.511648,-0.422821
UID_17_7_2_all-4,31969.8,-0.374166,-0.531037
UID_17_7_3_all-15,36439.4,-0.573941,-0.188443
UID_17_7_4_all-10,34301.9,-0.508496,-0.410958
UID_17_7_5_all-19,37357.6,-0.57206,0.0606205
UID_17_8_1_all-4,6581.36,3.15228,2.39043
UID_17_9_1_all-23,39495,-0.66422,0.120618
UID_19_10_1_all-23,43951.8,-0.723418,0.984459
UID_19_10_2_all-21,43407.7,-0.195018,2.89254
UID_19_13_1_all-16,43659.5,-0.805666,0.586645
UID_19_4_1_all-26,20777.8,2.95216,0.896919
UID_19_5_1_all-6,17078.7,2.87013,2.57489
UID_19_7_1_all-30,49599.8,-0.469199,2.76762
UID_19_7_2_all-15,20080.6,2.77409,0.285576
UID_19_7_3_all-7,47890.4,-0.354499,2.567
UID_19_8_1_all-19,45066.3,-0.44274,1.70121
UID_20_1_1_all-15,17762.4,3.06271,1.18908
UID_20_1_2_all-10,14823.4,2.72673,1.51198
UID_20_1_3_all-8,4212.79,3.23474,1.38436
UID_20_10_1_all-15,47310.7,-0.955098,0.706677
UID_20_10_2_all-10,42009.9,-0.797198,0.287511
UID_20_10_3_all-16,43242.2,-0.821018,0.489347
UID_20_10_4_all-10,32363.3,-0.42629,-0.594346
UID_20_10_5_all-7,9680.75,2.7619,0.676344
UID_20_11_1_all-16,14252.6,2.59535,0.475782
UID_20_11_2_all-13,34111,-0.427616,-0.246067
UID_20_12_1_all-12,10732.1,2.81256,1.37172
UID_20_12_2_all-11,12827.4,2.73898,0.47468
UID_20_13_1_all-12,36925.2,-0.601645,-0.180831
UID_20_13_2_all-18,43330,-0.637451,0.757156
UID_20_13_3_all-17,37746.4,-0.604465,0.0165084
UID_20_13_4_all-12,11972.5,2.20315,-1.12831
UID_20_13_5_all-26,39273.1,-0.669338,0.149238
UID_20_13_6_all-15,32256.1,-0.357015,-0.388628
UID_20_14_1_all-15,26821.7,-0.150546,-1.07694
UID_20_14_2_all-14,38048.8,-0.616161,0.047223
UID_20_14_3_all-16,23940.5,0.0129418,-1.24799
UID_20_14_4_all-13,32301.1,-0.397925,-0.511938
UID_20_14_5_all-12,29794,-0.242538,-0.550801
UID_20_14_6_all-18,25333.8,-0.0762952,-1.20057
UID_20_15_1_all-14,34313.6,-0.487192,-0.386595
UID_20_15_2_all-11,31728.2,-0.323462,-0.415532
UID_20_16_1_all-20,48268.4,0.0889318,1.95135
UID_20_16_2_all-15,47853,-0.0227306,3.34489
UID_20_16_3_all-15,37004,-0.59004,-0.0748862
UID_20_18_1_all-15,40727.7,-0.758864,0.100596
UID_20_18_2_all-6,5138.79,3.30037,0.672276
UID_20_19_1_all-13,8168.73,2.40809,0.621891
UID_20_19_2_all-3,4274.6,2.92735,0.531031
UID_20_20_1_all-27,37556,-0.653811,-0.228807
UID_20_22_1_all-13,41604.2,-0.605263,0.681197
UID_20_22_2_all-9,30855.8,-0.285205,-0.363437
UID_20_22_3_all-25,40208.5,-0.731371,0.0877152
UID_20_22_4_all-13,36237.9,-0.473361,0.110896
UID_20_24_1_all-17,37807.8,0.310553,1.11533
UID_20_28_1_all-24,47199.2,-0.508755,2.02279
UID_20_29_1_all-15,8089.88,2.17155,0.199634
UID_20_3_1_all-2,39862.5,-0.717248,0.081695
UID_20_30_1_all,6936.91,3.31835,1.7536
UID_20_32_1_all-19,46062.5,-0.847668,0.730541
UID_20_32_2_all-13,7276.85,2.56237,0.96779
UID_20_32_3_all-10,38087.8,-0.674612,-0.130849
UID_20_33_1_all-17,48594.6,-0.961785,1.0076
UID_20_34_1_all-5,4778.24,3.34794,1.74403
UID_20_34_2_all-6,3428.51,3.43957,1.62934
UID_20_35_1_all-5,40326.2,-0.697523,0.206613
UID_20_35_2_all-2,30146.1,-0.313635,-0.746438
UID_20_37_1_all-12,32198.9,-0.356486,-0.42499
UID_20_37_2_all-12,33763.2,-0.473217,-0.438475
UID_20_37_3_all-13,36541.2,-0.51872,0.0132972
UID_20_37_4_all-16,39822.3,-0.687839,0.199104
UID_20_37_5_all-21,5524.69,2.60201,0.930812
UID_20_37_6_all-8,31831.9,-0.374191,-0.558599
UID_20_38_1_all-13,33304.9,-0.453801,-0.48356
UID_20_38_2_all-19,34674.2,-0.481894,-0.254053
UID_20_38_3_all-12,36535.8,-0.501137,0.0734233
UID_20_4_1_all-5,33716.5,-0.469997,-0.430025
UID_20_4_2_all-2,37747.3,-0.617361,-0.0139695
UID_20_4_3_all-6,40192.4,-0.684866,0.206373
UID_20_5_1_all,4448.76,3.30065,1.9486
UID_20_5_2_all-2,37229.9,-0.61535,-0.123846
UID_20_6_1_all-6,40209,-0.713556,0.211755
UID_20_6_2_all-2,34410.8,-0.45536,-0.220928
UID_20_8_1_all-5,40170.3,0.489161,3.73803
UID_20_8_2_all-4,30976.8,-0.323553,-0.557719
UID_20_8_3_all-12,46393.4,-0.720875,1.15602
UID_20_9_1_all-28,46166.6,-0.696782,1.14304
UID_20_9_2_all-13,23609,1.24704,-0.136853
UID_20_9_3_all-20,17345.7,2.65796,0.103908
UID_20_9_4_all-14,34293.8,-0.462131,-0.336791
UID_20_9_5_all-21,32399.8,-0.299345,-0.192878
UID_22_1_1_all-13,37194.3,-0.610945,-0.149368
UID_22_1_2_all-10,39986.8,-0.717806,0.0455663
UID_22_1_3_all-19,37080.6,-0.587581,-0.0855548
UID_22_10_1_all-8,35118.5,-0.523559,-0.353458
UID_22_10_2_all-10,31990,-0.400184,-0.586587
UID_22_10_3_all-9,32019.6,-0.341556,-0.331627
UID_22_10_4_all-23,36860.4,-0.578813,-0.0860353
UID_22_10_5_all-15,30363.7,-0.332677,-0.758444
UID_22_11_1_all-25,29838.2,-0.279319,-0.714059
UID_22_11_2_all-22,30028.4,-0.315389,-0.767842
UID_22_11_3_all-15,27379.2,-0.209136,-1.09826
UID_22_11_4_all-20,31835.9,-0.36492,-0.502049
UID_22_11_5_all-13,28507.2,-0.21601,-0.865842
UID_22_11_6_all-16,30281.7,-0.305232,-0.685308
UID_22_12_1_all-5,38704.7,-0.664334,0.0324422
UID_22_13_1_all-10,37103.9,-0.595775,-0.109372
UID_22_14_1_all-4,25115.8,-0.0621009,-1.19349
UID_22_14_2_all-10,38956.9,-0.217873,1.44722
UID_22_14_3_all-11,29040.4,-0.275624,-0.892022
UID_22_14_4_all-19,30101.5,-0.291162,-0.707619
UID_22_15_1_all-7,30406.2,-0.308294,-0.622119
UID_22_16_1_all-4,26535.2,-0.0401521,-0.946347
UID_22_16_2_all-10,32365.9,-0.413453,-0.627006
UID_22_17_1_all,3294.6,3.03983,1.14374
UID_22_17_2_all-2,30933.3,-0.315717,-0.508616
UID_22_18_1_all-8,30506.8,-0.325312,-0.748166
UID_22_18_2_all-16,35508.7,-0.54673,-0.284194
UID_22_18_3_all-5,32151.4,-0.39057,-0.519139
UID_22_18_4_all-4,40391,-0.764492,0.0446295
UID_22_19_1_all-5,30671.5,-0.330358,-0.727874
UID_22_19_2_all-3,32084.3,-0.384403,-0.521589
UID_22_19_3_all-6,27192.3,-0.189657,-1.07427
UID_22_19_4_all-3,40236.3,-0.760182,0.0201282
UID_22_2_1_all-3,32160.9,-0.29585,-0.168556
UID_22_2_2_all-9,40751.9,-0.734029,0.103629
UID_22_20_1_all-13,4454.17,3.22883,1.37368
UID_22_21_1_all-4,30931.8,-0.339005,-0.656678
UID_22_21_2_all-12,29384,-0.276962,-0.813805
UID_22_22_1_all-14,32749.3,-0.378598,-0.336591
UID_22_22_2_all-10,39481.1,-0.643124,0.240401
UID_22_23_1_all-5,4448.78,3.08419,1.01886
UID_22_23_2_all-2,25600.3,-0.0910846,-1.14394
UID_22_23_3_all-2,25081.2,-0.0578695,-1.1751
UID_22_23_4_all-17,12717.4,3.04255,1.7108
UID_22_24_1_all-9,40756,-0.631721,0.822642
UID_22_24_2_all-11,3848.84,3.07799,1.70171
UID_22_24_3_all-5,33160.9,-0.446305,-0.471062
UID_22_24_4_all-7,31960.8,-0.34239,-0.392434
UID_22_25_1_all-10,37705.5,-0.603047,-0.0339227
UID_22_25_2_all-2,29406.3,-0.189071,-0.57096
UID_22_25_3_all-6,30362.1,-0.305157,-0.699257
UID_22_25_4_all-10,9585.3,2.63456,0.86548
UID_22_26_1_all-2,25582.8,-0.07698,-1.10808
